Fiscal year is January0December. All values USD Millions.,2022,2021,2020,2019,2018
Total Cash & Due from Banks,9116,7887,14448,4392,2245
Cash & Due from Banks Growth,15.58%,045.41%,228.93%,95.66%,0
Investments 0 Total,125127,134512,54620,32289,25757
Trading Account Securities,0,0,0,0,0
Federal Funds Sold & Securities Purchased,722,607,227,289,124
Federal Funds Sold,0,0,0,0,0
Securities Bought Under Resale Agreement,722,607,227,289,124
Treasury Securities,17223,15911,4494,6903,4744
Federal Agency Securities,587,805,640,618,1725
State & Municipal Securities,7416,7156,3635,1786,1575
Mortgage Backed Securities,91461,100838,38736,18551,15233
Other Securities,735,823,281,59,20
Other Investments,6983,8372,6608,4082,2336
Investments Growth,06.98%,146.27%,69.16%,25.36%,0
Net Loans,73614,65854,44734,32860,28057
Gross Loans 0 Net of Unearned Income,0,0,0,0,0
Commercial & Industrial Loans,58459,52245,35450,28428,24457
Consumer & Installment Loans,0,0,0,490,421
Interbank Loans,0,0,0,0,0
Real Estate Mortgage Loans,13128,11456,4940,4247,3461
Lease Financing Loans,0,0,0,0,0
Foreign Loans,0,0,0,0,0
Broker & Financial Institution Loans,0,0,0,0,0
Unspecified/Other Loans,2663,8648,4792,0,0
Unearned Income,0,0,0,0,0
Loan Loss Allowances Reserves,636,422,448,305,281
Investment in Unconsolidated Subs.,886,970,570,376,257
Customer Liability on Acceptances,0,0,0,0,0
Real Estate Other Than Bank Premises,0,0,0,0,0
Loans 0 1 Yr Growth Rate,11.78%,47.21%,36.14%,17.12%,0
Total Deposits FOR CALC PURPOSES,173109,189203,101982,61758,49329
Loans Total / Total Deposits,0.00%,0.00%,0.00%,0.00%,0.00%
Loans Total / Total Assets,0.00%,0.00%,0.00%,0.00%,0.00%
Net Property Plant & Equipment,729,583,386,359,129
Other Assets Including Intangibles,1420,1178,507,484,219
Other Assets,909,643,303,296,219
Intangible Assets,511,535,204,187,0
Deferred Charges,0,0,0,0,0
Interest Receivables,722,470,245,217,198
Total Assets,211793,212001,115511,71217,57035
Assets 0 Total Growth,00.10%,83.53%,62.20%,24.87%,0
Return On Average Assets,0.79%,0,0,0,0
