Fiscal year is January-December. All values USD Millions.,2022,2021,2020,2019,2018
Total Cash & Due from Banks,5875,29548,12209,702,269
Cash & Due from Banks Growth,-80.12%,142.01%,1638.49%,160.87%,-
Investments - Total,27648,22820,11947,9885,10008
Trading Account Securities,-,-,-,-,-
Federal Funds Sold & Securities Purchased,-,-,-,-,-
Federal Funds Sold,-,-,-,-,-
Securities Bought Under Resale Agreement,-,-,-,-,-
Treasury Securities,146,10,10,20,33
Federal Agency Securities,2633,1988,50,-,-
State & Municipal Securities,247,250,99,10,7
Mortgage Backed Securities,20625,17509,9570,8098,8101
Other Securities,2744,2417,1467,1140,1065
Other Investments,1254,646,751,617,802
Investments Growth,21.16%,91.00%,20.86%,-1.22%,-
Net Loans,73803,64388,48325,38860,36193
Gross Loans - Net of Unearned Income,-,-,-,-,-
Commercial & Industrial Loans,40765,36102,21192,11890,8003
Consumer & Installment Loans,8,8,7,10,9
Interbank Loans,-,-,-,-,-
Real Estate Mortgage Loans,33571,28830,27670,27183,28392
Lease Financing Loans,-,-,-,-,-
Foreign Loans,-,-,-,-,-
Broker & Financial Institution Loans,-,-,-,-,-
Unspecified/Other Loans,-,-,-,27,29
Unearned Income,51,77,36,-,-
Loan Loss Allowances Reserves,490,474,508,250,230
Investment in Unconsolidated Subs.,-,-,-,-,-
Customer Liability on Acceptances,-,-,-,-,-
Real Estate Other Than Bank Premises,0,6,34,47,52
Loans - 1 Yr Growth Rate,14.62%,33.24%,24.36%,7.37%,-
Total Deposits FOR CALC PURPOSES,88590,106133,63315,40383,36379
Loans Total / Total Deposits,0.00%,0.00%,0.00%,0.00%,0.00%
Loans Total / Total Assets,0.00%,0.00%,0.00%,0.00%,0.00%
Net Property Plant & Equipment,366,318,318,284,59
Other Assets Including Intangibles,1411,890,645,666,633
Other Assets,1411,890,613,620,583
Intangible Assets,-,-,32,46,50
Deferred Charges,-,-,-,-,-
Interest Receivables,450,307,278,148,142
Total Assets,110635,118679,74097,50592,47585
Assets - Total Growth,-6.78%,60.17%,46.46%,6.32%,-
Return On Average Assets,1.17%,-,-,-,-
Total Deposits,88590,106133,63315,40383,36379
Demand Deposits,82142,103355,59477,37423,34253
Savings/Time Deposits,2644,1532,1627,1790,1378
Foreign Office Deposits,-,-,-,-,-
Unspecified Deposits,3804,947,1915,1095,723
Deposits Growth,-16.53%,67.63%,56.79%,11.01%,-
Total Debt,12287,3614,4233,5141,6048
ST Debt & Current Portion LT Debt,11435,2630,2271,300,4445
Current Portion of Long Term Debt,8159,2456,1950,-,3625
Short Term Debt,3276,174,321,300,820
Long-Term Debt,852,984,1962,4841,1603
LT Debt excl. Capitalized Leases,596,754,1718,4598,1603
Capitalized Lease Obligations,-,-,-,-,-
Provision for Risks & Charges,7,5,8,1,1
Long Term Debt Growth,-13.41%,-49.84%,-59.47%,201.95%,-
Total Assets FOR CALCULATION PURPOSES ONLY,110635,118679,74097,50592,47585
Total Debt / Total Assets,11.11%,3.05%,5.71%,10.16%,12.71%
Deferred Tax Liabilities,811,169,132,-,450
Deferred Taxes - Credit,271,233,209,-,220
Deferred Taxes - Debit,1082,402,341,-,230
Other Liabilities,1466,853,655,471,530
Deferred Tax Liability-Untaxed Reserves,-,-,-,-,-
Other Liabilities excl. Deferred Income,1466,853,655,471,530
Deferred Income,-,-,-,-,-
Total Liabilities,102622,110838,68420,45997,42737
Total Liabilities Growth,-7.41%,62.00%,48.75%,7.63%,-
Preferred Stock Carrying Value,0,0,0,-,-
Redeemable Preferred Stock,-,-,-,-,-
Non-Redeemable Preferred Stock,0,0,0,-,-
Preferred Stock issues for ESOP,-,-,-,-,-
ESOP Guarantees - Preferred Stock,-,-,-,-,-
Common Equity Total,8013,7841,5827,4739,4407
Common Stock Par/Carry Value,1,1,1,1,1
Additional Paid-In Capital/Capital Surplus,4552,3764,2584,1872,1863
Retained Earnings,5458,4299,3548,3172,2731
ESOP Debt Guarantee,-,-,-,-,-
Cumulative Translation Adjustment/Unrealized For. Exch. Gain,-,-,-,-,-
Unrealized Gain/Loss Marketable Securities,1781,171,3,31,134
Revaluation Reserves,-,-,-,-,-
Other Appropriated Reserves,216,52,76,41,11
Unappropriated Reserves,-,-,-,-,-
Treasury Stock,-,-,233,234,43
Common Equity / Total Assets,0.07%,0.07%,0.08%,0.09%,0.09%
Total Shareholders Equity,8013,7841,5827,4739,4407
Total Shareholders Equity / Total Assets,7.24%,6.61%,7.86%,9.37%,9.26%
Return On Average Total Equity,16.86%,-,-,-,-
Accumulated Minority Interest,-,-,-,-,-
Total Equity,8013,7841,5827,4739,4407
Liabilities & Shareholders Equity,110635,118679,74247,50742,47144
