Fiscal year is January0December. All values USD Millions.,2022,2021,2020,2019,2018
Total Cash & Due from Banks,"9,116","7,887","14,448","4,392","2,245"
Cash & Due from Banks Growth,15.58%,045.41%,228.93%,95.66%,0
Investments 0 Total,"125,127","134,512","54,620","32,289","25,757"
Trading Account Securities,0,0,0,0,0
Federal Funds Sold & Securities Purchased,722,607,227,289,124
Federal Funds Sold,0,0,0,0,0
Securities Bought Under Resale Agreement,722,607,227,289,124
Treasury Securities,"17,223","15,911","4,494","6,903","4,744"
Federal Agency Securities,587,805,640,618,"1,725"
State & Municipal Securities,"7,416","7,156","3,635","1,786","1,575"
Mortgage Backed Securities,"91,461","100,838","38,736","18,551","15,233"
Other Securities,735,823,281,59,20
Other Investments,"6,983","8,372","6,608","4,082","2,336"
Investments Growth,06.98%,146.27%,69.16%,25.36%,0
Net Loans,"73,614","65,854","44,734","32,860","28,057"
Gross Loans 0 Net of Unearned Income,0,0,0,0,0
Commercial & Industrial Loans,"58,459","52,245","35,450","28,428","24,457"
Consumer & Installment Loans,0,0,0,490,421
Interbank Loans,0,0,0,0,0
Real Estate Mortgage Loans,"13,128","11,456","4,940","4,247","3,461"
Lease Financing Loans,0,0,0,0,0
Foreign Loans,0,0,0,0,0
Broker & Financial Institution Loans,0,0,0,0,0
Unspecified/Other Loans,"2,663","8,648","4,792",0,0
Unearned Income,0,0,0,0,0
Loan Loss Allowances (Reserves),(636),(422),(448),(305),(281)
Investment in Unconsolidated Subs.,886,970,570,376,257
Customer Liability on Acceptances,0,0,0,0,0
Real Estate Other Than Bank Premises,0,0,0,0,0
Loans 0 1 Yr Growth Rate,11.78%,47.21%,36.14%,17.12%,0
Total Deposits FOR CALC PURPOSES,"173,109","189,203","101,982","61,758","49,329"
Loans (Total) / Total Deposits,0.00%,0.00%,0.00%,0.00%,0.00%
Loans (Total) / Total Assets,0.00%,0.00%,0.00%,0.00%,0.00%
"Net Property, Plant & Equipment",729,583,386,359,129
Other Assets (Including Intangibles),"1,420","1,178",507,484,219
Other Assets,909,643,303,296,219
Intangible Assets,511,535,204,187,0
Deferred Charges,0,0,0,0,0
Interest Receivables,722,470,245,217,198
Total Assets,"211,793","212,001","115,511","71,217","57,035"
Assets 0 Total Growth,00.10%,83.53%,62.20%,24.87%,0
Return On Average Assets,0.79%,0,0,0,0
