Fiscal year is January0December. All values USD Millions.,2022,2021,2020,2019,2018
Total Cash & Due from Banks,40,15,24,17,20
Cash & Due from Banks Growth,168.69%,037.18%,40.65%,016.05%,0
Investments 0 Total,750,"1,146",740,316,216
Trading Account Securities,0,0,0,0,0
Federal Funds Sold & Securities Purchased,0,0,0,0,0
Federal Funds Sold,0,0,0,0,0
Securities Bought Under Resale Agreement,0,0,0,0,0
Treasury Securities,211,245,184,118,125
Federal Agency Securities,0,0,0,0,0
State & Municipal Securities,77,45,36,11,10
Mortgage Backed Securities,299,140,119,81,54
Other Securities,33,17,11,2,2
Other Investments,130,700,390,104,26
Investments Growth,034.54%,54.90%,134.32%,45.90%,0
Net Loans,"1,521","1,449","1,618","1,259","1,289"
Gross Loans 0 Net of Unearned Income,0,0,0,0,0
Commercial & Industrial Loans,179,180,320,149,174
Consumer & Installment Loans,11,11,13,13,14
Interbank Loans,0,0,0,0,0
Real Estate Mortgage Loans,"1,349","1,278","1,304","1,110","1,114"
Lease Financing Loans,0,0,0,0,0
Foreign Loans,0,0,0,0,0
Broker & Financial Institution Loans,0,0,0,0,0
Unspecified/Other Loans,0,0,0,0,0
Unearned Income,0,0,0,0,0
Loan Loss Allowances (Reserves),(18),(19),(20),(14),(14)
Investment in Unconsolidated Subs.,1,1,1,2,2
Customer Liability on Acceptances,0,0,0,0,0
Real Estate Other Than Bank Premises,0,0,0,0,0
Loans 0 1 Yr Growth Rate,4.92%,010.40%,28.50%,02.31%,0
Total Deposits FOR CALC PURPOSES,"2,199","2,426","2,186","1,412","1,348"
Loans (Total) / Total Deposits,0.00%,0.00%,0.00%,0.00%,0.00%
Loans (Total) / Total Assets,0.00%,0.00%,0.00%,0.00%,0.00%
"Net Property, Plant & Equipment",30,34,36,29,26
Other Assets (Including Intangibles),165,137,133,96,91
Other Assets,110,89,83,72,67
Intangible Assets,55,48,49,24,24
Deferred Charges,13,11,6,10,9
Interest Receivables,0,0,0,0,0
Total Assets,"2,533","2,793","2,563","1,726","1,654"
Assets 0 Total Growth,09.32%,8.98%,48.45%,4.40%,0
Return On Average Assets,1.34%,0,0,0,0
