Fiscal year is January0December. All values USD Millions.,2022,2021,2020,2019,2018
Total Cash & Due from Banks,62,34,30,28,26
Cash & Due from Banks Growth,83.10%,11.56%,7.65%,8.85%,0
Investments 0 Total,1736,1762,1596,1845,1813
Trading Account Securities,0,0,0,0,0
Federal Funds Sold & Securities Purchased,0,0,0,0,0
Federal Funds Sold,0,0,0,0,0
Securities Bought Under Resale Agreement,0,0,0,0,0
Treasury Securities,2,3,61,104,0
Federal Agency Securities,1011,931,866,1235,1123
State & Municipal Securities,6,2,55,50,160
Mortgage Backed Securities,0,0,0,0,0
Other Securities,292,358,326,277,388
Other Investments,425,468,289,178,142
Investments Growth,01.44%,10.35%,013.46%,1.76%,0
Net Loans,6774,5340,5731,5692,5858
Gross Loans 0 Net of Unearned Income,0,0,0,0,0
Commercial & Industrial Loans,1381,966,1155,1234,1380
Consumer & Installment Loans,604,424,247,88,115
Interbank Loans,0,0,0,0,0
Real Estate Mortgage Loans,4858,4006,4424,4405,4356
Lease Financing Loans,0,0,0,0,0
Foreign Loans,0,0,0,0,0
Broker & Financial Institution Loans,13,14,17,17,69
Unspecified/Other Loans,0,0,0,0,0
Unearned Income,0,0,0,0,0
Loan Loss Allowances Reserves,84,70,111,52,62
Investment in Unconsolidated Subs.,0,0,0,0,0
Customer Liability on Acceptances,0,0,0,0,0
Real Estate Other Than Bank Premises,0,0,0,0,0
Loans 0 1 Yr Growth Rate,26.86%,06.84%,0.69%,02.84%,0
Total Deposits FOR CALC PURPOSES,7044,5631,5732,5757,6033
Loans Total / Total Deposits,0.00%,0.00%,0.00%,0.00%,0.00%
Loans Total / Total Assets,0.00%,0.00%,0.00%,0.00%,0.00%
Net Property Plant & Equipment,182,179,110,129,124
Other Assets Including Intangibles,326,313,291,286,287
Other Assets,306,294,272,267,268
Intangible Assets,20,20,20,20,19
Deferred Charges,0,0,0,0,0
Interest Receivables,0,0,0,0,0
Total Assets,9128,7638,7771,7985,8124
Assets 0 Total Growth,19.50%,01.71%,02.69%,01.71%,0
Return On Average Assets,0.76%,0,0,0,0
Total Deposits,7044,5631,5732,5757,6033
Demand Deposits,3668,2691,2102,1862,2057
Savings/Time Deposits,3376,2940,3629,3896,3976
Foreign Office Deposits,0,0,0,0,0
Unspecified Deposits,0,0,0,0,0
Deposits Growth,25.10%,01.76%,00.44%,04.57%,0
Total Debt,1204,1076,1173,1327,1284
ST Debt & Current Portion LT Debt,318,14,0,285,0
Current Portion of Long Term Debt,305,0,0,285,0
Short Term Debt,13,14,0,0,0
Long0Term Debt,887,1061,1173,1042,1284
LT Debt excl. Capitalized Leases,754,933,1173,1042,1284
Capitalized Lease Obligations,0,0,0,0,0
Provision for Risks & Charges,0,0,0,0,0
Long Term Debt Growth,016.46%,09.50%,12.52%,018.84%,0
Total Assets FOR CALCULATION PURPOSES ONLY,9128,7638,7771,7985,8124
Total Debt / Total Assets,13.20%,14.08%,15.09%,16.62%,15.81%
Deferred Tax Liabilities,49,11,12,5,16
Deferred Taxes 0 Credit,0,0,0,0,0
Deferred Taxes 0 Debit,49,11,12,5,16
Other Liabilities,173,100,83,66,60
Deferred Tax Liability0Untaxed Reserves,0,0,0,0,0
Other Liabilities excl. Deferred Income,173,100,83,66,60
Deferred Income,0,0,0,0,0
Total Liabilities,8422,6807,6987,7151,7377
Total Liabilities Growth,23.74%,02.59%,02.28%,03.07%,0
Preferred Stock Carrying Value,0,0,0,0,0
Redeemable Preferred Stock,0,0,0,0,0
Non0Redeemable Preferred Stock,0,0,0,0,0
Preferred Stock issues for ESOP,0,0,0,0,0
ESOP Guarantees 0 Preferred Stock,0,0,0,0,0
Common Equity Total,708,834,783,835,747
Common Stock Par/Carry Value,3,4,4,5,4
Additional Paid0In Capital/Capital Surplus,195,263,306,419,385
Retained Earnings,590,553,442,444,394
ESOP Debt Guarantee,0,0,0,0,0
Cumulative Translation Adjustment/Unrealized For. Exch. Gain,0,0,0,0,0
Unrealized Gain/Loss Marketable Securities,83,12,28,7,25
Revaluation Reserves,0,0,0,0,0
Other Appropriated Reserves,3,3,3,6,7
Unappropriated Reserves,0,0,0,0,0
Treasury Stock,0,0,0,46,18
Common Equity / Total Assets,0.08%,0.11%,0.10%,0.10%,0.09%
Total Shareholders Equity,708,834,783,835,747
Total Shareholders Equity / Total Assets,7.75%,10.92%,10.08%,10.45%,9.20%
Return On Average Total Equity,8.21%,0,0,0,0
Accumulated Minority Interest,2,3,0,0,0
Total Equity,706,832,783,835,747
Liabilities & Shareholders Equity,9128,7638,7771,7985,8124
