Fiscal year is January0December. All values USD Millions.,2022,2021,2020,2019,2018
Total Cash & Due from Banks,32,23,31,33,30
Cash & Due from Banks Growth,39.45%,024.94%,05.35%,9.86%,0
Investments 0 Total,663,1197,834,437,373
Trading Account Securities,0,0,0,0,0
Federal Funds Sold & Securities Purchased,0,0,0,0,0
Federal Funds Sold,0,0,0,0,0
Securities Bought Under Resale Agreement,0,0,0,0,0
Treasury Securities,139,150,35,15,0
Federal Agency Securities,83,105,106,128,134
State & Municipal Securities,64,66,59,42,80
Mortgage Backed Securities,294,356,253,184,112
Other Securities,27,16,13,10,7
Other Investments,55,504,368,58,41
Investments Growth,044.61%,43.50%,90.88%,17.07%,0
Net Loans,2167,1928,1994,1818,1345
Gross Loans 0 Net of Unearned Income,0,0,0,0,0
Commercial & Industrial Loans,304,300,491,339,286
Consumer & Installment Loans,7,7,8,11,5
Interbank Loans,0,0,0,0,0
Real Estate Mortgage Loans,1876,1640,1515,1481,1066
Lease Financing Loans,0,0,0,0,0
Foreign Loans,0,0,0,0,0
Broker & Financial Institution Loans,0,0,0,0,0
Unspecified/Other Loans,0,0,0,0,0
Unearned Income,0,0,0,0,0
Loan Loss Allowances Reserves,20,19,21,13,13
Investment in Unconsolidated Subs.,0,1,1,1,1
Customer Liability on Acceptances,0,0,0,0,0
Real Estate Other Than Bank Premises,0,0,1,1,1
Loans 0 1 Yr Growth Rate,12.40%,03.30%,9.68%,35.18%,0
Total Deposits FOR CALC PURPOSES,2596,2890,2611,2061,1566
Loans Total / Total Deposits,0.00%,0.00%,0.00%,0.00%,0.00%
Loans Total / Total Assets,0.00%,0.00%,0.00%,0.00%,0.00%
Net Property Plant & Equipment,38,40,45,45,27
Other Assets Including Intangibles,159,140,138,137,80
Other Assets,71,51,47,46,35
Intangible Assets,88,90,91,92,45
Deferred Charges,0,0,0,0,0
Interest Receivables,7,6,7,7,5
Total Assets,3066,3335,3050,2479,1863
Assets 0 Total Growth,08.06%,9.33%,23.06%,33.05%,0
Return On Average Assets,1.08%,0,0,0,0
