Fiscal year is January-December. All values USD Millions.,2022,2021,2020,2019,2018
Total Cash & Due from Banks,285,308,203,246,172
Cash & Due from Banks Growth,-7.55%,51.37%,-17.42%,43.13%,-
Investments - Total,2980,5743,4145,3511,1839
Trading Account Securities,-,-,-,-,-
Federal Funds Sold & Securities Purchased,-,20,20,24,35
Federal Funds Sold,-,20,20,24,35
Securities Bought Under Resale Agreement,-,-,-,-,-
Treasury Securities,760,-,18,22,-
Federal Agency Securities,1,7,-,-,-
State & Municipal Securities,66,57,67,105,151
Mortgage Backed Securities,765,535,784,1149,974
Other Securities,43,74,114,127,67
Other Investments,1345,5051,3142,2083,612
Investments Growth,-48.11%,38.57%,18.06%,90.90%,-
Net Loans,19650,15707,14282,12780,8483
Gross Loans - Net of Unearned Income,-,-,-,-,-
Commercial & Industrial Loans,4212,3247,1627,2031,1689
Consumer & Installment Loans,493,457,3151,1764,745
Interbank Loans,-,-,-,-,-
Real Estate Mortgage Loans,15151,12170,9703,9024,6078
Lease Financing Loans,-,-,-,-,-
Foreign Loans,-,-,-,-,-
Broker & Financial Institution Loans,-,-,-,-,-
Unspecified/Other Loans,-,-,-,-,-
Unearned Income,-,-,-,-,-
Loan Loss Allowances Reserves,206,168,199,38,29
Investment in Unconsolidated Subs.,-,-,-,-,-
Customer Liability on Acceptances,-,-,-,-,-
Real Estate Other Than Bank Premises,1,4,12,20,17
Loans - 1 Yr Growth Rate,25.10%,9.98%,11.75%,50.66%,-
Total Deposits FOR CALC PURPOSES,19463,19666,16958,14027,9649
Loans Total / Total Deposits,0.00%,0.00%,0.00%,0.00%,0.00%
Loans Total / Total Assets,0.00%,0.00%,0.00%,0.00%,0.00%
Net Property Plant & Equipment,277,281,297,272,145
Other Assets Including Intangibles,1757,1758,1467,1411,752
Other Assets,635,620,467,388,190
Intangible Assets,1122,1139,1000,1023,562
Deferred Charges,-,-,-,-,-
Interest Receivables,77,57,-,-,-
Total Assets,25158,23986,20536,18319,11464
Assets - Total Growth,4.89%,16.80%,12.10%,59.80%,-
Return On Average Assets,1.41%,-,-,-,-
Total Deposits,19463,19666,16958,14027,9649
Demand Deposits,7930,7775,14075,10518,6881
Savings/Time Deposits,11533,11891,2882,3509,2768
Foreign Office Deposits,-,-,-,-,-
Unspecified Deposits,-,-,-,-,-
Deposits Growth,-1.03%,15.97%,20.89%,45.37%,-
Total Debt,2069,937,638,1589,261
ST Debt & Current Portion LT Debt,11,18,25,1157,22
Current Portion of Long Term Debt,-,-,-,-,-
Short Term Debt,6,18,25,1157,22
Long-Term Debt,2058,919,613,432,239
LT Debt excl. Capitalized Leases,2004,866,550,401,239
Capitalized Lease Obligations,-,-,-,-,-
Provision for Risks & Charges,52,33,-,-,-
Long Term Debt Growth,123.92%,49.87%,42.03%,80.69%,-
Total Assets FOR CALCULATION PURPOSES ONLY,25158,23986,20536,18319,11464
Total Debt / Total Assets,8.22%,3.91%,3.11%,8.67%,2.28%
Deferred Tax Liabilities,28,35,33,2,35
Deferred Taxes - Credit,105,163,97,77,21
Deferred Taxes - Debit,133,128,131,79,56
Other Liabilities,272,221,196,157,77
Deferred Tax Liability-Untaxed Reserves,-,-,-,-,-
Other Liabilities excl. Deferred Income,272,221,196,157,77
Deferred Income,-,-,-,-,-
Total Liabilities,21961,21020,17889,15850,10008
Total Liabilities Growth,4.48%,17.50%,12.87%,58.37%,-
Preferred Stock Carrying Value,-,-,-,-,-
Redeemable Preferred Stock,-,-,-,-,-
Non-Redeemable Preferred Stock,-,-,-,-,-
Preferred Stock issues for ESOP,-,-,-,-,-
ESOP Guarantees - Preferred Stock,-,-,-,-,-
Common Equity Total,3197,2966,2647,2470,1456
Common Stock Par/Carry Value,72,72,72,72,49
Additional Paid-In Capital/Capital Surplus,1935,1925,1913,1907,1052
Retained Earnings,1311,1006,672,508,377
ESOP Debt Guarantee,-,-,-,-,-
Cumulative Translation Adjustment/Unrealized For. Exch. Gain,-,-,-,-,-
Unrealized Gain/Loss Marketable Securities,47,16,34,0,5
Revaluation Reserves,-,-,-,-,-
Other Appropriated Reserves,-,-,-,18,0
Unappropriated Reserves,-,-,-,-,-
Treasury Stock,75,52,43,35,17
Common Equity / Total Assets,0.13%,0.12%,0.13%,0.13%,0.13%
Total Shareholders Equity,3197,2966,2647,2470,1456
Total Shareholders Equity / Total Assets,12.71%,12.37%,12.89%,13.48%,12.70%
Return On Average Total Equity,11.24%,-,-,-,-
Accumulated Minority Interest,-,-,-,-,-
Total Equity,3197,2966,2647,2470,1456
Liabilities & Shareholders Equity,25158,23986,20536,18319,11464
