Fiscal year is January0December. All values USD Millions.,2022,2021,2020,2019,2018
Total Cash & Due from Banks,32,27,42,47,57
Cash & Due from Banks Growth,18.19%,035.94%,010.46%,016.79%,0
Investments 0 Total,790,1196,935,638,646
Trading Account Securities,0,0,0,0,0
Federal Funds Sold & Securities Purchased,0,0,0,0,0
Federal Funds Sold,0,0,0,0,0
Securities Bought Under Resale Agreement,0,0,0,0,0
Treasury Securities,0,108,65,5,47
Federal Agency Securities,0,0,0,0,0
State & Municipal Securities,0,181,193,209,237
Mortgage Backed Securities,0,466,325,388,316
Other Securities,2,3,2,3,3
Other Investments,39,438,349,34,43
Investments Growth,033.95%,27.94%,46.49%,01.23%,0
Net Loans,2953,2641,2566,2365,2176
Gross Loans 0 Net of Unearned Income,0,0,0,0,0
Commercial & Industrial Loans,140,173,241,151,137
Consumer & Installment Loans,1065,921,860,811,720
Interbank Loans,0,0,0,0,0
Real Estate Mortgage Loans,1071,946,923,914,855
Lease Financing Loans,0,0,0,0,0
Foreign Loans,0,0,0,0,0
Broker & Financial Institution Loans,0,0,0,0,0
Unspecified/Other Loans,0,0,0,0,0
Unearned Income,0,0,0,0,0
Loan Loss Allowances Reserves,30,27,29,21,20
Investment in Unconsolidated Subs.,0,0,0,0,0
Customer Liability on Acceptances,0,0,0,0,0
Real Estate Other Than Bank Premises,0,0,0,0,0
Loans 0 1 Yr Growth Rate,11.84%,2.92%,8.49%,8.68%,0
Total Deposits FOR CALC PURPOSES,3498,3550,3235,2616,2346
Loans Total / Total Deposits,0.00%,0.00%,0.00%,0.00%,0.00%
Loans Total / Total Assets,0.00%,0.00%,0.00%,0.00%,0.00%
Net Property Plant & Equipment,56,53,48,46,30
Other Assets Including Intangibles,138,111,98,88,79
Other Assets,115,89,75,65,56
Intangible Assets,23,23,23,23,23
Deferred Charges,0,0,0,0,0
Interest Receivables,0,0,0,0,0
Total Assets,3970,4028,3689,3184,2988
Assets 0 Total Growth,01.45%,9.20%,15.84%,6.56%,0
Return On Average Assets,1.22%,0,0,0,0
Total Deposits,3498,3550,3235,2616,2346
Demand Deposits,1835,1805,1534,1174,1432
Savings/Time Deposits,1664,1746,1701,1442,1082
Foreign Office Deposits,0,0,0,0,0
Unspecified Deposits,0,0,0,0,0
Deposits Growth,01.47%,9.76%,23.65%,11.53%,0
Total Debt,80,77,93,242,354
ST Debt & Current Portion LT Debt,27,1,18,207,309
Current Portion of Long Term Debt,0,0,0,25,20
Short Term Debt,27,1,18,182,289
Long0Term Debt,53,76,75,35,45
LT Debt excl. Capitalized Leases,48,65,65,25,45
Capitalized Lease Obligations,5,5,5,5,0
Provision for Risks & Charges,0,0,0,0,0
Long Term Debt Growth,030.75%,2.10%,112.75%,021.82%,0
Total Assets FOR CALCULATION PURPOSES ONLY,3970,4028,3689,3184,2988
Total Debt / Total Assets,2.01%,1.92%,2.52%,7.60%,11.83%
Deferred Tax Liabilities,0,0,0,0,0
Deferred Taxes 0 Credit,0,0,0,0,0
Deferred Taxes 0 Debit,0,0,0,0,0
Other Liabilities,38,29,26,24,20
Deferred Tax Liability0Untaxed Reserves,0,0,0,0,0
Other Liabilities excl. Deferred Income,38,29,26,24,20
Deferred Income,0,0,0,0,0
Total Liabilities,3616,3657,3354,2883,2719
Total Liabilities Growth,01.12%,9.02%,16.36%,6.02%,0
Preferred Stock Carrying Value,0,0,0,0,0
Redeemable Preferred Stock,0,0,0,0,0
Non0Redeemable Preferred Stock,0,0,0,0,0
Preferred Stock issues for ESOP,0,0,0,0,0
ESOP Guarantees 0 Preferred Stock,0,0,0,0,0
Common Equity Total,354,371,334,302,270
Common Stock Par/Carry Value,21,21,20,20,19
Additional Paid0In Capital/Capital Surplus,400,378,354,335,315
Retained Earnings,65,54,42,33,29
ESOP Debt Guarantee,0,0,0,0,0
Cumulative Translation Adjustment/Unrealized For. Exch. Gain,0,0,0,0,0
Unrealized Gain/Loss Marketable Securities,0,1,6,0,4
Revaluation Reserves,0,0,0,0,0
Other Appropriated Reserves,50,1,7,7,10
Unappropriated Reserves,0,0,0,0,0
Treasury Stock,84,82,81,80,79
Common Equity / Total Assets,0.09%,0.09%,0.09%,0.09%,0.09%
Total Shareholders Equity,354,371,334,302,270
Total Shareholders Equity / Total Assets,8.91%,9.22%,9.07%,9.48%,9.02%
Return On Average Total Equity,13.47%,0,0,0,0
Accumulated Minority Interest,0,0,0,0,0
Total Equity,354,371,334,302,270
Liabilities & Shareholders Equity,3970,4028,3689,3184,2988
