Fiscal year is January0December. All values USD Millions.,2022,2021,2020,2019,2018
Total Cash & Due from Banks,437,344,416,373,507
Cash & Due from Banks Growth,27.08%,017.38%,11.46%,026.38%,0
Investments 0 Total,7577,7959,6081,6443,7480
Trading Account Securities,0,0,0,0,89
Federal Funds Sold & Securities Purchased,28,0,1,8,148
Federal Funds Sold,28,0,1,8,148
Securities Bought Under Resale Agreement,0,0,0,0,0
Treasury Securities,110,124,28,1,1
Federal Agency Securities,14,15,34,0,0
State & Municipal Securities,1963,2029,1893,1965,1791
Mortgage Backed Securities,3229,4216,2681,3235,4595
Other Securities,33,205,345,282,302
Other Investments,822,1369,1101,953,553
Investments Growth,04.79%,30.87%,05.62%,013.86%,0
Net Loans,28487,23945,24068,22620,22702
Gross Loans 0 Net of Unearned Income,0,0,0,0,0
Commercial & Industrial Loans,9759,8452,8469,7355,7398
Consumer & Installment Loans,1677,445,313,351,363
Interbank Loans,0,0,0,0,0
Real Estate Mortgage Loans,17363,15328,15669,15116,15179
Lease Financing Loans,0,0,0,0,0
Foreign Loans,0,0,0,0,0
Broker & Financial Institution Loans,0,0,0,0,0
Unspecified/Other Loans,0,0,0,0,0
Unearned Income,0,0,0,0,0
Loan Loss Allowances Reserves,313,280,384,201,238
Investment in Unconsolidated Subs.,0,0,0,0,161
Customer Liability on Acceptances,0,0,0,0,0
Real Estate Other Than Bank Premises,0,1,1,21,0
Loans 0 1 Yr Growth Rate,18.97%,00.51%,6.40%,00.36%,0
Total Deposits FOR CALC PURPOSES,29636,28466,26482,23779,24897
Loans Total / Total Deposits,0.00%,0.00%,0.00%,0.00%,0.00%
Loans Total / Total Assets,0.00%,0.00%,0.00%,0.00%,0.00%
Net Property Plant & Equipment,377,385,420,483,363
Other Assets Including Intangibles,2145,2242,2177,2460,2424
Other Assets,990,1079,1000,1195,1179
Intangible Assets,1154,1163,1178,1265,1245
Deferred Charges,0,0,0,0,0
Interest Receivables,144,81,90,0,0
Total Assets,39406,35104,33420,32505,33791
Assets 0 Total Growth,12.25%,5.04%,2.82%,03.81%,0
Return On Average Assets,0.98%,0,0,0,0
