Fiscal year is January0December. All values USD Millions.,2022,2021,2020,2019,2018
Total Cash & Due from Banks,259,229,281,222,228
Cash & Due from Banks Growth,13.21%,018.43%,26.33%,02.80%,0
Investments 0 Total,"4,532","2,392","1,967","2,160","1,984"
Trading Account Securities,0,0,0,0,0
Federal Funds Sold & Securities Purchased,3,1,0,1,0
Federal Funds Sold,3,1,0,1,0
Securities Bought Under Resale Agreement,0,0,0,0,0
Treasury Securities,"1,478",458,475,414,697
Federal Agency Securities,15,22,20,23,30
State & Municipal Securities,10,9,31,24,28
Mortgage Backed Securities,17,29,16,17,16
Other Securities,36,27,34,23,8
Other Investments,"2,973","1,846","1,390","1,657","1,204"
Investments Growth,89.47%,21.63%,08.96%,8.88%,0
Net Loans,"6,851","6,086","6,303","5,608","4,925"
Gross Loans 0 Net of Unearned Income,0,0,0,0,0
Commercial & Industrial Loans,"2,101","2,208","2,969","2,252","1,645"
Consumer & Installment Loans,447,413,355,360,328
Interbank Loans,0,0,0,0,0
Real Estate Mortgage Loans,"4,396","3,548","3,070","3,051","3,003"
Lease Financing Loans,0,0,0,0,0
Foreign Loans,0,0,0,0,0
Broker & Financial Institution Loans,0,0,0,0,0
Unspecified/Other Loans,0,0,0,0,0
Unearned Income,0,0,0,0,0
Loan Loss Allowances (Reserves),(93),(84),(91),(54),(51)
Investment in Unconsolidated Subs.,0,0,0,0,0
Customer Liability on Acceptances,0,0,0,0,0
Real Estate Other Than Bank Premises,37,39,32,6,7
Loans 0 1 Yr Growth Rate,12.58%,03.45%,12.40%,13.88%,0
Total Deposits FOR CALC PURPOSES,"10,974","8,092","8,065","7,484","6,605"
Loans (Total) / Total Deposits,0.00%,0.00%,0.00%,0.00%,0.00%
Loans (Total) / Total Assets,0.00%,0.00%,0.00%,0.00%,0.00%
"Net Property, Plant & Equipment",284,274,266,212,174
Other Assets (Including Intangibles),372,364,330,358,251
Other Assets,170,196,161,186,155
Intangible Assets,202,167,169,171,96
Deferred Charges,0,0,0,0,0
Interest Receivables,31,21,26,0,0
Total Assets,"12,420","9,431","9,236","8,587","7,592"
Assets 0 Total Growth,31.69%,2.11%,7.56%,13.11%,0
Return On Average Assets,1.77%,0,0,0,0
