Fiscal year is January0December. All values USD Millions.,2022,2021,2020,2019,2018
Total Cash & Due from Banks,1033,2054,2394,1496,291
Cash & Due from Banks Growth,049.68%,014.20%,60.03%,414.59%,0
Investments 0 Total,3543,3972,3444,2299,2888
Trading Account Securities,9,15,0,0,0
Federal Funds Sold & Securities Purchased,0,0,0,0,0
Federal Funds Sold,0,0,0,0,0
Securities Bought Under Resale Agreement,0,0,0,0,0
Treasury Securities,24,25,0,0,0
Federal Agency Securities,616,555,76,0,27
State & Municipal Securities,1269,813,1732,522,607
Mortgage Backed Securities,1549,2217,1598,1750,2213
Other Securities,34,306,0,5,16
Other Investments,42,41,38,22,26
Investments Growth,010.82%,15.35%,49.78%,020.39%,0
Net Loans,20570,18090,18913,17424,17016
Gross Loans 0 Net of Unearned Income,0,0,0,0,0
Commercial & Industrial Loans,2728,2023,7001,6013,6044
Consumer & Installment Loans,2446,2185,2394,2935,2346
Interbank Loans,0,0,0,0,0
Real Estate Mortgage Loans,15605,14099,9814,8584,8728
Lease Financing Loans,0,0,0,0,0
Foreign Loans,0,0,0,0,0
Broker & Financial Institution Loans,0,0,0,0,0
Unspecified/Other Loans,0,0,0,0,0
Unearned Income,0,0,0,0,0
Loan Loss Allowances Reserves,209,217,296,109,102
Investment in Unconsolidated Subs.,0,0,0,0,0
Customer Liability on Acceptances,0,0,0,0,0
Real Estate Other Than Bank Premises,7,6,11,19,16
Loans 0 1 Yr Growth Rate,13.71%,04.35%,8.55%,2.40%,0
Total Deposits FOR CALC PURPOSES,21500,20209,21450,18474,17938
Loans Total / Total Deposits,0.00%,0.00%,0.00%,0.00%,0.00%
Loans Total / Total Assets,0.00%,0.00%,0.00%,0.00%,0.00%
Net Property Plant & Equipment,678,696,739,712,567
Other Assets Including Intangibles,1700,1629,1574,1531,1528
Other Assets,1037,960,898,847,832
Intangible Assets,664,669,675,685,696
Deferred Charges,0,0,0,0,0
Interest Receivables,125,83,88,75,82
Total Assets,27657,26530,27163,23556,22388
Assets 0 Total Growth,4.24%,02.33%,15.31%,5.22%,0
Return On Average Assets,2.08%,0,0,0,0
Total Deposits,21500,20209,21450,18474,17938
Demand Deposits,8756,8396,7121,5502,5108
Savings/Time Deposits,12744,11813,14330,12973,12831
Foreign Office Deposits,0,0,0,0,0
Unspecified Deposits,0,0,0,0,0
Deposits Growth,6.39%,05.79%,16.11%,2.99%,0
Total Debt,1132,1288,1176,771,460
ST Debt & Current Portion LT Debt,626,29,34,383,129
Current Portion of Long Term Debt,618,14,17,363,108
Short Term Debt,8,15,17,20,21
Long0Term Debt,506,1259,1142,388,331
LT Debt excl. Capitalized Leases,457,1203,1078,332,331
Capitalized Lease Obligations,0,0,0,0,0
Provision for Risks & Charges,156,72,81,0,0
Long Term Debt Growth,059.84%,10.22%,194.62%,16.99%,0
Total Assets FOR CALCULATION PURPOSES ONLY,27657,26530,27163,23556,22388
Total Debt / Total Assets,4.09%,4.85%,4.33%,3.27%,2.05%
Deferred Tax Liabilities,0,0,0,0,0
Deferred Taxes 0 Credit,0,0,0,0,0
Deferred Taxes 0 Debit,0,0,0,0,0
Other Liabilities,177,123,179,157,216
Deferred Tax Liability0Untaxed Reserves,0,0,0,0,0
Other Liabilities excl. Deferred Income,177,123,179,157,216
Deferred Income,0,0,0,0,0
Total Liabilities,22966,21691,22887,19402,18615
Total Liabilities Growth,5.88%,05.23%,17.96%,4.23%,0
Preferred Stock Carrying Value,339,339,0,0,0
Redeemable Preferred Stock,0,0,0,0,0
Non0Redeemable Preferred Stock,339,339,0,0,0
Preferred Stock issues for ESOP,0,0,0,0,0
ESOP Guarantees 0 Preferred Stock,0,0,0,0,0
Common Equity Total,4351,4497,4272,4150,3770
Common Stock Par/Carry Value,1,1,1,1,1
Additional Paid0In Capital/Capital Surplus,1754,2094,2266,2252,2238
Retained Earnings,2773,2378,1947,1870,1565
ESOP Debt Guarantee,0,0,0,0,0
Cumulative Translation Adjustment/Unrealized For. Exch. Gain,0,0,0,0,0
Unrealized Gain/Loss Marketable Securities,178,24,58,27,34
Revaluation Reserves,0,0,0,0,0
Other Appropriated Reserves,0,0,0,0,0
Unappropriated Reserves,0,0,0,0,0
Treasury Stock,0,0,0,0,0
Common Equity / Total Assets,0.16%,0.17%,0.16%,0.18%,0.17%
Total Shareholders Equity,4690,4836,4272,4150,3770
Total Shareholders Equity / Total Assets,16.96%,18.23%,15.73%,17.62%,16.84%
Return On Average Total Equity,11.84%,0,0,0,0
Accumulated Minority Interest,1,3,3,3,3
Total Equity,4691,4839,4275,4153,3773
Liabilities & Shareholders Equity,27657,26530,27163,23556,22388
