Fiscal year is January0December. All values USD Millions.,2022,2021,2020,2019,2018
Total Cash & Due from Banks,16,19,20,8,9
Cash & Due from Banks Growth,016.06%,05.39%,162.63%,017.97%,0
Investments 0 Total,10795,10594,9949,8326,8937
Trading Account Securities,0,0,0,0,0
Federal Funds Sold & Securities Purchased,0,0,0,0,0
Federal Funds Sold,0,0,0,0,0
Securities Bought Under Resale Agreement,0,0,0,0,0
Treasury Securities,136,112,81,70,40
Federal Agency Securities,0,0,0,0,0
State & Municipal Securities,117,222,236,273,398
Mortgage Backed Securities,8034,8185,7121,5600,5695
Other Securities,1469,1545,1739,1826,2034
Other Investments,1039,530,772,556,770
Investments Growth,1.90%,6.49%,19.49%,06.84%,0
Net Loans,24738,23639,23609,23046,21867
Gross Loans 0 Net of Unearned Income,0,0,0,0,0
Commercial & Industrial Loans,7855,7051,7596,6626,7410
Consumer & Installment Loans,6,7,6,9,16
Interbank Loans,0,0,0,0,0
Real Estate Mortgage Loans,16438,16008,15238,15208,14507
Lease Financing Loans,540,700,1025,1312,0
Foreign Loans,0,0,0,0,0
Broker & Financial Institution Loans,0,0,0,0,0
Unspecified/Other Loans,0,0,0,0,44
Unearned Income,0,0,0,0,0
Loan Loss Allowances Reserves,148,126,257,109,110
Investment in Unconsolidated Subs.,0,0,0,0,0
Customer Liability on Acceptances,0,0,0,0,0
Real Estate Other Than Bank Premises,1,208,0,257,10
Loans 0 1 Yr Growth Rate,4.65%,0.13%,2.44%,5.39%,0
Total Deposits FOR CALC PURPOSES,27509,29438,27496,24395,23474
Loans Total / Total Deposits,0.00%,0.00%,0.00%,0.00%,0.00%
Loans Total / Total Assets,0.00%,0.00%,0.00%,0.00%,0.00%
Net Property Plant & Equipment,702,804,838,849,774
Other Assets Including Intangibles,488,535,578,386,567
Other Assets,410,458,501,308,489
Intangible Assets,78,78,78,78,78
Deferred Charges,0,0,0,0,0
Interest Receivables,163,16,17,0,0
Total Assets,37196,35985,35194,33017,32293
Assets 0 Total Growth,3.36%,2.25%,6.59%,2.24%,0
Return On Average Assets,0.76%,0,0,0,0
