Fiscal year is January0December. All values USD Millions.,2022,2021,2020,2019,2018
Total Cash & Due from Banks,40,34,28,37,35
Cash & Due from Banks Growth,19.17%,21.56%,026.02%,5.83%,0
Investments 0 Total,657,876,847,710,827
Trading Account Securities,0,0,0,0,0
Federal Funds Sold & Securities Purchased,0,0,0,0,0
Federal Funds Sold,0,0,0,0,0
Securities Bought Under Resale Agreement,0,0,0,0,0
Treasury Securities,0,0,0,0,0
Federal Agency Securities,0,0,0,0,0
State & Municipal Securities,108,142,169,142,132
Mortgage Backed Securities,357,384,318,441,536
Other Securities,94,92,98,80,58
Other Investments,97,258,262,47,101
Investments Growth,025.05%,3.42%,19.28%,014.12%,0
Net Loans,2877,2509,2544,2626,2476
Gross Loans 0 Net of Unearned Income,0,0,0,0,0
Commercial & Industrial Loans,340,348,404,423,405
Consumer & Installment Loans,8,8,10,13,11
Interbank Loans,0,0,0,0,0
Real Estate Mortgage Loans,2555,2175,2149,2205,2075
Lease Financing Loans,0,0,0,0,0
Foreign Loans,0,0,0,0,0
Broker & Financial Institution Loans,0,0,0,0,0
Unspecified/Other Loans,0,0,0,0,0
Unearned Income,0,0,0,0,0
Loan Loss Allowances Reserves,26,23,19,15,14
Investment in Unconsolidated Subs.,0,0,0,0,0
Customer Liability on Acceptances,0,0,0,0,0
Real Estate Other Than Bank Premises,0,0,0,2,2
Loans 0 1 Yr Growth Rate,14.65%,01.36%,03.12%,6.03%,0
Total Deposits FOR CALC PURPOSES,3043,3049,2906,2696,2483
Loans Total / Total Deposits,0.00%,0.00%,0.00%,0.00%,0.00%
Loans Total / Total Assets,0.00%,0.00%,0.00%,0.00%,0.00%
Net Property Plant & Equipment,56,59,63,61,49
Other Assets Including Intangibles,252,237,224,225,206
Other Assets,127,111,97,98,98
Intangible Assets,125,126,127,127,108
Deferred Charges,0,0,0,0,0
Interest Receivables,4,3,3,3,4
Total Assets,3910,3709,3724,3669,3614
Assets 0 Total Growth,5.41%,00.40%,1.50%,1.51%,0
Return On Average Assets,1.14%,0,0,0,0
