Fiscal year is January0December. All values USD Millions.,2022,2021,2020,2019,2018
Total Cash & Due from Banks,62,35,41,48,30
Cash & Due from Banks Growth,76.68%,014.93%,014.09%,59.75%,0
Investments 0 Total,1444,1687,1535,1270,1058
Trading Account Securities,0,0,0,0,0
Federal Funds Sold & Securities Purchased,0,0,0,0,0
Federal Funds Sold,0,0,0,0,0
Securities Bought Under Resale Agreement,0,0,0,0,0
Treasury Securities,41,18,24,42,53
Federal Agency Securities,130,139,114,165,186
State & Municipal Securities,65,94,147,99,84
Mortgage Backed Securities,859,1102,1062,791,553
Other Securities,88,115,115,102,41
Other Investments,261,223,78,74,141
Investments Growth,014.41%,9.88%,20.85%,20.01%,0
Net Loans,5339,4482,4274,3754,3476
Gross Loans 0 Net of Unearned Income,0,0,0,0,0
Commercial & Industrial Loans,2055,1707,1899,1330,1145
Consumer & Installment Loans,0,0,0,0,0
Interbank Loans,0,0,0,0,0
Real Estate Mortgage Loans,2835,2471,2218,2266,2153
Lease Financing Loans,519,354,223,178,188
Foreign Loans,0,0,0,0,0
Broker & Financial Institution Loans,0,0,0,0,0
Unspecified/Other Loans,12,6,6,12,17
Unearned Income,0,1,6,0,1
Loan Loss Allowances Reserves,82,55,66,32,25
Investment in Unconsolidated Subs.,0,0,0,0,0
Customer Liability on Acceptances,0,0,0,0,0
Real Estate Other Than Bank Premises,5,2,6,10,5
Loans 0 1 Yr Growth Rate,19.13%,4.86%,13.87%,7.98%,0
Total Deposits FOR CALC PURPOSES,5695,5155,4752,4148,3750
Loans Total / Total Deposits,0.00%,0.00%,0.00%,0.00%,0.00%
Loans Total / Total Assets,0.00%,0.00%,0.00%,0.00%,0.00%
Net Property Plant & Equipment,68,74,87,96,98
Other Assets Including Intangibles,347,342,383,289,228
Other Assets,188,176,211,109,67
Intangible Assets,159,166,173,180,162
Deferred Charges,0,0,0,0,0
Interest Receivables,30,19,21,13,11
Total Assets,7415,6706,6410,5543,4962
Assets 0 Total Growth,10.57%,4.61%,15.65%,11.70%,0
Return On Average Assets,1.25%,0,0,0,0
