Fiscal year is January0December. All values USD Millions.,2022,2021,2020,2019,2018
Total Cash & Due from Banks,59,42,44,188,43
Cash & Due from Banks Growth,38.75%,04.35%,076.37%,333.33%,0
Investments 0 Total,866,1409,1113,588,552
Trading Account Securities,10,10,7,10,8
Federal Funds Sold & Securities Purchased,0,0,0,0,0
Federal Funds Sold,0,0,0,0,0
Securities Bought Under Resale Agreement,0,0,0,0,0
Treasury Securities,0,0,0,0,0
Federal Agency Securities,324,131,183,152,162
State & Municipal Securities,96,104,71,104,136
Mortgage Backed Securities,315,435,315,277,206
Other Securities,42,28,16,9,13
Other Investments,80,702,522,36,28
Investments Growth,038.55%,26.55%,89.35%,6.48%,0
Net Loans,4232,3597,3337,2785,2455
Gross Loans 0 Net of Unearned Income,0,0,0,0,0
Commercial & Industrial Loans,995,889,835,1049,917
Consumer & Installment Loans,118,107,102,132,94
Interbank Loans,0,0,0,0,0
Real Estate Mortgage Loans,3161,2639,1387,1628,1469
Lease Financing Loans,0,0,0,0,0
Foreign Loans,0,0,0,0,0
Broker & Financial Institution Loans,0,0,0,0,0
Unspecified/Other Loans,0,0,0,0,0
Unearned Income,0,0,0,5,5
Loan Loss Allowances Reserves,43,38,34,19,20
Investment in Unconsolidated Subs.,0,15,0,0,0
Customer Liability on Acceptances,0,0,0,0,0
Real Estate Other Than Bank Premises,1,1,1,2,0
Loans 0 1 Yr Growth Rate,17.64%,7.78%,19.86%,13.43%,0
Total Deposits FOR CALC PURPOSES,4622,4716,4182,3102,2611
Loans Total / Total Deposits,0.00%,0.00%,0.00%,0.00%,0.00%
Loans Total / Total Assets,0.00%,0.00%,0.00%,0.00%,0.00%
Net Property Plant & Equipment,101,82,78,73,50
Other Assets Including Intangibles,196,168,140,117,110
Other Assets,152,124,96,78,70
Intangible Assets,44,44,44,39,39
Deferred Charges,0,0,0,0,0
Interest Receivables,20,16,18,11,11
Total Assets,5475,5329,4729,3764,3222
Assets 0 Total Growth,2.74%,12.68%,25.66%,16.83%,0
Return On Average Assets,1.17%,0,0,0,0
Total Deposits,4622,4716,4182,3102,2611
Demand Deposits,1906,1871,1579,1011,957
Savings/Time Deposits,2717,2844,2603,2091,1654
Foreign Office Deposits,0,0,0,0,0
Unspecified Deposits,0,0,0,0,0
Deposits Growth,01.98%,12.77%,34.79%,18.83%,0
Total Debt,271,126,91,319,316
ST Debt & Current Portion LT Debt,135,2,2,39,48
Current Portion of Long Term Debt,0,0,0,38,48
Short Term Debt,135,2,2,2,0
Long0Term Debt,136,124,89,279,268
LT Debt excl. Capitalized Leases,105,104,71,261,268
Capitalized Lease Obligations,0,0,0,1,0
Provision for Risks & Charges,1,2,8,8,7
Long Term Debt Growth,9.75%,39.62%,068.16%,4.18%,0
Total Assets FOR CALCULATION PURPOSES ONLY,5475,5329,4729,3764,3222
Total Debt / Total Assets,4.95%,2.36%,1.92%,8.46%,9.80%
Deferred Tax Liabilities,0,0,0,0,0
Deferred Taxes 0 Credit,0,0,0,0,0
Deferred Taxes 0 Debit,0,0,0,0,0
Other Liabilities,50,42,32,30,25
Deferred Tax Liability0Untaxed Reserves,0,0,0,0,0
Other Liabilities excl. Deferred Income,50,42,32,30,24
Deferred Income,0,0,0,0,0
Total Liabilities,4944,4886,4313,3459,2959
Total Liabilities Growth,1.19%,13.28%,24.71%,16.90%,0
Preferred Stock Carrying Value,58,58,58,0,0
Redeemable Preferred Stock,0,0,0,0,0
Non0Redeemable Preferred Stock,58,58,58,0,0
Preferred Stock issues for ESOP,0,0,0,0,0
ESOP Guarantees 0 Preferred Stock,0,0,0,0,0
Common Equity Total,473,385,358,305,263
Common Stock Par/Carry Value,0,0,0,0,0
Additional Paid0In Capital/Capital Surplus,222,127,128,99,98
Retained Earnings,307,261,219,202,172
ESOP Debt Guarantee,0,0,0,0,0
Cumulative Translation Adjustment/Unrealized For. Exch. Gain,0,0,0,0,0
Unrealized Gain/Loss Marketable Securities,54,1,15,7,4
Revaluation Reserves,0,0,0,0,0
Other Appropriated Reserves,2,0,0,0,0
Unappropriated Reserves,0,0,0,0,0
Treasury Stock,3,2,3,3,3
Common Equity / Total Assets,0.09%,0.07%,0.08%,0.08%,0.08%
Total Shareholders Equity,531,443,416,305,263
Total Shareholders Equity / Total Assets,9.69%,8.31%,8.80%,8.10%,8.16%
Return On Average Total Equity,12.93%,0,0,0,0
Accumulated Minority Interest,0,0,0,0,0
Total Equity,531,443,416,305,263
Liabilities & Shareholders Equity,5475,5329,4729,3764,3222
