Fiscal year is January0December. All values USD Millions.,2022,2021,2020,2019,2018
Total Cash & Due from Banks,72,65,68,60,62
Cash & Due from Banks Growth,10.41%,03.84%,13.03%,03.14%,0
Investments 0 Total,"1,663","2,020","1,469",971,884
Trading Account Securities,0,0,0,0,0
Federal Funds Sold & Securities Purchased,529,970,861,318,214
Federal Funds Sold,529,970,861,318,214
Securities Bought Under Resale Agreement,0,0,0,0,0
Treasury Securities,479,303,110,253,297
Federal Agency Securities,186,238,209,156,133
State & Municipal Securities,40,47,4,8,49
Mortgage Backed Securities,273,313,165,219,177
Other Securities,95,93,8,8,8
Other Investments,61,55,114,10,7
Investments Growth,017.64%,37.44%,51.34%,9.80%,0
Net Loans,"2,500","1,910","1,983","1,822","1,760"
Gross Loans 0 Net of Unearned Income,0,0,0,0,0
Commercial & Industrial Loans,247,223,394,255,234
Consumer & Installment Loans,326,323,270,281,297
Interbank Loans,0,0,0,0,0
Real Estate Mortgage Loans,"1,952","1,386","1,342","1,299","1,244"
Lease Financing Loans,0,0,0,0,0
Foreign Loans,0,0,0,0,0
Broker & Financial Institution Loans,0,0,0,0,0
Unspecified/Other Loans,0,0,0,0,0
Unearned Income,0,0,0,0,0
Loan Loss Allowances (Reserves),(25),(22),(24),(14),(14)
Investment in Unconsolidated Subs.,3,0,0,0,0
Customer Liability on Acceptances,0,0,0,0,0
Real Estate Other Than Bank Premises,0,0,1,1,2
Loans 0 1 Yr Growth Rate,30.92%,03.67%,8.81%,3.52%,0
Total Deposits FOR CALC PURPOSES,"3,939","3,713","3,218","2,645","2,532"
Loans (Total) / Total Deposits,0.00%,0.00%,0.00%,0.00%,0.00%
Loans (Total) / Total Assets,0.00%,0.00%,0.00%,0.00%,0.00%
"Net Property, Plant & Equipment",104,95,99,86,87
Other Assets (Including Intangibles),174,169,172,149,163
Other Assets,81,75,82,64,79
Intangible Assets,93,93,89,85,85
Deferred Charges,0,0,0,0,0
Interest Receivables,8,5,7,0,0
Total Assets,"4,526","4,264","3,798","3,089","2,959"
Assets 0 Total Growth,6.15%,12.26%,22.96%,4.39%,0
Return On Average Assets,0.91%,0,0,0,0
