Fiscal year is January0December. All values USD Millions.,2022,2021,2020,2019,2018
Total Cash & Due from Banks,"47,553","38,151","40,552","50,460","50,853"
Cash & Due from Banks Growth,24.64%,05.92%,019.64%,00.77%,0
Investments 0 Total,"1,537,545","1,395,937","1,389,588","1,044,063","1,027,715"
Trading Account Securities,"334,114","331,945","375,079","276,140","256,117"
Federal Funds Sold & Securities Purchased,"365,401","327,288","294,712","251,322","270,684"
Federal Funds Sold,0,0,0,0,0
Securities Bought Under Resale Agreement,"365,401","327,288","294,712","251,322","270,684"
Treasury Securities,"227,251","234,259","167,446","106,099","108,070"
Federal Agency Securities,0,0,51,"5,319","9,152"
State & Municipal Securities,"11,460","11,544","12,904","14,082","16,834"
Mortgage Backed Securities,"103,371","99,312","95,492","84,355","80,451"
Other Securities,"176,889","160,913","164,649","151,643","137,108"
Other Investments,"319,059","230,676","279,255","155,103","149,299"
Investments Growth,10.14%,0.46%,33.09%,1.59%,0
Net Loans,"640,247","651,312","650,927","686,700","671,881"
Gross Loans 0 Net of Unearned Income,0,0,0,0,0
Commercial & Industrial Loans,"79,943","81,142","84,475","87,167","85,310"
Consumer & Installment Loans,"188,395","137,026","134,894","152,862","155,442"
Interbank Loans,0,0,0,0,0
Real Estate Mortgage Loans,"118,448","112,271","115,581","109,602","121,386"
Lease Financing Loans,308,413,673,"1,290","1,429"
Foreign Loans,"226,728","269,979","284,451","294,640","283,431"
Broker & Financial Institution Loans,"43,399","66,936","55,809","53,922","48,447"
Unspecified/Other Loans,0,0,0,0,708
Unearned Income,0,0,0,0,(822)
Loan Loss Allowances (Reserves),"(16,974)","(16,455)","(24,956)","(12,783)","(12,315)"
Investment in Unconsolidated Subs.,0,0,0,0,0
Customer Liability on Acceptances,0,0,0,0,0
Real Estate Other Than Bank Premises,15,27,43,61,99
Loans 0 1 Yr Growth Rate,01.70%,0.06%,05.21%,2.21%,0
Total Deposits FOR CALC PURPOSES,"1,365,954","1,317,230","1,280,671","1,070,590","1,013,170"
Loans (Total) / Total Deposits,0.00%,0.00%,0.00%,0.00%,0.00%
Loans (Total) / Total Assets,0.00%,0.00%,0.00%,0.00%,0.00%
"Net Property, Plant & Equipment","26,253",845,"2,800","3,100",0
Other Assets (Including Intangibles),"137,391","180,352","151,340","143,680","143,932"
Other Assets,"113,937","154,962","124,767","117,227","117,250"
Intangible Assets,"23,454","25,390","26,573","26,453","26,682"
Deferred Charges,0,0,0,0,0
Interest Receivables,0,0,0,0,0
Total Assets,"2,422,356","2,296,436","2,266,238","1,957,037","1,922,165"
Assets 0 Total Growth,5.48%,1.33%,15.80%,1.81%,0
Return On Average Assets,0.63%,0,0,0,0
