Fiscal year is January0December. All values USD Millions.,2022,2021,2020,2019,2018
Total Cash & Due from Banks,48,105,102,35,37
Cash & Due from Banks Growth,054.55%,3.03%,189.35%,06.10%,0
Investments 0 Total,524,540,374,363,375
Trading Account Securities,0,0,0,0,0
Federal Funds Sold & Securities Purchased,0,0,0,0,0
Federal Funds Sold,0,0,0,0,0
Securities Bought Under Resale Agreement,0,0,0,0,0
Treasury Securities,55,49,39,17,13
Federal Agency Securities,0,0,0,0,0
State & Municipal Securities,189,221,170,107,112
Mortgage Backed Securities,228,230,141,223,239
Other Securities,26,19,1,1,1
Other Investments,25,22,23,15,11
Investments Growth,02.98%,44.63%,2.97%,03.19%,0
Net Loans,1723,1551,1633,1172,818
Gross Loans 0 Net of Unearned Income,0,0,0,0,0
Commercial & Industrial Loans,299,298,377,213,172
Consumer & Installment Loans,19,17,16,17,17
Interbank Loans,0,0,0,0,0
Real Estate Mortgage Loans,1421,1250,1251,952,639
Lease Financing Loans,0,0,0,0,0
Foreign Loans,0,0,0,0,0
Broker & Financial Institution Loans,0,0,0,0,0
Unspecified/Other Loans,0,0,0,0,0
Unearned Income,0,0,0,0,0
Loan Loss Allowances Reserves,17,14,11,10,9
Investment in Unconsolidated Subs.,0,0,0,0,0
Customer Liability on Acceptances,0,0,0,0,0
Real Estate Other Than Bank Premises,0,1,1,3,2
Loans 0 1 Yr Growth Rate,11.09%,04.99%,39.27%,43.28%,0
Total Deposits FOR CALC PURPOSES,1998,1925,1820,1253,1034
Loans Total / Total Deposits,0.00%,0.00%,0.00%,0.00%,0.00%
Loans Total / Total Assets,0.00%,0.00%,0.00%,0.00%,0.00%
Net Property Plant & Equipment,26,24,25,19,15
Other Assets Including Intangibles,103,102,99,58,40
Other Assets,48,46,43,29,28
Intangible Assets,55,56,56,30,12
Deferred Charges,0,0,0,0,0
Interest Receivables,9,7,8,5,4
Total Assets,2456,2331,2245,1656,1292
Assets 0 Total Growth,5.37%,3.83%,35.54%,28.21%,0
Return On Average Assets,1.10%,0,0,0,0
Total Deposits,1998,1925,1820,1253,1034
Demand Deposits,564,521,465,286,273
Savings/Time Deposits,1434,1404,1355,967,761
Foreign Office Deposits,0,0,0,0,0
Unspecified Deposits,0,0,0,0,0
Deposits Growth,3.77%,5.75%,45.33%,21.17%,0
Total Debt,186,81,95,146,49
ST Debt & Current Portion LT Debt,90,18,47,92,45
Current Portion of Long Term Debt,9,15,26,5,32
Short Term Debt,81,2,21,86,13
Long0Term Debt,96,64,48,55,4
LT Debt excl. Capitalized Leases,92,60,45,54,4
Capitalized Lease Obligations,0,0,0,0,0
Provision for Risks & Charges,1,2,3,2,2
Long Term Debt Growth,51.01%,32.25%,012.57%,1303.07%,0
Total Assets FOR CALCULATION PURPOSES ONLY,2456,2331,2245,1656,1292
Total Debt / Total Assets,7.57%,3.49%,4.21%,8.84%,3.77%
Deferred Tax Liabilities,21,6,3,3,4
Deferred Taxes 0 Credit,2,4,6,2,1
Deferred Taxes 0 Debit,23,9,9,5,5
Other Liabilities,20,17,22,9,9
Deferred Tax Liability0Untaxed Reserves,0,0,0,0,0
Other Liabilities excl. Deferred Income,20,17,22,9,9
Deferred Income,0,0,0,0,0
Total Liabilities,2207,2030,1945,1412,1095
Total Liabilities Growth,8.73%,4.34%,37.78%,28.99%,0
Preferred Stock Carrying Value,0,0,0,0,0
Redeemable Preferred Stock,0,0,0,0,0
Non0Redeemable Preferred Stock,0,0,0,0,0
Preferred Stock issues for ESOP,0,0,0,0,0
ESOP Guarantees 0 Preferred Stock,0,0,0,0,0
Common Equity Total,249,301,300,244,197
Common Stock Par/Carry Value,16,16,16,14,13
Additional Paid0In Capital/Capital Surplus,144,144,144,105,73
Retained Earnings,152,143,130,126,123
ESOP Debt Guarantee,0,0,0,0,0
Cumulative Translation Adjustment/Unrealized For. Exch. Gain,0,0,0,0,0
Unrealized Gain/Loss Marketable Securities,50,5,12,4,4
Revaluation Reserves,0,0,0,0,0
Other Appropriated Reserves,0,0,0,0,0
Unappropriated Reserves,0,0,0,0,0
Treasury Stock,13,7,1,4,6
Common Equity / Total Assets,0.10%,0.13%,0.13%,0.15%,0.15%
Total Shareholders Equity,249,301,300,244,197
Total Shareholders Equity / Total Assets,10.15%,12.93%,13.35%,14.76%,15.28%
Return On Average Total Equity,9.58%,0,0,0,0
Accumulated Minority Interest,0,0,0,0,0
Total Equity,249,301,300,244,197
Liabilities & Shareholders Equity,2456,2331,2245,1656,1292
