Fiscal year is January0December. All values USD Millions.,2022,2021,2020,2019,2018
Total Cash & Due from Banks,1489,1155,1037,1175,1081
Cash & Due from Banks Growth,28.92%,11.38%,011.74%,8.70%,0
Investments 0 Total,48841,44452,46857,33070,31408
Trading Account Securities,0,0,0,0,0
Federal Funds Sold & Securities Purchased,0,0,0,0,0
Federal Funds Sold,0,0,0,0,0
Securities Bought Under Resale Agreement,0,0,0,0,0
Treasury Securities,3486,11,11,71,24
Federal Agency Securities,0,0,22506,19875,19634
State & Municipal Securities,2,2,3,5,5
Mortgage Backed Securities,28566,26352,3657,3864,4397
Other Securities,2998,2677,670,55,188
Other Investments,13789,15410,20010,9200,7160
Investments Growth,9.87%,05.13%,41.69%,5.29%,0
Net Loans,154679,126405,120647,117836,115418
Gross Loans 0 Net of Unearned Income,0,0,0,0,0
Commercial & Industrial Loans,51836,44500,44173,41479,40857
Consumer & Installment Loans,30518,32976,30609,29313,26613
Interbank Loans,0,0,0,0,0
Real Estate Mortgage Loans,43964,34837,31688,32237,33264
Lease Financing Loans,1479,1586,1968,2537,2903
Foreign Loans,0,0,0,0,0
Broker & Financial Institution Loans,0,0,0,0,0
Unspecified/Other Loans,0,0,0,0,0
Unearned Income,0,0,0,0,0
Loan Loss Allowances Reserves,1983,1758,2443,1252,1242
Investment in Unconsolidated Subs.,0,0,0,0,0
Customer Liability on Acceptances,0,0,0,0,0
Real Estate Other Than Bank Premises,0,0,0,45,34
Loans 0 1 Yr Growth Rate,22.37%,4.77%,2.39%,2.09%,0
Total Deposits FOR CALC PURPOSES,180724,154361,147164,125313,119575
Loans Total / Total Deposits,0.00%,0.00%,0.00%,0.00%,0.00%
Loans Total / Total Assets,0.00%,0.00%,0.00%,0.00%,0.00%
Net Property Plant & Equipment,1863,1534,1559,1460,791
Other Assets Including Intangibles,18934,14357,12745,12147,11786
Other Assets,9664,6377,4737,5035,4832
Intangible Assets,9270,7980,8008,7112,6954
Deferred Charges,0,0,0,0,0
Interest Receivables,927,506,504,0,0
Total Assets,226733,189817,184149,166285,161310
Assets 0 Total Growth,19.45%,3.08%,10.74%,3.08%,0
Return On Average Assets,1.00%,0,0,0,0
