Fiscal year is January0December. All values USD Millions.,2022,2021,2020,2019,2018
Total Cash & Due from Banks,43,264,137,49,43
Cash & Due from Banks Growth,083.59%,92.81%,182.37%,13.46%,0
Investments 0 Total,684,606,428,396,377
Trading Account Securities,0,0,0,0,0
Federal Funds Sold & Securities Purchased,0,0,0,0,0
Federal Funds Sold,0,0,0,0,0
Securities Bought Under Resale Agreement,0,0,0,0,0
Treasury Securities,61,48,22,20,31
Federal Agency Securities,0,0,0,0,0
State & Municipal Securities,317,299,229,206,172
Mortgage Backed Securities,237,213,113,133,144
Other Securities,2,1,1,1,1
Other Investments,66,45,64,37,30
Investments Growth,12.91%,41.56%,7.98%,5.16%,0
Net Loans,2518,1971,2032,1694,1548
Gross Loans 0 Net of Unearned Income,0,0,0,0,0
Commercial & Industrial Loans,279,247,410,203,177
Consumer & Installment Loans,21,11,13,15,20
Interbank Loans,0,0,0,0,0
Real Estate Mortgage Loans,2210,1740,1635,1491,1365
Lease Financing Loans,37,0,0,0,0
Foreign Loans,0,0,0,0,0
Broker & Financial Institution Loans,0,0,0,0,0
Unspecified/Other Loans,0,0,0,0,0
Unearned Income,0,0,0,0,0
Loan Loss Allowances Reserves,29,27,25,15,14
Investment in Unconsolidated Subs.,0,0,0,0,0
Customer Liability on Acceptances,0,0,0,0,0
Real Estate Other Than Bank Premises,0,0,0,0,0
Loans 0 1 Yr Growth Rate,27.74%,03.01%,19.97%,9.43%,0
Total Deposits FOR CALC PURPOSES,2620,2417,2189,1679,1580
Loans Total / Total Deposits,0.00%,0.00%,0.00%,0.00%,0.00%
Loans Total / Total Assets,0.00%,0.00%,0.00%,0.00%,0.00%
Net Property Plant & Equipment,66,25,25,26,22
Other Assets Including Intangibles,199,138,137,137,142
Other Assets,65,57,54,54,58
Intangible Assets,134,82,83,84,85
Deferred Charges,0,0,0,0,0
Interest Receivables,11,7,9,7,7
Total Assets,3538,3013,2769,2310,2139
Assets 0 Total Growth,17.42%,8.81%,19.89%,7.98%,0
Return On Average Assets,1.19%,0,0,0,0
Total Deposits,2620,2417,2189,1679,1580
Demand Deposits,1424,1326,1131,814,730
Savings/Time Deposits,1196,1090,1058,865,850
Foreign Office Deposits,0,0,0,0,0
Unspecified Deposits,0,0,0,0,0
Deposits Growth,8.41%,10.38%,30.42%,6.26%,0
Total Debt,544,207,185,278,439
ST Debt & Current Portion LT Debt,421,26,29,121,216
Current Portion of Long Term Debt,1,0,0,0,5
Short Term Debt,419,26,29,121,211
Long0Term Debt,123,181,156,157,223
LT Debt excl. Capitalized Leases,122,179,154,154,223
Capitalized Lease Obligations,0,0,0,0,0
Provision for Risks & Charges,6,6,0,0,0
Long Term Debt Growth,031.76%,15.83%,00.79%,029.52%,0
Total Assets FOR CALCULATION PURPOSES ONLY,3538,3013,2769,2310,2139
Total Debt / Total Assets,15.37%,6.86%,6.70%,12.03%,20.52%
Deferred Tax Liabilities,16,1,0,0,0
Deferred Taxes 0 Credit,0,0,0,0,0
Deferred Taxes 0 Debit,16,1,0,0,0
Other Liabilities,34,26,44,23,15
Deferred Tax Liability0Untaxed Reserves,0,0,0,0,0
Other Liabilities excl. Deferred Income,34,26,44,23,15
Deferred Income,0,0,0,0,0
Total Liabilities,3203,2655,2419,1979,2034
Total Liabilities Growth,20.65%,9.76%,22.19%,02.67%,0
Preferred Stock Carrying Value,0,0,0,0,9
Redeemable Preferred Stock,0,0,0,0,0
Non0Redeemable Preferred Stock,0,0,0,0,9
Preferred Stock issues for ESOP,0,0,0,0,0
ESOP Guarantees 0 Preferred Stock,0,0,0,0,0
Common Equity Total,335,355,350,330,290
Common Stock Par/Carry Value,310,278,277,276,267
Additional Paid0In Capital/Capital Surplus,0,0,0,0,0
Retained Earnings,156,126,93,68,41
ESOP Debt Guarantee,0,0,0,0,0
Cumulative Translation Adjustment/Unrealized For. Exch. Gain,0,0,0,0,0
Unrealized Gain/Loss Marketable Securities,53,15,21,13,2
Revaluation Reserves,0,0,0,0,0
Other Appropriated Reserves,5,6,7,6,4
Unappropriated Reserves,0,0,0,0,0
Treasury Stock,74,57,35,21,17
Common Equity / Total Assets,0.09%,0.12%,0.13%,0.14%,0.14%
Total Shareholders Equity,335,355,350,330,299
Total Shareholders Equity / Total Assets,9.46%,11.79%,12.64%,14.29%,13.97%
Return On Average Total Equity,11.28%,0,0,0,0
Accumulated Minority Interest,0,0,0,0,0
Total Equity,335,355,350,330,299
Liabilities & Shareholders Equity,3538,3010,2769,2310,2333
