Fiscal year is January0December. All values USD Millions.,2022,2021,2020,2019,2018
Total Cash & Due from Banks,1758,1236,1031,973,1390
Cash & Due from Banks Growth,42.23%,19.88%,5.96%,030.00%,0
Investments 0 Total,24376,39449,30748,17889,15659
Trading Account Securities,92,113,107,95,88
Federal Funds Sold & Securities Purchased,0,0,0,0,0
Federal Funds Sold,0,0,0,0,0
Securities Bought Under Resale Agreement,0,0,0,0,0
Treasury Securities,2664,2993,4658,2792,2727
Federal Agency Securities,0,0,0,0,0
State & Municipal Securities,0,0,0,0,0
Mortgage Backed Securities,16348,13993,10370,9606,9318
Other Securities,0,0,0,0,0
Other Investments,5272,22350,15613,5396,3526
Investments Growth,038.21%,28.30%,71.88%,14.24%,0
Net Loans,52792,48697,51343,49732,49492
Gross Loans 0 Net of Unearned Income,0,0,0,0,0
Commercial & Industrial Loans,30909,29366,32753,31473,31976
Consumer & Installment Loans,535,564,606,729,749
Interbank Loans,0,0,0,0,0
Real Estate Mortgage Loans,20001,17507,17412,16570,15918
Lease Financing Loans,760,640,594,588,507
Foreign Loans,1197,1208,926,1009,1013
Broker & Financial Institution Loans,0,0,0,0,0
Unspecified/Other Loans,0,0,0,0,0
Unearned Income,0,0,0,0,0
Loan Loss Allowances Reserves,610,588,948,637,671
Investment in Unconsolidated Subs.,0,0,0,0,0
Customer Liability on Acceptances,3,5,1,2,4
Real Estate Other Than Bank Premises,0,1,8,11,1
Loans 0 1 Yr Growth Rate,8.41%,05.15%,3.24%,0.48%,0
Total Deposits FOR CALC PURPOSES,71397,82339,72869,57295,55561
Loans Total / Total Deposits,0.00%,0.00%,0.00%,0.00%,0.00%
Loans Total / Total Assets,0.00%,0.00%,0.00%,0.00%,0.00%
Net Property Plant & Equipment,738,771,765,786,475
Other Assets Including Intangibles,5429,4314,4074,3967,3631
Other Assets,4762,3672,3438,3330,2992
Intangible Assets,667,642,636,637,639
Deferred Charges,0,0,0,0,0
Interest Receivables,310,143,159,0,0
Total Assets,85406,94616,88129,73686,70951
Assets 0 Total Growth,09.73%,7.36%,19.60%,3.85%,0
Return On Average Assets,1.27%,0,0,0,0
