Fiscal year is January0December. All values USD Millions.,2022,2021,2020,2019,2018
Total Cash & Due from Banks,848,4294,2208,908,1206
Cash & Due from Banks Growth,080.24%,94.45%,143.27%,024.73%,0
Investments 0 Total,13458,16376,13613,9711,9464
Trading Account Securities,44,46,35,28,27
Federal Funds Sold & Securities Purchased,875,1628,850,850,703
Federal Funds Sold,50,3,0,0,3
Securities Bought Under Resale Agreement,825,1625,850,850,700
Treasury Securities,1035,1081,838,852,908
Federal Agency Securities,43,52,54,139,196
State & Municipal Securities,1767,2097,2045,1268,1328
Mortgage Backed Securities,5520,7049,7073,4748,4263
Other Securities,3879,4178,2441,1568,1846
Other Investments,295,245,275,259,193
Investments Growth,017.82%,20.30%,40.17%,2.62%,0
Net Loans,16153,15026,16109,14577,13980
Gross Loans 0 Net of Unearned Income,0,0,0,0,0
Commercial & Industrial Loans,0,0,0,0,0
Consumer & Installment Loans,2658,2614,2609,2735,2785
Interbank Loans,0,0,0,0,0
Real Estate Mortgage Loans,7983,7258,7175,6437,6249
Lease Financing Loans,0,0,0,0,0
Foreign Loans,0,0,0,0,0
Broker & Financial Institution Loans,5662,5304,6546,5565,5106
Unspecified/Other Loans,0,0,0,0,0
Unearned Income,0,0,0,0,0
Loan Loss Allowances Reserves,150,150,221,161,160
Investment in Unconsolidated Subs.,1,2,18,0,0
Customer Liability on Acceptances,0,0,0,0,0
Real Estate Other Than Bank Premises,0,0,0,0,0
Loans 0 1 Yr Growth Rate,7.50%,06.72%,10.51%,4.27%,0
Total Deposits FOR CALC PURPOSES,26187,29813,26947,20520,20324
Loans Total / Total Deposits,0.00%,0.00%,0.00%,0.00%,0.00%
Loans Total / Total Assets,0.00%,0.00%,0.00%,0.00%,0.00%
Net Property Plant & Equipment,419,416,385,385,349
Other Assets Including Intangibles,902,510,507,484,464
Other Assets,748,366,363,343,323
Intangible Assets,154,144,144,141,141
Deferred Charges,0,0,0,0,0
Interest Receivables,94,65,83,0,0
Total Assets,31876,36689,33018,26133,25541
Assets 0 Total Growth,013.12%,11.12%,26.35%,2.31%,0
Return On Average Assets,1.41%,0,0,0,0
