Fiscal year is January-December. All values USD Millions.,2022,2021,2020,2019,2018
Total Cash & Due from Banks,210,1875,1646,205,212
Cash & Due from Banks Growth,-88.81%,13.93%,702.71%,-3.21%,-
Investments - Total,5315,4979,3599,3089,2983
Trading Account Securities,-,-,-,-,-
Federal Funds Sold & Securities Purchased,-,-,-,-,-
Federal Funds Sold,-,-,-,-,-
Securities Bought Under Resale Agreement,-,-,-,-,-
Treasury Securities,4323,3999,2501,2044,2024
Federal Agency Securities,-,-,-,-,-
State & Municipal Securities,504,430,476,512,459
Mortgage Backed Securities,397,497,566,486,451
Other Securities,12,12,11,8,9
Other Investments,79,41,45,39,40
Investments Growth,6.74%,38.37%,16.49%,3.58%,-
Net Loans,8748,7324,7355,6841,6232
Gross Loans - Net of Unearned Income,-,-,-,-,-
Commercial & Industrial Loans,3646,3076,3440,2776,2397
Consumer & Installment Loans,1717,1344,1175,1297,1262
Interbank Loans,-,-,-,-,-
Real Estate Mortgage Loans,3446,2954,2801,2817,2622
Lease Financing Loans,-,-,-,-,-
Foreign Loans,-,-,-,-,-
Broker & Financial Institution Loans,-,-,-,-,-
Unspecified/Other Loans,-,-,-,-,-
Unearned Income,-,-,-,-,-
Loan Loss Allowances Reserves,61,50,61,50,49
Investment in Unconsolidated Subs.,-,-,-,-,-
Customer Liability on Acceptances,-,-,-,-,-
Real Estate Other Than Bank Premises,1,1,1,1,1
Loans - 1 Yr Growth Rate,19.45%,-0.43%,7.52%,9.77%,-
Total Deposits FOR CALC PURPOSES,13012,12911,11225,8995,8322
Loans Total / Total Deposits,0.00%,0.00%,0.00%,0.00%,0.00%
Loans Total / Total Assets,0.00%,0.00%,0.00%,0.00%,0.00%
Net Property Plant & Equipment,161,161,166,165,120
Other Assets Including Intangibles,1199,1177,1126,1078,1029
Other Assets,296,313,279,241,221
Intangible Assets,903,864,847,837,807
Deferred Charges,107,128,102,82,73
Interest Receivables,53,36,39,32,31
Total Assets,15911,15582,13963,11438,10624
Assets - Total Growth,2.11%,11.59%,22.07%,7.66%,-
Return On Average Assets,1.19%,-,-,-,-
Total Deposits,13012,12911,11225,8995,8322
Demand Deposits,9672,9727,2103,1916,1901
Savings/Time Deposits,3341,3184,9121,7079,6421
Foreign Office Deposits,-,-,-,-,-
Unspecified Deposits,-,-,-,-,-
Deposits Growth,0.78%,15.02%,24.79%,8.08%,-
Total Debt,1169,363,407,386,414
ST Debt & Current Portion LT Debt,1124,333,288,260,314
Current Portion of Long Term Debt,-,-,-,1,-
Short Term Debt,1124,333,288,259,314
Long-Term Debt,45,29,119,125,100
LT Debt excl. Capitalized Leases,23,5,87,94,100
Capitalized Lease Obligations,-,-,-,-,-
Provision for Risks & Charges,16,22,21,18,15
Long Term Debt Growth,53.13%,-75.50%,-4.73%,25.49%,-
Total Assets FOR CALCULATION PURPOSES ONLY,15911,15582,13963,11438,10624
Total Debt / Total Assets,7.35%,2.33%,2.92%,3.37%,3.89%
Deferred Tax Liabilities,150,60,89,67,58
Deferred Taxes - Credit,75,90,121,95,75
Deferred Taxes - Debit,225,29,32,28,17
Other Liabilities,87,96,85,89,84
Deferred Tax Liability-Untaxed Reserves,-,-,-,-,-
Other Liabilities excl. Deferred Income,87,96,85,89,84
Deferred Income,-,-,-,-,-
Total Liabilities,14359,13481,11859,9583,8911
Total Liabilities Growth,6.51%,13.68%,23.75%,7.55%,-
Preferred Stock Carrying Value,-,-,-,-,-
Redeemable Preferred Stock,-,-,-,-,-
Non-Redeemable Preferred Stock,-,-,-,-,-
Preferred Stock issues for ESOP,-,-,-,-,-
ESOP Guarantees - Preferred Stock,-,-,-,-,-
Common Equity Total,1552,2101,2104,1855,1714
Common Stock Par/Carry Value,54,54,54,52,52
Additional Paid-In Capital/Capital Surplus,1050,1041,1025,927,912
Retained Earnings,1152,1058,960,883,796
ESOP Debt Guarantee,-,-,-,-,-
Cumulative Translation Adjustment/Unrealized For. Exch. Gain,-,-,-,-,-
Unrealized Gain/Loss Marketable Securities,655,35,91,25,12
Revaluation Reserves,-,-,-,-,-
Other Appropriated Reserves,24,7,20,25,21
Unappropriated Reserves,-,-,-,-,-
Treasury Stock,26,11,6,7,12
Common Equity / Total Assets,0.10%,0.13%,0.15%,0.16%,0.16%
Total Shareholders Equity,1552,2101,2104,1855,1714
Total Shareholders Equity / Total Assets,9.75%,13.48%,15.07%,16.22%,16.13%
Return On Average Total Equity,10.27%,-,-,-,-
Accumulated Minority Interest,-,-,-,-,-
Total Equity,1552,2101,2104,1855,1714
Liabilities & Shareholders Equity,15911,15582,13963,11438,10624
