Fiscal year is January-December. All values USD Millions.,2022,2021,2020,2019,2018
Total Cash & Due from Banks,300,483,409,187,217
Cash & Due from Banks Growth,-37.82%,18.08%,118.24%,-13.49%,-
Investments - Total,713,772,708,769,679
Trading Account Securities,-,-,-,-,-
Federal Funds Sold & Securities Purchased,-,-,-,-,-
Federal Funds Sold,-,-,-,-,-
Securities Bought Under Resale Agreement,-,-,-,-,-
Treasury Securities,-,-,-,-,-
Federal Agency Securities,-,-,-,-,-
State & Municipal Securities,494,561,488,456,378
Mortgage Backed Securities,183,180,162,282,282
Other Securities,12,7,18,4,5
Other Investments,24,23,40,27,16
Investments Growth,-7.58%,9.07%,-7.95%,13.18%,-
Net Loans,5311,4198,4367,3795,3023
Gross Loans - Net of Unearned Income,-,-,-,-,-
Commercial & Industrial Loans,1739,1745,1976,1765,1493
Consumer & Installment Loans,64,64,55,45,24
Interbank Loans,-,-,-,-,-
Real Estate Mortgage Loans,2454,1180,1244,1027,707
Lease Financing Loans,-,-,-,-,-
Foreign Loans,-,-,-,-,-
Broker & Financial Institution Loans,-,-,-,-,-
Unspecified/Other Loans,-,-,-,-,-
Unearned Income,-,13,13,9,9
Loan Loss Allowances Reserves,62,58,75,57,38
Investment in Unconsolidated Subs.,-,-,-,-,-
Customer Liability on Acceptances,-,-,-,-,-
Real Estate Other Than Bank Premises,1,1,2,4,-
Loans - 1 Yr Growth Rate,26.52%,-3.86%,15.05%,25.55%,-
Total Deposits FOR CALC PURPOSES,5651,4684,4695,3924,3208
Loans Total / Total Deposits,0.00%,0.00%,0.00%,0.00%,0.00%
Loans Total / Total Assets,0.00%,0.00%,0.00%,0.00%,0.00%
Net Property Plant & Equipment,66,66,71,70,75
Other Assets Including Intangibles,135,71,71,76,83
Other Assets,106,71,71,69,75
Intangible Assets,29,-,0,8,8
Deferred Charges,-,-,-,-,-
Interest Receivables,30,16,17,16,14
Total Assets,6605,5633,5675,4943,4114
Assets - Total Growth,17.25%,-0.73%,14.80%,20.15%,-
Return On Average Assets,1.01%,-,-,-,-
Total Deposits,5651,4684,4695,3924,3208
Demand Deposits,1944,1699,1497,781,2116
Savings/Time Deposits,3325,2893,3010,2750,749
Foreign Office Deposits,-,-,-,-,-
Unspecified Deposits,382,91,188,392,343
Deposits Growth,20.66%,-0.24%,19.65%,22.31%,-
Total Debt,254,238,296,375,389
ST Debt & Current Portion LT Debt,113,22,19,60,119
Current Portion of Long Term Debt,113,22,17,45,44
Short Term Debt,-,-,2,15,75
Long-Term Debt,141,216,278,315,270
LT Debt excl. Capitalized Leases,141,216,278,315,270
Capitalized Lease Obligations,-,-,-,-,-
Provision for Risks & Charges,-,-,-,-,-
Long Term Debt Growth,-34.75%,-22.14%,-11.79%,16.60%,-
Total Assets FOR CALCULATION PURPOSES ONLY,6605,5633,5675,4943,4114
Total Debt / Total Assets,3.84%,4.22%,5.22%,7.58%,9.46%
Deferred Tax Liabilities,45,14,15,14,16
Deferred Taxes - Credit,3,12,15,12,6
Deferred Taxes - Debit,49,26,30,25,23
Other Liabilities,88,33,44,31,20
Deferred Tax Liability-Untaxed Reserves,-,-,-,-,-
Other Liabilities excl. Deferred Income,88,33,44,31,20
Deferred Income,-,-,-,-,-
Total Liabilities,5996,4965,5050,4341,3623
Total Liabilities Growth,20.75%,-1.68%,16.33%,19.81%,-
Preferred Stock Carrying Value,-,-,-,-,0
Redeemable Preferred Stock,-,-,-,-,0
Non-Redeemable Preferred Stock,-,-,-,-,-
Preferred Stock issues for ESOP,-,-,-,-,-
ESOP Guarantees - Preferred Stock,-,-,-,-,-
Common Equity Total,609,668,624,602,490
Common Stock Par/Carry Value,1,1,1,1,0
Additional Paid-In Capital/Capital Surplus,531,527,523,520,455
Retained Earnings,206,147,78,65,39
ESOP Debt Guarantee,-,-,-,-,-
Cumulative Translation Adjustment/Unrealized For. Exch. Gain,-,-,-,-,-
Unrealized Gain/Loss Marketable Securities,65,21,29,16,3
Revaluation Reserves,-,-,-,-,-
Other Appropriated Reserves,-,-,-,-,-
Unappropriated Reserves,-,-,-,0,0
Treasury Stock,64,28,6,-,-
Common Equity / Total Assets,0.09%,0.12%,0.11%,0.12%,0.12%
Total Shareholders Equity,609,668,624,602,490
Total Shareholders Equity / Total Assets,9.21%,11.85%,11.00%,12.17%,11.92%
Return On Average Total Equity,9.65%,-,-,-,-
Accumulated Minority Interest,-,-,-,-,-
Total Equity,609,668,624,602,490
Liabilities & Shareholders Equity,6605,5633,5675,4943,4114
