Fiscal year is January-December. All values USD Millions.,2022,2021,2020,2019,2018
Total Cash & Due from Banks,106,145,117,136,150
Cash & Due from Banks Growth,-26.68%,24.05%,-13.96%,-9.49%,-
Investments - Total,7429,9756,5332,1848,1704
Trading Account Securities,-,-,-,1,53
Federal Funds Sold & Securities Purchased,-,-,-,-,-
Federal Funds Sold,-,-,-,-,-
Securities Bought Under Resale Agreement,-,-,-,-,-
Treasury Securities,93,89,70,50,-
Federal Agency Securities,952,1175,667,-,-
State & Municipal Securities,183,280,281,284,314
Mortgage Backed Securities,5938,6934,2166,1168,1136
Other Securities,1,-,-,6,6
Other Investments,262,1245,2149,339,195
Investments Growth,-23.85%,82.96%,188.48%,8.46%,-
Net Loans,13420,12157,9594,8899,8775
Gross Loans - Net of Unearned Income,-,-,-,-,-
Commercial & Industrial Loans,3151,2961,1995,1642,1659
Consumer & Installment Loans,194,214,278,402,552
Interbank Loans,-,-,-,-,-
Real Estate Mortgage Loans,10230,9106,2545,2635,2693
Lease Financing Loans,-,-,-,-,-
Foreign Loans,-,-,-,-,-
Broker & Financial Institution Loans,-,-,-,-,-
Unspecified/Other Loans,-,-,-,-,-
Unearned Income,13,26,24,6,0
Loan Loss Allowances Reserves,142,98,113,82,81
Investment in Unconsolidated Subs.,-,-,-,-,-
Customer Liability on Acceptances,-,-,-,-,-
Real Estate Other Than Bank Premises,-,-,-,-,-
Loans - 1 Yr Growth Rate,10.39%,26.72%,7.81%,1.42%,-
Total Deposits FOR CALC PURPOSES,18974,19628,12156,9551,9399
Loans Total / Total Deposits,0.00%,0.00%,0.00%,0.00%,0.00%
Loans Total / Total Assets,0.00%,0.00%,0.00%,0.00%,0.00%
Net Property Plant & Equipment,120,165,131,57,66
Other Assets Including Intangibles,1225,1213,777,660,645
Other Assets,564,563,400,282,264
Intangible Assets,661,650,377,378,381
Deferred Charges,166,179,149,61,61
Interest Receivables,14,-,-,-,-
Total Assets,22686,23570,16037,11664,11399
Assets - Total Growth,-3.75%,46.97%,37.49%,2.32%,-
Return On Average Assets,0.86%,-,-,-,-
Total Deposits,18974,19628,12156,9551,9399
Demand Deposits,15519,17024,10640,8251,7925
Savings/Time Deposits,2527,2604,1516,1300,1475
Foreign Office Deposits,-,-,-,-,-
Unspecified Deposits,929,-,-,-,-
Deposits Growth,-3.33%,61.47%,27.27%,1.62%,-
Total Debt,802,124,113,235,334
ST Debt & Current Portion LT Debt,705,15,14,206,299
Current Portion of Long Term Debt,-,-,-,5,130
Short Term Debt,705,15,14,201,169
Long-Term Debt,97,108,100,29,35
LT Debt excl. Capitalized Leases,50,34,28,29,35
Capitalized Lease Obligations,-,-,-,-,-
Provision for Risks & Charges,17,33,28,25,19
Long Term Debt Growth,-10.66%,8.60%,239.26%,-17.11%,-
Total Assets FOR CALCULATION PURPOSES ONLY,22686,23570,16037,11664,11399
Total Debt / Total Assets,3.54%,0.52%,0.71%,2.02%,2.93%
Deferred Tax Liabilities,332,77,13,28,38
Deferred Taxes - Credit,39,58,73,36,21
Deferred Taxes - Debit,371,135,86,64,59
Other Liabilities,381,320,239,217,193
Deferred Tax Liability-Untaxed Reserves,-,-,-,-,-
Other Liabilities excl. Deferred Income,381,320,239,217,193
Deferred Income,-,-,-,-,-
Total Liabilities,20215,20164,12609,10064,9966
Total Liabilities Growth,0.25%,59.92%,25.28%,0.98%,-
Preferred Stock Carrying Value,-,-,-,-,-
Redeemable Preferred Stock,-,-,-,-,-
Non-Redeemable Preferred Stock,-,-,-,-,-
Preferred Stock issues for ESOP,-,-,-,-,-
ESOP Guarantees - Preferred Stock,-,-,-,-,-
Common Equity Total,2472,3406,3428,1600,1433
Common Stock Par/Carry Value,2,2,2,-,-
Additional Paid-In Capital/Capital Surplus,1649,1835,1854,-,-
Retained Earnings,1882,1769,1666,1644,1509
ESOP Debt Guarantee,138,143,148,-,-
Cumulative Translation Adjustment/Unrealized For. Exch. Gain,-,-,-,-,-
Unrealized Gain/Loss Marketable Securities,880,59,46,22,19
Revaluation Reserves,-,-,-,-,-
Other Appropriated Reserves,43,2,9,66,56
Unappropriated Reserves,-,-,-,-,-
Treasury Stock,-,-,-,-,-
Common Equity / Total Assets,0.11%,0.14%,0.21%,0.14%,0.13%
Total Shareholders Equity,2472,3406,3428,1600,1433
Total Shareholders Equity / Total Assets,10.90%,14.45%,21.38%,13.72%,12.57%
Return On Average Total Equity,6.80%,-,-,-,-
Accumulated Minority Interest,-,-,-,-,-
Total Equity,2472,3406,3428,1600,1433
Liabilities & Shareholders Equity,22686,23570,16037,11664,11399
