Fiscal year is January0December. All values USD Millions.,2022,2021,2020,2019,2018
Total Cash & Due from Banks,37,34,41,40,44
Cash & Due from Banks Growth,9.92%,017.38%,1.78%,08.98%,0
Investments 0 Total,1054,1364,801,535,459
Trading Account Securities,0,0,0,0,0
Federal Funds Sold & Securities Purchased,0,0,0,0,0
Federal Funds Sold,0,0,0,0,0
Securities Bought Under Resale Agreement,0,0,0,0,0
Treasury Securities,43,62,0,0,0
Federal Agency Securities,5,0,0,1,8
State & Municipal Securities,323,369,240,182,142
Mortgage Backed Securities,428,510,326,307,267
Other Securities,21,18,17,15,16
Other Investments,234,406,218,30,26
Investments Growth,022.71%,70.32%,49.72%,16.53%,0
Net Loans,3128,2873,3029,2532,2354
Gross Loans 0 Net of Unearned Income,0,0,0,0,0
Commercial & Industrial Loans,414,484,889,501,514
Consumer & Installment Loans,8,8,9,10,10
Interbank Loans,0,0,0,0,0
Real Estate Mortgage Loans,2758,2429,2190,2057,1866
Lease Financing Loans,0,0,0,0,0
Foreign Loans,0,0,0,0,0
Broker & Financial Institution Loans,0,0,0,0,0
Unspecified/Other Loans,0,0,0,0,0
Unearned Income,0,0,13,3,3
Loan Loss Allowances Reserves,53,48,45,34,34
Investment in Unconsolidated Subs.,0,0,0,0,0
Customer Liability on Acceptances,0,0,0,0,0
Real Estate Other Than Bank Premises,0,0,0,0,0
Loans 0 1 Yr Growth Rate,8.87%,05.16%,19.65%,7.57%,0
Total Deposits FOR CALC PURPOSES,4036,3980,3551,2787,2565
Loans Total / Total Deposits,0.00%,0.00%,0.00%,0.00%,0.00%
Loans Total / Total Assets,0.00%,0.00%,0.00%,0.00%,0.00%
Net Property Plant & Equipment,69,69,65,64,38
Other Assets Including Intangibles,82,75,51,43,47
Other Assets,76,70,45,37,41
Intangible Assets,6,6,6,6,6
Deferred Charges,1,0,2,1,1
Interest Receivables,17,13,16,12,11
Total Assets,4447,4458,4028,3246,2967
Assets 0 Total Growth,00.24%,10.66%,24.12%,9.39%,0
Return On Average Assets,0.96%,0,0,0,0
