Fiscal year is January0December. All values USD Millions.,2022,2021,2020,2019,2018
Total Cash & Due from Banks,443,337,369,407,451
Cash & Due from Banks Growth,31.45%,08.67%,09.34%,09.76%,0
Investments 0 Total,"9,323","11,005","8,369","7,401","7,073"
Trading Account Securities,0,0,0,0,0
Federal Funds Sold & Securities Purchased,0,0,0,0,0
Federal Funds Sold,0,0,0,0,0
Securities Bought Under Resale Agreement,0,0,0,0,0
Treasury Securities,257,205,762,152,188
Federal Agency Securities,423,348,293,402,530
State & Municipal Securities,"1,054","1,050","1,140","1,131","1,101"
Mortgage Backed Securities,"5,596","5,284","4,134","4,877","4,774"
Other Securities,32,2,2,2,2
Other Investments,"1,961","4,116","2,038",837,478
Investments Growth,015.28%,31.50%,13.09%,4.64%,0
Net Loans,"29,853","24,624","25,096","23,093","21,973"
Gross Loans 0 Net of Unearned Income,0,0,0,0,0
Commercial & Industrial Loans,"7,245","6,071","7,254","5,329","4,602"
Consumer & Installment Loans,"4,337","3,603","3,238","3,743","3,697"
Interbank Loans,0,0,0,0,0
Real Estate Mortgage Loans,"6,628","4,900","4,751","4,825","4,695"
Lease Financing Loans,519,495,485,432,373
Foreign Loans,0,0,0,0,0
Broker & Financial Institution Loans,0,0,0,0,0
Unspecified/Other Loans,0,0,0,0,0
Unearned Income,0,0,0,0,0
Loan Loss Allowances (Reserves),(402),(344),(363),(196),(180)
Investment in Unconsolidated Subs.,0,1,4,0,0
Customer Liability on Acceptances,0,0,0,0,0
Real Estate Other Than Bank Premises,6,8,10,26,35
Loans 0 1 Yr Growth Rate,21.24%,01.88%,8.67%,5.10%,0
Total Deposits FOR CALC PURPOSES,"34,770","31,726","29,122","24,786","23,455"
Loans (Total) / Total Deposits,0.00%,0.00%,0.00%,0.00%,0.00%
Loans (Total) / Total Assets,0.00%,0.00%,0.00%,0.00%,0.00%
"Net Property, Plant & Equipment",567,485,459,454,330
Other Assets (Including Intangibles),"3,285","2,961","3,256","3,100","3,072"
Other Assets,719,657,940,771,738
Intangible Assets,"2,566","2,304","2,316","2,329","2,334"
Deferred Charges,0,0,0,0,0
Interest Receivables,99,49,19,109,101
Total Assets,"43,856","39,625","37,463","34,738","33,180"
Assets 0 Total Growth,10.68%,5.77%,7.84%,4.70%,0
Return On Average Assets,1.05%,0,0,0,0
