Fiscal year is January0December. All values USD Millions.,2022,2021,2020,2019,2018
Total Cash & Due from Banks,4,27,19,15,16
Cash & Due from Banks Growth,087.03%,40.75%,33.09%,09.00%,0
Investments 0 Total,676,843,475,192,196
Trading Account Securities,0,0,0,0,0
Federal Funds Sold & Securities Purchased,0,0,0,0,0
Federal Funds Sold,0,0,0,0,0
Securities Bought Under Resale Agreement,0,0,0,0,0
Treasury Securities,0,0,0,0,0
Federal Agency Securities,112,117,45,6,6
State & Municipal Securities,314,365,200,55,53
Mortgage Backed Securities,217,257,147,124,124
Other Securities,0,0,0,0,0
Other Investments,33,104,83,7,14
Investments Growth,019.82%,77.59%,147.09%,02.08%,0
Net Loans,1547,1418,1105,744,707
Gross Loans 0 Net of Unearned Income,0,0,0,0,0
Commercial & Industrial Loans,234,236,281,123,127
Consumer & Installment Loans,140,126,106,112,118
Interbank Loans,0,0,0,0,0
Real Estate Mortgage Loans,1159,1046,714,504,473
Lease Financing Loans,33,26,20,16,0
Foreign Loans,0,0,0,0,0
Broker & Financial Institution Loans,0,0,0,0,0
Unspecified/Other Loans,0,0,0,0,0
Unearned Income,2,1,1,1,1
Loan Loss Allowances Reserves,17,16,14,10,10
Investment in Unconsolidated Subs.,0,0,0,0,0
Customer Liability on Acceptances,0,0,0,0,0
Real Estate Other Than Bank Premises,1,0,0,0,0
Loans 0 1 Yr Growth Rate,9.14%,28.23%,48.65%,5.15%,0
Total Deposits FOR CALC PURPOSES,2167,2170,1510,836,770
Loans Total / Total Deposits,0.00%,0.00%,0.00%,0.00%,0.00%
Loans Total / Total Assets,0.00%,0.00%,0.00%,0.00%,0.00%
Net Property Plant & Equipment,40,40,35,28,19
Other Assets Including Intangibles,86,83,59,28,39
Other Assets,65,62,50,28,39
Intangible Assets,21,22,9,0,0
Deferred Charges,0,0,0,0,0
Interest Receivables,8,8,6,3,3
Total Assets,2390,2428,1705,1014,984
Assets 0 Total Growth,01.54%,42.36%,68.17%,3.02%,0
Return On Average Assets,1.25%,0,0,0,0
