Fiscal year is January0December. All values USD Millions.,2022,2021,2020,2019,2018
Total Cash & Due from Banks,3466,2994,3147,3278,2681
Cash & Due from Banks Growth,15.76%,04.86%,04.00%,22.27%,0
Investments 0 Total,65644,80901,79456,41929,37133
Trading Account Securities,414,512,560,297,287
Federal Funds Sold & Securities Purchased,0,0,0,0,0
Federal Funds Sold,0,0,0,0,0
Securities Bought Under Resale Agreement,0,0,0,0,0
Treasury Securities,2495,86,78,75,97
Federal Agency Securities,0,0,0,0,0
State & Municipal Securities,21,24,26,33,18
Mortgage Backed Securities,42274,32212,33718,33173,30164
Other Securities,7035,5653,3491,2772,2469
Other Investments,13405,42414,41583,5579,4098
Investments Growth,018.86%,1.82%,89.50%,12.92%,0
Net Loans,119286,110158,106329,108356,94162
Gross Loans 0 Net of Unearned Income,0,0,0,0,0
Commercial & Industrial Loans,57232,51659,49665,50542,44340
Consumer & Installment Loans,23424,21301,18674,16793,13788
Interbank Loans,0,0,0,0,0
Real Estate Mortgage Loans,38120,36038,37528,38860,33537
Lease Financing Loans,2704,3052,2915,3363,3600
Foreign Loans,0,0,0,0,0
Broker & Financial Institution Loans,0,0,0,0,0
Unspecified/Other Loans,0,0,0,0,0
Unearned Income,0,0,0,0,0
Loan Loss Allowances Reserves,2194,1892,2453,1202,1103
Investment in Unconsolidated Subs.,2153,2022,1872,1729,1810
Customer Liability on Acceptances,0,0,0,0,0
Real Estate Other Than Bank Premises,24,29,30,64,48
Loans 0 1 Yr Growth Rate,8.29%,3.60%,01.87%,15.07%,0
Total Deposits FOR CALC PURPOSES,163690,169324,159081,127062,108835
Loans Total / Total Deposits,0.00%,0.00%,0.00%,0.00%,0.00%
Loans Total / Total Assets,0.00%,0.00%,0.00%,0.00%,0.00%
Net Property Plant & Equipment,3322,3163,3288,3316,2379
Other Assets Including Intangibles,12175,11384,10072,10273,7418
Other Assets,7091,6714,5675,5820,4900
Intangible Assets,5084,4670,4397,4453,2518
Deferred Charges,145,139,129,101,93
Interest Receivables,703,465,486,424,438
Total Assets,207452,211116,204680,169369,146069
Assets 0 Total Growth,01.74%,3.14%,20.85%,15.95%,0
Return On Average Assets,1.17%,0,0,0,0
