Fiscal year is January0December. All values USD Millions.,2022,2021,2020,2019,2018
Total Cash & Due from Banks,23,21,26,14,19
Cash & Due from Banks Growth,10.15%,021.28%,81.61%,024.57%,0
Investments 0 Total,691,766,752,663,599
Trading Account Securities,0,0,0,0,0
Federal Funds Sold & Securities Purchased,0,0,0,0,0
Federal Funds Sold,0,0,0,0,0
Securities Bought Under Resale Agreement,0,0,0,0,0
Treasury Securities,0,0,0,0,0
Federal Agency Securities,59,57,67,40,16
State & Municipal Securities,292,290,285,246,227
Mortgage Backed Securities,289,316,297,341,326
Other Securities,38,28,30,15,4
Other Investments,13,75,73,21,25
Investments Growth,09.78%,1.83%,13.44%,10.79%,0
Net Loans,"1,898","1,632","1,461","1,285","1,227"
Gross Loans 0 Net of Unearned Income,0,0,0,0,0
Commercial & Industrial Loans,360,313,329,260,248
Consumer & Installment Loans,21,23,26,27,25
Interbank Loans,0,0,0,0,0
Real Estate Mortgage Loans,"1,534","1,312","1,122","1,011",966
Lease Financing Loans,0,0,0,0,0
Foreign Loans,0,0,0,0,0
Broker & Financial Institution Loans,0,0,0,0,0
Unspecified/Other Loans,0,0,0,0,0
Unearned Income,0,0,0,0,0
Loan Loss Allowances (Reserves),(17),(16),(16),(12),(11)
Investment in Unconsolidated Subs.,0,0,0,0,0
Customer Liability on Acceptances,0,0,0,0,0
Real Estate Other Than Bank Premises,0,0,1,0,1
Loans 0 1 Yr Growth Rate,16.29%,11.75%,13.62%,4.76%,0
Total Deposits FOR CALC PURPOSES,"2,379","2,123","1,845","1,650","1,527"
Loans (Total) / Total Deposits,0.00%,0.00%,0.00%,0.00%,0.00%
Loans (Total) / Total Assets,0.00%,0.00%,0.00%,0.00%,0.00%
"Net Property, Plant & Equipment",28,29,27,21,22
Other Assets (Including Intangibles),71,66,78,73,66
Other Assets,41,36,47,44,36
Intangible Assets,31,31,31,30,30
Deferred Charges,0,0,0,0,0
Interest Receivables,10,8,9,7,7
Total Assets,"2,739","2,527","2,361","2,069","1,945"
Assets 0 Total Growth,8.39%,7.02%,14.14%,6.39%,0
Return On Average Assets,1.48%,0,0,0,0
