Fiscal year is January0December. All values USD Millions.,2022,2021,2020,2019,2018
Total Cash & Due from Banks,67,115,138,90,71
Cash & Due from Banks Growth,041.70%,016.31%,53.43%,25.76%,0
Investments 0 Total,2078,2586,1496,882,608
Trading Account Securities,0,0,0,0,0
Federal Funds Sold & Securities Purchased,0,0,0,0,0
Federal Funds Sold,0,0,0,0,0
Securities Bought Under Resale Agreement,0,0,0,0,0
Treasury Securities,233,135,9,5,0
Federal Agency Securities,178,183,100,78,47
State & Municipal Securities,705,709,480,259,156
Mortgage Backed Securities,781,688,401,395,287
Other Securities,51,37,31,28,7
Other Investments,129,834,474,117,109
Investments Growth,019.65%,72.88%,69.66%,45.13%,0
Net Loans,3735,2929,3088,2586,2050
Gross Loans 0 Net of Unearned Income,0,0,0,0,0
Commercial & Industrial Loans,536,398,577,353,318
Consumer & Installment Loans,44,40,41,42,46
Interbank Loans,0,0,0,0,0
Real Estate Mortgage Loans,3194,2522,2503,2201,1693
Lease Financing Loans,0,0,3,3,3
Foreign Loans,0,0,0,0,0
Broker & Financial Institution Loans,0,0,0,0,0
Unspecified/Other Loans,0,0,0,0,0
Unearned Income,0,0,0,0,0
Loan Loss Allowances Reserves,39,31,36,14,10
Investment in Unconsolidated Subs.,2,2,3,3,3
Customer Liability on Acceptances,0,0,0,0,0
Real Estate Other Than Bank Premises,5,3,6,7,11
Loans 0 1 Yr Growth Rate,27.53%,05.15%,19.39%,26.15%,0
Total Deposits FOR CALC PURPOSES,5494,5227,4215,3077,2457
Loans Total / Total Deposits,0.00%,0.00%,0.00%,0.00%,0.00%
Loans Total / Total Assets,0.00%,0.00%,0.00%,0.00%,0.00%
Net Property Plant & Equipment,153,132,123,105,75
Other Assets Including Intangibles,321,287,304,254,172
Other Assets,140,101,116,65,59
Intangible Assets,180,186,188,189,113
Deferred Charges,0,0,0,0,0
Interest Receivables,28,23,26,15,11
Total Assets,6482,6095,5173,3958,3014
Assets 0 Total Growth,6.35%,17.82%,30.71%,31.33%,0
Return On Average Assets,1.00%,0,0,0,0
Total Deposits,5494,5227,4215,3077,2457
Demand Deposits,1630,756,3239,2128,1718
Savings/Time Deposits,3864,4471,976,949,739
Foreign Office Deposits,0,0,0,0,0
Unspecified Deposits,0,0,0,0,0
Deposits Growth,5.12%,24.00%,37.01%,25.19%,0
Total Debt,285,151,268,305,81
ST Debt & Current Portion LT Debt,132,1,113,214,0
Current Portion of Long Term Debt,0,0,111,210,0
Short Term Debt,132,1,2,4,0
Long0Term Debt,153,150,155,91,81
LT Debt excl. Capitalized Leases,145,145,149,85,81
Capitalized Lease Obligations,2,2,2,0,0
Provision for Risks & Charges,5,0,0,0,0
Long Term Debt Growth,2.40%,03.45%,71.06%,11.97%,0
Total Assets FOR CALCULATION PURPOSES ONLY,6482,6095,5173,3958,3014
Total Debt / Total Assets,4.39%,2.48%,5.17%,7.70%,2.69%
Deferred Tax Liabilities,73,4,8,3,3
Deferred Taxes 0 Credit,20,22,29,19,10
Deferred Taxes 0 Debit,94,18,21,16,13
Other Liabilities,31,19,17,17,17
Deferred Tax Liability0Untaxed Reserves,0,0,0,0,0
Other Liabilities excl. Deferred Income,31,19,17,17,17
Deferred Income,0,0,0,0,0
Total Liabilities,5835,5419,4528,3417,2565
Total Liabilities Growth,7.69%,19.66%,32.53%,33.22%,0
Preferred Stock Carrying Value,0,0,0,0,0
Redeemable Preferred Stock,0,0,0,0,0
Non0Redeemable Preferred Stock,0,0,0,0,0
Preferred Stock issues for ESOP,0,0,0,0,0
ESOP Guarantees 0 Preferred Stock,0,0,0,0,0
Common Equity Total,647,676,645,544,363
Common Stock Par/Carry Value,25,22,22,19,15
Additional Paid0In Capital/Capital Surplus,559,459,457,410,279
Retained Earnings,253,206,154,110,72
ESOP Debt Guarantee,0,0,0,0,0
Cumulative Translation Adjustment/Unrealized For. Exch. Gain,0,0,0,0,0
Unrealized Gain/Loss Marketable Securities,149,8,26,10,2
Revaluation Reserves,0,0,0,0,0
Other Appropriated Reserves,0,0,0,0,0
Unappropriated Reserves,0,0,0,0,0
Treasury Stock,41,19,14,6,0
Common Equity / Total Assets,0.10%,0.11%,0.12%,0.14%,0.12%
Total Shareholders Equity,647,676,645,544,363
Total Shareholders Equity / Total Assets,9.98%,11.09%,12.46%,13.74%,12.05%
Return On Average Total Equity,9.51%,0,0,0,0
Accumulated Minority Interest,0,0,0,0,0
Total Equity,647,676,645,544,363
Liabilities & Shareholders Equity,6482,6095,5173,3961,2928
