Fiscal year is January0December. All values USD Millions.,2022,2021,2020,2019,2018
Total Cash & Due from Banks,118,103,119,137,129
Cash & Due from Banks Growth,14.11%,013.33%,012.98%,5.98%,0
Investments 0 Total,"3,542","4,772","2,913","2,129","1,452"
Trading Account Securities,0,0,0,0,0
Federal Funds Sold & Securities Purchased,0,0,0,0,0
Federal Funds Sold,0,0,0,0,0
Securities Bought Under Resale Agreement,0,0,0,0,0
Treasury Securities,134,204,97,215,78
Federal Agency Securities,0,0,0,0,0
State & Municipal Securities,258,307,305,268,204
Mortgage Backed Securities,"2,270","2,684","1,787","1,061",892
Other Securities,730,799,78,110,138
Other Investments,151,777,646,475,139
Investments Growth,025.77%,63.81%,36.83%,46.67%,0
Net Loans,"7,634","7,101","6,713","6,634","5,518"
Gross Loans 0 Net of Unearned Income,0,0,0,0,0
Commercial & Industrial Loans,"1,974","1,944","2,015","1,748","1,405"
Consumer & Installment Loans,0,0,0,0,0
Interbank Loans,0,0,0,0,0
Real Estate Mortgage Loans,"5,449","5,019","4,762","4,889","4,135"
Lease Financing Loans,0,0,0,0,0
Foreign Loans,0,0,0,0,0
Broker & Financial Institution Loans,0,0,0,0,0
Unspecified/Other Loans,302,226,37,50,28
Unearned Income,0,0,0,0,0
Loan Loss Allowances (Reserves),(92),(88),(101),(54),(51)
Investment in Unconsolidated Subs.,0,0,0,0,0
Customer Liability on Acceptances,0,0,0,0,0
Real Estate Other Than Bank Premises,1,4,5,3,0
Loans 0 1 Yr Growth Rate,7.51%,5.78%,1.20%,20.22%,0
Total Deposits FOR CALC PURPOSES,"10,071","10,769","8,678","7,902","6,249"
Loans (Total) / Total Deposits,0.00%,0.00%,0.00%,0.00%,0.00%
Loans (Total) / Total Assets,0.00%,0.00%,0.00%,0.00%,0.00%
"Net Property, Plant & Equipment",139,147,143,161,118
Other Assets (Including Intangibles),859,701,615,606,452
Other Assets,495,325,251,233,152
Intangible Assets,364,376,364,373,301
Deferred Charges,0,0,0,0,0
Interest Receivables,43,31,33,27,22
Total Assets,"12,337","12,860","10,584","9,731","7,720"
Assets 0 Total Growth,04.07%,21.50%,8.77%,26.05%,0
Return On Average Assets,1.02%,0,0,0,0
