Fiscal year is January0December. All values USD Millions.,2022,2021,2020,2019,2018
Total Cash & Due from Banks,656,1122,630,65,67
Cash & Due from Banks Growth,041.48%,78.14%,863.05%,02.86%,0
Investments 0 Total,1114,1711,1330,1540,1338
Trading Account Securities,0,0,0,0,0
Federal Funds Sold & Securities Purchased,0,0,0,0,0
Federal Funds Sold,0,0,0,0,0
Securities Bought Under Resale Agreement,0,0,0,0,0
Treasury Securities,20,28,2,1,1
Federal Agency Securities,0,0,0,0,0
State & Municipal Securities,47,52,0,0,0
Mortgage Backed Securities,879,943,724,915,722
Other Securities,143,168,82,99,86
Other Investments,25,520,523,525,528
Investments Growth,034.89%,28.64%,013.60%,15.10%,0
Net Loans,10692,6873,4780,4527,4275
Gross Loans 0 Net of Unearned Income,0,0,0,0,0
Commercial & Industrial Loans,2985,1598,919,600,450
Consumer & Installment Loans,4,11,19,16,23
Interbank Loans,0,0,0,0,0
Real Estate Mortgage Loans,7720,5285,3857,3919,3811
Lease Financing Loans,0,0,0,0,0
Foreign Loans,0,0,0,0,0
Broker & Financial Institution Loans,0,0,0,0,0
Unspecified/Other Loans,17,13,9,12,10
Unearned Income,0,0,0,0,0
Loan Loss Allowances Reserves,34,34,24,21,19
Investment in Unconsolidated Subs.,0,0,0,0,0
Customer Liability on Acceptances,0,0,0,0,0
Real Estate Other Than Bank Premises,6,6,0,0,1
Loans 0 1 Yr Growth Rate,55.57%,43.80%,5.58%,5.90%,0
Total Deposits FOR CALC PURPOSES,10363,8812,5913,4891,4533
Loans Total / Total Deposits,0.00%,0.00%,0.00%,0.00%,0.00%
Loans Total / Total Assets,0.00%,0.00%,0.00%,0.00%,0.00%
Net Property Plant & Equipment,67,57,22,25,9
Other Assets Including Intangibles,453,406,187,147,138
Other Assets,232,184,91,50,38
Intangible Assets,222,222,95,97,99
Deferred Charges,0,0,0,0,0
Interest Receivables,0,0,0,0,0
Total Assets,13014,10196,6957,6314,5840
Assets 0 Total Growth,27.64%,46.56%,10.18%,8.12%,0
Return On Average Assets,0.95%,0,0,0,0
Total Deposits,10363,8812,5913,4891,4533
Demand Deposits,5306,5523,2527,1579,1392
Savings/Time Deposits,5057,3289,3386,3312,3141
Foreign Office Deposits,0,0,0,0,0
Unspecified Deposits,0,0,0,0,0
Deposits Growth,17.60%,49.02%,20.90%,7.90%,0
Total Debt,1402,231,285,761,708
ST Debt & Current Portion LT Debt,1183,173,261,739,703
Current Portion of Long Term Debt,0,0,0,0,0
Short Term Debt,1183,173,261,739,703
Long0Term Debt,220,58,23,22,5
LT Debt excl. Capitalized Leases,194,44,14,10,5
Capitalized Lease Obligations,0,0,0,0,0
Provision for Risks & Charges,0,0,0,0,0
Long Term Debt Growth,280.95%,147.80%,6.39%,337.24%,0
Total Assets FOR CALCULATION PURPOSES ONLY,13014,10196,6957,6314,5840
Total Debt / Total Assets,10.78%,2.26%,4.09%,12.05%,12.12%
Deferred Tax Liabilities,24,21,9,11,13
Deferred Taxes 0 Credit,0,0,0,0,0
Deferred Taxes 0 Debit,24,21,9,11,13
Other Liabilities,115,89,63,49,40
Deferred Tax Liability0Untaxed Reserves,0,0,0,0,0
Other Liabilities excl. Deferred Income,115,89,63,49,40
Deferred Income,0,0,0,0,0
Total Liabilities,11880,9132,6261,5701,5281
Total Liabilities Growth,30.09%,45.85%,9.84%,7.94%,0
Preferred Stock Carrying Value,0,0,0,0,0
Redeemable Preferred Stock,0,0,0,0,0
Non0Redeemable Preferred Stock,0,0,0,0,0
Preferred Stock issues for ESOP,0,0,0,0,0
ESOP Guarantees 0 Preferred Stock,0,0,0,0,0
Common Equity Total,1134,1064,696,614,559
Common Stock Par/Carry Value,0,0,0,0,0
Additional Paid0In Capital/Capital Surplus,720,721,434,434,432
Retained Earnings,427,341,248,176,128
ESOP Debt Guarantee,0,0,0,0,0
Cumulative Translation Adjustment/Unrealized For. Exch. Gain,0,0,0,0,0
Unrealized Gain/Loss Marketable Securities,12,2,14,4,1
Revaluation Reserves,0,0,0,0,0
Other Appropriated Reserves,0,0,0,0,0
Unappropriated Reserves,0,0,0,0,0
Treasury Stock,0,0,0,0,0
Common Equity / Total Assets,0.09%,0.10%,0.10%,0.10%,0.10%
Total Shareholders Equity,1134,1064,696,614,559
Total Shareholders Equity / Total Assets,8.72%,10.44%,10.00%,9.72%,9.57%
Return On Average Total Equity,10.05%,0,0,0,0
Accumulated Minority Interest,0,0,0,0,0
Total Equity,1134,1064,696,614,559
Liabilities & Shareholders Equity,13014,10196,6957,6314,5840
