Fiscal year is January0December. All values USD Millions.,2022,2021,2020,2019,2018
Total Cash & Due from Banks,83,262,299,67,127
Cash & Due from Banks Growth,068.37%,012.43%,349.40%,047.80%,0
Investments 0 Total,458,366,243,431,409
Trading Account Securities,0,0,0,0,0
Federal Funds Sold & Securities Purchased,0,0,1,1,1
Federal Funds Sold,0,0,1,1,1
Securities Bought Under Resale Agreement,0,0,0,0,0
Treasury Securities,99,0,3,0,0
Federal Agency Securities,265,270,170,35,170
State & Municipal Securities,14,16,28,37,39
Mortgage Backed Securities,3,1,1,259,123
Other Securities,71,78,36,96,73
Other Investments,7,1,3,3,3
Investments Growth,25.37%,50.74%,043.74%,5.54%,0
Net Loans,2496,2135,1820,1515,1214
Gross Loans 0 Net of Unearned Income,0,0,0,0,0
Commercial & Industrial Loans,424,425,381,295,224
Consumer & Installment Loans,48,48,149,109,59
Interbank Loans,0,0,0,0,0
Real Estate Mortgage Loans,1737,1447,1319,1125,945
Lease Financing Loans,318,246,0,0,0
Foreign Loans,0,0,0,0,0
Broker & Financial Institution Loans,0,0,0,0,0
Unspecified/Other Loans,0,0,0,0,0
Unearned Income,8,7,5,3,3
Loan Loss Allowances Reserves,24,24,25,11,11
Investment in Unconsolidated Subs.,0,0,0,0,0
Customer Liability on Acceptances,0,0,0,0,0
Real Estate Other Than Bank Premises,0,2,2,5,1
Loans 0 1 Yr Growth Rate,16.87%,17.35%,20.14%,24.71%,0
Total Deposits FOR CALC PURPOSES,2724,2596,2166,1853,1630
Loans Total / Total Deposits,0.00%,0.00%,0.00%,0.00%,0.00%
Loans Total / Total Assets,0.00%,0.00%,0.00%,0.00%,0.00%
Net Property Plant & Equipment,58,59,60,56,40
Other Assets Including Intangibles,43,43,38,35,19
Other Assets,26,25,19,16,13
Intangible Assets,17,18,19,19,6
Deferred Charges,0,0,0,0,0
Interest Receivables,13,12,12,8,7
Total Assets,3151,2878,2473,2117,1817
Assets 0 Total Growth,9.49%,16.38%,16.81%,16.51%,0
Return On Average Assets,0.96%,0,0,0,0
Total Deposits,2724,2596,2166,1853,1630
Demand Deposits,1985,1808,1272,962,839
Savings/Time Deposits,739,788,895,891,791
Foreign Office Deposits,0,0,0,0,0
Unspecified Deposits,0,0,0,0,0
Deposits Growth,4.90%,19.86%,16.91%,13.71%,0
Total Debt,183,50,117,87,35
ST Debt & Current Portion LT Debt,150,10,61,39,3
Current Portion of Long Term Debt,3,3,5,19,3
Short Term Debt,146,6,56,20,0
Long0Term Debt,34,40,56,47,32
LT Debt excl. Capitalized Leases,34,40,56,47,32
Capitalized Lease Obligations,0,0,0,0,0
Provision for Risks & Charges,0,0,0,0,0
Long Term Debt Growth,015.69%,028.64%,17.90%,50.26%,0
Total Assets FOR CALCULATION PURPOSES ONLY,3151,2878,2473,2117,1817
Total Debt / Total Assets,5.82%,1.72%,4.72%,4.10%,1.90%
Deferred Tax Liabilities,0,0,0,0,0
Deferred Taxes 0 Credit,0,0,0,0,0
Deferred Taxes 0 Debit,0,0,0,0,0
Other Liabilities,9,8,12,11,6
Deferred Tax Liability0Untaxed Reserves,0,0,0,0,0
Other Liabilities excl. Deferred Income,9,8,12,11,6
Deferred Income,0,0,0,0,0
Total Liabilities,2916,2654,2294,1951,1670
Total Liabilities Growth,9.88%,15.68%,17.59%,16.84%,0
Preferred Stock Carrying Value,33,33,0,0,0
Redeemable Preferred Stock,0,0,0,0,0
Non0Redeemable Preferred Stock,33,33,0,0,0
Preferred Stock issues for ESOP,0,0,0,0,0
ESOP Guarantees 0 Preferred Stock,0,0,0,0,0
Common Equity Total,202,191,179,166,147
Common Stock Par/Carry Value,11,11,10,10,9
Additional Paid0In Capital/Capital Surplus,130,130,111,111,92
Retained Earnings,76,57,57,43,53
ESOP Debt Guarantee,0,0,0,0,0
Cumulative Translation Adjustment/Unrealized For. Exch. Gain,0,0,0,0,0
Unrealized Gain/Loss Marketable Securities,15,7,1,2,7
Revaluation Reserves,0,0,0,0,0
Other Appropriated Reserves,0,0,0,0,0
Unappropriated Reserves,0,0,0,0,0
Treasury Stock,0,0,0,0,0
Common Equity / Total Assets,0.06%,0.07%,0.07%,0.08%,0.08%
Total Shareholders Equity,235,224,179,166,147
Total Shareholders Equity / Total Assets,7.46%,7.78%,7.22%,7.84%,8.10%
Return On Average Total Equity,12.59%,0,0,0,0
Accumulated Minority Interest,0,0,0,0,0
Total Equity,235,224,179,166,147
Liabilities & Shareholders Equity,3151,2878,2473,2117,1817
