Fiscal year is January-December. All values USD Thousands.,2021,2020,2019,2018,2017
Total Cash & Due from Banks,6638.0,5996.0,4009.0,5888.8,5650.2
Cash & Due from Banks Growth,10.71%,49.56%,-31.92%,4.22%,-
Investments - Total,94498.0,59754.0,50491.0,49622.0,37041.6
Trading Account Securities,-,-,-,-,-
Federal Funds Sold & Securities Purchased,-,-,-,-,-
Federal Funds Sold,-,-,-,-,-
Securities Bought Under Resale Agreement,-,-,-,-,-
Treasury Securities,-,2470.0,2740.0,-,-
Federal Agency Securities,11016.0,973.0,8997.0,23727.1,17895.2
State & Municipal Securities,50613.0,45942.0,28880.0,14388.8,9372.4
Mortgage Backed Securities,26664.0,6085.0,4168.0,1327.5,1626.1
Other Securities,3072.0,-,-,-,-
Other Investments,3133.0,4284.0,5706.0,10178.6,8147.9
Investments Growth,58.15%,18.35%,1.75%,33.96%,-
Net Loans,373051.0,364800.0,341980.0,318615.4,304491.1
Gross Loans - Net of Unearned Income,-,-,-,-,-
Commercial & Industrial Loans,26851.0,45262.0,24676.0,21990.0,18589.0
Consumer & Installment Loans,4574.0,2944.0,1752.0,1295.4,1224.3
Interbank Loans,-,-,-,-,-
Real Estate Mortgage Loans,343566.0,319231.0,317371.0,301699.2,299522.7
Lease Financing Loans,-,-,-,-,-
Foreign Loans,-,-,-,-,-
Broker & Financial Institution Loans,-,-,-,-,-
Unspecified/Other Loans,1650.0,705.0,1056.0,865.8,785.6
Unearned Income,-,-,-,-,-
Loan Loss Allowances Reserves,3590.0,3342.0,2875.0,2806.2,2803.8
Investment in Unconsolidated Subs.,-,-,-,-,-
Customer Liability on Acceptances,-,-,-,-,-
Real Estate Other Than Bank Premises,-,-,-,-,-
Loans - 1 Yr Growth Rate,2.26%,6.67%,7.33%,4.64%,-
Total Deposits FOR CALC PURPOSES,393243.0,327381.0,281616.0,274446.1,249560.9
Loans Total / Total Deposits,0.00%,0.00%,0.00%,0.00%,0.00%
Loans Total / Total Assets,0.00%,0.00%,0.00%,0.00%,0.00%
Net Property Plant & Equipment,4566.0,5078.0,5338.0,5581.5,5943.7
Other Assets Including Intangibles,6087.0,5316.0,5714.0,5462.6,4867.7
Other Assets,6087.0,5316.0,5714.0,5462.6,4867.7
Intangible Assets,-,-,-,-,-
Deferred Charges,-,-,-,-,-
Interest Receivables,1499.0,1412.0,1235.0,1164.4,1077.9
Total Assets,487963.0,444047.0,410331.0,387754.3,360461.2
Assets - Total Growth,9.89%,8.22%,5.82%,7.57%,-
Return On Average Assets,0.56%,-,-,-,-
Total Deposits,393243.0,327381.0,281616.0,274446.1,249560.9
Demand Deposits,277552.0,230656.0,180635.0,170532.5,153270.7
Savings/Time Deposits,115691.0,96725.0,100981.0,103913.5,96290.2
Foreign Office Deposits,-,-,-,-,-
Unspecified Deposits,-,-,-,-,-
