Fiscal year is January0December. All values USD Thousands.,2022,2021,2020,2019,2018
Total Cash & Due from Banks,11844.0,10843.0,12235.0,11939.0,9796.0
Cash & Due from Banks Growth,9.23%,011.38%,2.48%,21.88%,0
Investments 0 Total,156398.0,185672.0,174822.0,164965.0,202809.0
Trading Account Securities,0,0,0,0,0
Federal Funds Sold & Securities Purchased,1768.0,82.0,85.0,10080.0,8354.0
Federal Funds Sold,1768.0,82.0,85.0,10080.0,8354.0
Securities Bought Under Resale Agreement,0,0,0,0,0
Treasury Securities,52882.0,35461.0,11197.0,4404.0,8105.0
Federal Agency Securities,4880.0,0,0,0,0
State & Municipal Securities,2157.0,4870.0,6115.0,5311.0,7384.0
Mortgage Backed Securities,56817.0,73314.0,71326.0,98641.0,138460.0
Other Securities,15921.0,15482.0,2784.0,0,0
Other Investments,21973.0,51271.0,83315.0,46529.0,40506.0
Investments Growth,015.77%,6.21%,5.98%,018.66%,0
Net Loans,764451.0,700030.0,638374.0,545243.0,514867.0
Gross Loans 0 Net of Unearned Income,0,0,0,0,0
Commercial & Industrial Loans,73561.0,73947.0,81735.0,90957.0,85779.0
Consumer & Installment Loans,290857.0,253321.0,203396.0,115848.0,107516.0
Interbank Loans,0,0,0,0,0
Real Estate Mortgage Loans,410704.0,383676.0,364992.0,349248.0,332575.0
Lease Financing Loans,0,0,0,0,0
Foreign Loans,0,0,0,0,0
Broker & Financial Institution Loans,0,0,0,0,0
Unspecified/Other Loans,0,0,0,0,0
Unearned Income,1249.0,2594.0,4279.0,5048.0,5948.0
Loan Loss Allowances Reserves,9422.0,8320.0,7470.0,5762.0,5055.0
Investment in Unconsolidated Subs.,0,0,0,0,0
Customer Liability on Acceptances,0,0,0,0,0
Real Estate Other Than Bank Premises,769.0,2149.0,949.0,1078.0,1505.0
Loans 0 1 Yr Growth Rate,9.20%,9.66%,17.08%,5.90%,0
Total Deposits FOR CALC PURPOSES,870025.0,838126.0,782212.0,683662.0,704725.0
Loans Total / Total Deposits,0.00%,0.00%,0.00%,0.00%,0.00%
Loans Total / Total Assets,0.00%,0.00%,0.00%,0.00%,0.00%
Net Property Plant & Equipment,26322.0,27368.0,31276.0,32759.0,27643.0
Other Assets Including Intangibles,26732.0,27234.0,28073.0,27515.0,27894.0
Other Assets,18931.0,19165.0,19663.0,18690.0,18582.0
Intangible Assets,7801.0,8069.0,8410.0,8825.0,9312.0
Deferred Charges,0,0,0,0,0
Interest Receivables,3011.0,2556.0,2807.0,2488.0,2816.0
Total Assets,996782.0,960113.0,892862.0,790504.0,793443.0
Assets 0 Total Growth,3.82%,7.53%,12.95%,00.37%,0
Return On Average Assets,0.70%,0,0,0,0
