Fiscal year is January-December. All values USD Millions.,2022,2021,2020,2019,2018
Total Cash & Due from Banks,152,82,157,50,119
Cash & Due from Banks Growth,85.69%,-48.08%,216.12%,-58.01%,-
Investments - Total,857,882,751,891,928
Trading Account Securities,-,-,-,-,-
Federal Funds Sold & Securities Purchased,-,-,-,-,-
Federal Funds Sold,-,-,-,-,-
Securities Bought Under Resale Agreement,-,-,-,-,-
Treasury Securities,-,-,-,-,-
Federal Agency Securities,81,6,6,-,-
State & Municipal Securities,67,51,51,64,71
Mortgage Backed Securities,518,661,512,631,653
Other Securities,143,118,138,137,131
Other Investments,48,47,45,59,73
Investments Growth,-2.77%,17.33%,-15.63%,-4.01%,-
Net Loans,6894,6601,6660,5750,5531
Gross Loans - Net of Unearned Income,-,-,-,-,-
Commercial & Industrial Loans,1545,1433,1473,1079,898
Consumer & Installment Loans,-,-,-,-,-
Interbank Loans,-,-,-,-,-
Real Estate Mortgage Loans,5381,5201,3474,3096,3096
Lease Financing Loans,-,-,-,-,-
Foreign Loans,-,-,-,-,-
Broker & Financial Institution Loans,-,-,-,-,-
Unspecified/Other Loans,9,4,3,15,15
Unearned Income,-,-,-,-,-
Loan Loss Allowances Reserves,40,37,45,22,21
Investment in Unconsolidated Subs.,-,-,-,-,-
Customer Liability on Acceptances,-,-,-,-,-
Real Estate Other Than Bank Premises,-,-,-,0,-
Loans - 1 Yr Growth Rate,4.44%,-0.88%,15.81%,3.98%,-
Total Deposits FOR CALC PURPOSES,6485,6385,6136,5066,4961
Loans Total / Total Deposits,0.00%,0.00%,0.00%,0.00%,0.00%
Loans Total / Total Assets,0.00%,0.00%,0.00%,0.00%,0.00%
Net Property Plant & Equipment,65,74,79,70,30
Other Assets Including Intangibles,364,337,252,216,187
Other Assets,344,317,231,199,171
Intangible Assets,20,20,21,16,16
Deferred Charges,2,4,3,3,2
Interest Receivables,45,39,44,26,25
Total Assets,8455,8077,8008,7045,6850
Assets - Total Growth,4.67%,0.86%,13.68%,2.84%,-
Return On Average Assets,0.93%,-,-,-,-
Total Deposits,6485,6385,6136,5066,4961
Demand Deposits,4767,5230,4784,3393,3143
Savings/Time Deposits,1670,1103,1307,1629,1773
Foreign Office Deposits,-,-,-,-,-
Unspecified Deposits,48,52,46,44,45
Deposits Growth,1.56%,4.06%,21.12%,2.13%,-
Total Debt,1099,870,1080,1287,1251
ST Debt & Current Portion LT Debt,9,9,711,736,783
Current Portion of Long Term Debt,-,-,703,-,-
Short Term Debt,9,9,9,736,783
Long-Term Debt,1090,861,369,551,468
LT Debt excl. Capitalized Leases,1053,816,318,510,468
Capitalized Lease Obligations,-,-,-,-,-
Provision for Risks & Charges,10,14,15,9,9
Long Term Debt Growth,26.70%,133.39%,-33.08%,17.74%,-
Total Assets FOR CALCULATION PURPOSES ONLY,8455,8077,8008,7045,6850
Total Debt / Total Assets,13.00%,10.77%,13.49%,18.26%,18.26%
Deferred Tax Liabilities,45,32,34,15,14
Deferred Taxes - Credit,32,32,32,27,16
Deferred Taxes - Debit,77,63,66,42,30
Other Liabilities,151,97,126,76,65
Deferred Tax Liability-Untaxed Reserves,-,-,-,-,-
Other Liabilities excl. Deferred Income,151,97,126,76,65
Deferred Income,-,-,-,-,-
Total Liabilities,7778,7398,7389,6465,6301
Total Liabilities Growth,5.13%,0.12%,14.30%,2.60%,-
Preferred Stock Carrying Value,-,-,-,-,-
Redeemable Preferred Stock,-,-,-,-,-
Non-Redeemable Preferred Stock,-,-,-,-,-
Preferred Stock issues for ESOP,-,-,-,-,-
ESOP Guarantees - Preferred Stock,-,-,-,-,-
Common Equity Total,677,680,619,580,549
Common Stock Par/Carry Value,0,0,0,0,0
Additional Paid-In Capital/Capital Surplus,264,263,262,227,223
Retained Earnings,548,498,443,434,414
ESOP Debt Guarantee,-,-,-,-,-
Cumulative Translation Adjustment/Unrealized For. Exch. Gain,-,-,-,-,-
Unrealized Gain/Loss Marketable Securities,63,6,1,4,15
Revaluation Reserves,-,-,-,-,-
Other Appropriated Reserves,27,0,18,6,2
Unappropriated Reserves,-,-,-,-,-
Treasury Stock,99,75,69,71,75
Common Equity / Total Assets,0.08%,0.08%,0.08%,0.08%,0.08%
Total Shareholders Equity,677,680,619,580,549
Total Shareholders Equity / Total Assets,8.01%,8.41%,7.73%,8.23%,8.02%
Return On Average Total Equity,11.34%,-,-,-,-
Accumulated Minority Interest,-,-,-,-,-
Total Equity,677,680,619,580,549
Liabilities & Shareholders Equity,8455,8077,8008,7045,6850
