Fiscal year is January0December. All values USD Millions.,2022,2021,2020,2019,2018
Total Cash & Due from Banks,18,10,17,15,17
Cash & Due from Banks Growth,70.92%,038.67%,11.24%,09.56%,0
Investments 0 Total,549,709,460,268,168
Trading Account Securities,0,0,0,0,0
Federal Funds Sold & Securities Purchased,0,0,0,0,0
Federal Funds Sold,0,0,0,0,0
Securities Bought Under Resale Agreement,0,0,0,0,0
Treasury Securities,90,94,13,8,9
Federal Agency Securities,0,0,0,0,0
State & Municipal Securities,155,212,247,91,68
Mortgage Backed Securities,217,153,81,59,45
Other Securities,39,81,70,38,10
Other Investments,48,168,50,71,37
Investments Growth,022.52%,54.06%,71.92%,58.90%,0
Net Loans,"1,037",984,993,923,961
Gross Loans 0 Net of Unearned Income,0,0,0,0,0
Commercial & Industrial Loans,240,249,286,235,279
Consumer & Installment Loans,6,6,6,6,5
Interbank Loans,0,0,0,0,0
Real Estate Mortgage Loans,805,743,718,693,690
Lease Financing Loans,0,0,0,0,0
Foreign Loans,0,0,0,0,0
Broker & Financial Institution Loans,0,0,0,0,0
Unspecified/Other Loans,0,0,0,0,0
Unearned Income,0,0,0,0,0
Loan Loss Allowances (Reserves),(14),(15),(17),(12),(12)
Investment in Unconsolidated Subs.,0,0,0,0,0
Customer Liability on Acceptances,0,0,0,0,0
Real Estate Other Than Bank Premises,0,0,0,0,3
Loans 0 1 Yr Growth Rate,5.40%,00.92%,7.62%,03.99%,0
Total Deposits FOR CALC PURPOSES,"1,551","1,584","1,355","1,125","1,083"
Loans (Total) / Total Deposits,0.00%,0.00%,0.00%,0.00%,0.00%
Loans (Total) / Total Assets,0.00%,0.00%,0.00%,0.00%,0.00%
"Net Property, Plant & Equipment",36,24,18,19,14
Other Assets (Including Intangibles),44,44,44,41,41
Other Assets,35,35,35,32,32
Intangible Assets,9,9,9,9,9
Deferred Charges,0,0,0,0,0
Interest Receivables,0,0,0,0,0
Total Assets,"1,703","1,776","1,539","1,272","1,211"
Assets 0 Total Growth,04.11%,15.43%,20.99%,5.01%,0
Return On Average Assets,0.86%,0,0,0,0
