Fiscal year is January0December. All values USD Millions.,2022,2021,2020,2019,2018
Total Cash & Due from Banks,77,47,58,60,65
Cash & Due from Banks Growth,63.60%,018.63%,03.33%,07.09%,0
Investments 0 Total,1838,2269,1546,935,864
Trading Account Securities,0,0,0,0,0
Federal Funds Sold & Securities Purchased,42,350,288,44,32
Federal Funds Sold,42,350,288,44,32
Securities Bought Under Resale Agreement,0,0,0,0,0
Treasury Securities,64,0,88,0,0
Federal Agency Securities,205,172,0,0,0
State & Municipal Securities,778,926,581,324,295
Mortgage Backed Securities,715,792,548,531,518
Other Securities,0,0,0,0,0
Other Investments,34,29,40,37,20
Investments Growth,018.98%,46.73%,65.29%,8.23%,0
Net Loans,3741,2967,3041,3061,2712
Gross Loans 0 Net of Unearned Income,0,0,0,0,0
Commercial & Industrial Loans,1038,851,1015,974,909
Consumer & Installment Loans,97,85,78,81,78
Interbank Loans,0,0,0,0,0
Real Estate Mortgage Loans,2597,2017,476,531,537
Lease Financing Loans,56,55,56,0,0
Foreign Loans,0,0,0,0,0
Broker & Financial Institution Loans,0,0,0,0,0
Unspecified/Other Loans,0,0,0,0,0
Unearned Income,4,4,4,5,4
Loan Loss Allowances Reserves,44,37,47,16,16
Investment in Unconsolidated Subs.,0,0,0,0,0
Customer Liability on Acceptances,0,0,0,0,0
Real Estate Other Than Bank Premises,0,0,0,0,0
Loans 0 1 Yr Growth Rate,26.07%,02.43%,00.64%,12.85%,0
Total Deposits FOR CALC PURPOSES,5350,4744,4107,3430,3073
Loans Total / Total Deposits,0.00%,0.00%,0.00%,0.00%,0.00%
Loans Total / Total Assets,0.00%,0.00%,0.00%,0.00%,0.00%
Net Property Plant & Equipment,112,89,97,97,81
Other Assets Including Intangibles,360,216,215,226,191
Other Assets,170,89,84,92,77
Intangible Assets,190,128,131,134,114
Deferred Charges,0,0,0,0,0
Interest Receivables,28,20,20,18,17
Total Assets,6156,5609,4978,4398,3929
Assets 0 Total Growth,9.76%,12.68%,13.19%,11.93%,0
Return On Average Assets,1.39%,0,0,0,0
Total Deposits,5350,4744,4107,3430,3073
Demand Deposits,1692,1529,1183,833,716
Savings/Time Deposits,3658,3215,2923,2597,2357
Foreign Office Deposits,0,0,0,0,0
Unspecified Deposits,0,0,0,0,0
Deposits Growth,12.77%,15.53%,19.72%,11.63%,0
Total Debt,210,158,203,359,376
ST Debt & Current Portion LT Debt,103,70,63,210,281
Current Portion of Long Term Debt,1,1,8,41,32
Short Term Debt,103,70,54,169,250
Long0Term Debt,107,88,140,148,95
LT Debt excl. Capitalized Leases,100,81,130,138,92
Capitalized Lease Obligations,2,3,3,3,3
Provision for Risks & Charges,0,0,0,0,0
Long Term Debt Growth,21.34%,036.88%,05.64%,56.09%,0
Total Assets FOR CALCULATION PURPOSES ONLY,6156,5609,4978,4398,3929
Total Debt / Total Assets,3.42%,2.82%,4.08%,8.16%,9.58%
Deferred Tax Liabilities,0,0,0,0,0
Deferred Taxes 0 Credit,0,0,0,0,0
Deferred Taxes 0 Debit,0,0,0,0,0
Other Liabilities,37,37,43,35,21
Deferred Tax Liability0Untaxed Reserves,0,0,0,0,0
Other Liabilities excl. Deferred Income,37,37,43,35,21
Deferred Income,0,0,0,0,0
Total Liabilities,5598,4940,4353,3824,3470
Total Liabilities Growth,13.31%,13.49%,13.83%,10.18%,0
Preferred Stock Carrying Value,0,0,0,0,0
Redeemable Preferred Stock,0,0,0,0,0
Non0Redeemable Preferred Stock,0,0,0,0,0
Preferred Stock issues for ESOP,0,0,0,0,0
ESOP Guarantees 0 Preferred Stock,0,0,0,0,0
Common Equity Total,558,668,625,574,459
Common Stock Par/Carry Value,29,27,27,27,25
Additional Paid0In Capital/Capital Surplus,387,276,274,279,229
Retained Earnings,405,350,288,253,211
ESOP Debt Guarantee,0,0,0,0,0
Cumulative Translation Adjustment/Unrealized For. Exch. Gain,0,0,0,0,0
Unrealized Gain/Loss Marketable Securities,263,16,36,16,7
Revaluation Reserves,0,0,0,0,0
Other Appropriated Reserves,1,1,1,1,0
Unappropriated Reserves,0,0,0,0,0
Treasury Stock,0,0,0,0,0
Common Equity / Total Assets,0.09%,0.12%,0.13%,0.13%,0.12%
Total Shareholders Equity,558,668,625,574,459
Total Shareholders Equity / Total Assets,9.07%,11.92%,12.55%,13.05%,11.67%
Return On Average Total Equity,13.34%,0,0,0,0
Accumulated Minority Interest,0,0,0,0,0
Total Equity,558,668,625,574,459
Liabilities & Shareholders Equity,6156,5609,4978,4398,3929
