Fiscal year is January0December. All values USD Millions.,2022,2021,2020,2019,2018
Total Cash & Due from Banks,28,16,31,49,30
Cash & Due from Banks Growth,75.73%,048.68%,038.12%,63.34%,0
Investments 0 Total,1522,2090,1674,1216,1002
Trading Account Securities,0,0,0,0,0
Federal Funds Sold & Securities Purchased,0,0,0,0,0
Federal Funds Sold,0,0,0,0,0
Securities Bought Under Resale Agreement,0,0,0,0,0
Treasury Securities,418,0,60,120,149
Federal Agency Securities,0,0,0,0,7
State & Municipal Securities,38,51,69,81,86
Mortgage Backed Securities,749,710,404,570,594
Other Securities,0,0,0,0,0
Other Investments,318,1330,1141,445,165
Investments Growth,027.19%,24.87%,37.64%,21.44%,0
Net Loans,3251,3044,2575,2511,1859
Gross Loans 0 Net of Unearned Income,0,0,0,0,0
Commercial & Industrial Loans,534,683,846,632,598
Consumer & Installment Loans,17,17,18,20,12
Interbank Loans,0,0,0,0,0
Real Estate Mortgage Loans,2503,2172,1761,1883,1277
Lease Financing Loans,0,0,0,0,0
Foreign Loans,0,0,0,0,0
Broker & Financial Institution Loans,0,0,0,0,0
Unspecified/Other Loans,0,0,0,0,0
Unearned Income,1,3,7,0,0
Loan Loss Allowances Reserves,48,43,44,23,28
Investment in Unconsolidated Subs.,0,0,0,0,0
Customer Liability on Acceptances,0,0,0,0,0
Real Estate Other Than Bank Premises,0,0,0,0,0
Loans 0 1 Yr Growth Rate,6.80%,18.22%,2.56%,35.08%,0
Total Deposits FOR CALC PURPOSES,4390,4759,3914,3415,2638
Loans Total / Total Deposits,0.00%,0.00%,0.00%,0.00%,0.00%
Loans Total / Total Assets,0.00%,0.00%,0.00%,0.00%,0.00%
Net Property Plant & Equipment,42,45,46,20,7
Other Assets Including Intangibles,299,294,297,302,189
Other Assets,121,112,113,114,94
Intangible Assets,179,181,184,188,96
Deferred Charges,0,0,0,0,0
Interest Receivables,15,11,11,11,10
Total Assets,5158,5499,4634,4109,3097
Assets 0 Total Growth,06.22%,18.67%,12.77%,32.71%,0
Return On Average Assets,1.25%,0,0,0,0
Total Deposits,4390,4759,3914,3415,2638
Demand Deposits,2933,3212,2622,2249,1724
Savings/Time Deposits,1426,1509,1269,1137,899
Foreign Office Deposits,0,0,0,0,0
Unspecified Deposits,30,38,24,29,15
Deposits Growth,07.77%,21.58%,14.63%,29.47%,0
Total Debt,72,75,76,53,39
ST Debt & Current Portion LT Debt,6,4,5,4,0
Current Portion of Long Term Debt,0,0,0,0,0
Short Term Debt,6,4,5,4,0
Long0Term Debt,66,70,70,49,39
LT Debt excl. Capitalized Leases,39,40,40,40,39
Capitalized Lease Obligations,0,0,0,0,0
Provision for Risks & Charges,33,42,45,42,34
Long Term Debt Growth,06.27%,0.11%,44.28%,23.89%,0
Total Assets FOR CALCULATION PURPOSES ONLY,5158,5499,4634,4109,3097
Total Debt / Total Assets,1.40%,1.36%,1.63%,1.29%,1.27%
Deferred Tax Liabilities,0,0,0,0,0
Deferred Taxes 0 Credit,0,0,0,0,0
Deferred Taxes 0 Debit,0,0,0,0,0
Other Liabilities,30,25,21,23,19
Deferred Tax Liability0Untaxed Reserves,0,0,0,0,0
Other Liabilities excl. Deferred Income,30,25,21,23,19
Deferred Income,0,0,0,0,0
Total Liabilities,4525,4901,4056,3533,2729
Total Liabilities Growth,07.68%,20.84%,14.82%,29.45%,0
Preferred Stock Carrying Value,0,0,0,0,0
Redeemable Preferred Stock,0,0,0,0,0
Non0Redeemable Preferred Stock,0,0,0,0,0
Preferred Stock issues for ESOP,0,0,0,0,0
ESOP Guarantees 0 Preferred Stock,0,0,0,0,0
Common Equity Total,632,598,578,577,367
Common Stock Par/Carry Value,503,498,494,490,301
Additional Paid0In Capital/Capital Surplus,0,0,0,0,0
Retained Earnings,146,111,95,97,79
ESOP Debt Guarantee,0,0,0,0,0
Cumulative Translation Adjustment/Unrealized For. Exch. Gain,0,0,0,0,0
Unrealized Gain/Loss Marketable Securities,11,2,4,2,5
Revaluation Reserves,0,0,0,0,0
Other Appropriated Reserves,5,13,15,12,8
Unappropriated Reserves,0,0,0,0,0
Treasury Stock,0,0,0,0,0
Common Equity / Total Assets,0.12%,0.11%,0.12%,0.14%,0.12%
Total Shareholders Equity,632,598,578,577,367
Total Shareholders Equity / Total Assets,12.26%,10.87%,12.47%,14.03%,11.87%
Return On Average Total Equity,10.82%,0,0,0,0
Accumulated Minority Interest,0,0,0,0,0
Total Equity,632,598,578,577,367
Liabilities & Shareholders Equity,5158,5499,4634,4109,3097
