Fiscal year is January0December. All values USD Millions.,2022,2021,2020,2019,2018
Total Cash & Due from Banks,74,71,92,95,93
Cash & Due from Banks Growth,4.38%,022.56%,03.28%,2.52%,0
Investments 0 Total,2358,3071,1587,1199,1109
Trading Account Securities,0,0,0,0,0
Federal Funds Sold & Securities Purchased,0,0,0,0,0
Federal Funds Sold,0,0,0,0,0
Securities Bought Under Resale Agreement,0,0,0,0,0
Treasury Securities,215,162,46,105,102
Federal Agency Securities,0,0,30,23,25
State & Municipal Securities,153,221,210,133,159
Mortgage Backed Securities,1704,892,506,667,665
Other Securities,26,2,11,24,26
Other Investments,260,1793,785,246,133
Investments Growth,023.23%,93.46%,32.41%,8.10%,0
Net Loans,4008,3773,4398,3732,3619
Gross Loans 0 Net of Unearned Income,0,0,0,0,0
Commercial & Industrial Loans,694,767,1448,852,854
Consumer & Installment Loans,196,233,325,407,396
Interbank Loans,0,0,0,0,0
Real Estate Mortgage Loans,3161,2816,2695,2507,2402
Lease Financing Loans,0,0,0,0,0
Foreign Loans,0,0,0,0,0
Broker & Financial Institution Loans,0,0,0,0,0
Unspecified/Other Loans,0,0,0,2,4
Unearned Income,0,0,0,0,0
Loan Loss Allowances Reserves,43,42,70,36,35
Investment in Unconsolidated Subs.,10,10,25,25,26
Customer Liability on Acceptances,0,0,0,0,0
Real Estate Other Than Bank Premises,0,0,0,1,2
Loans 0 1 Yr Growth Rate,6.22%,014.21%,17.87%,3.11%,0
Total Deposits FOR CALC PURPOSES,5925,6381,5598,4583,4432
Loans Total / Total Deposits,0.00%,0.00%,0.00%,0.00%,0.00%
Loans Total / Total Assets,0.00%,0.00%,0.00%,0.00%,0.00%
Net Property Plant & Equipment,100,107,103,111,81
Other Assets Including Intangibles,412,385,389,376,372
Other Assets,164,135,135,118,110
Intangible Assets,248,251,254,258,262
Deferred Charges,0,0,0,0,0
Interest Receivables,19,15,19,14,15
Total Assets,6980,7432,6615,5553,5317
Assets 0 Total Growth,06.09%,12.35%,19.13%,4.44%,0
Return On Average Assets,1.14%,0,0,0,0
