Fiscal year is January0December. All values USD Millions.,2022,2021,2020,2019,2018
Total Cash & Due from Banks,87,601,188,40,60
Cash & Due from Banks Growth,085.47%,220.00%,371.68%,033.16%,0
Investments 0 Total,515,348,284,282,274
Trading Account Securities,0,0,0,0,0
Federal Funds Sold & Securities Purchased,0,0,0,0,0
Federal Funds Sold,0,0,0,0,0
Securities Bought Under Resale Agreement,0,0,0,0,0
Treasury Securities,0,0,0,0,0
Federal Agency Securities,19,6,6,4,9
State & Municipal Securities,59,53,31,23,32
Mortgage Backed Securities,403,266,218,238,230
Other Securities,6,6,2,0,0
Other Investments,28,18,26,17,3
Investments Growth,48.14%,22.66%,0.67%,2.78%,0
Net Loans,2401,1819,1947,1696,1633
Gross Loans 0 Net of Unearned Income,0,0,0,0,0
Commercial & Industrial Loans,378,244,418,185,173
Consumer & Installment Loans,35,33,39,46,54
Interbank Loans,0,0,0,0,0
Real Estate Mortgage Loans,1917,1563,1523,1484,1423
Lease Financing Loans,0,0,0,0,0
Foreign Loans,0,0,0,0,0
Broker & Financial Institution Loans,0,0,0,0,0
Unspecified/Other Loans,0,0,0,0,0
Unearned Income,0,0,0,0,0
Loan Loss Allowances Reserves,29,21,33,18,16
Investment in Unconsolidated Subs.,0,0,0,0,0
Customer Liability on Acceptances,0,0,0,0,0
Real Estate Other Than Bank Premises,0,1,1,4,2
Loans 0 1 Yr Growth Rate,32.02%,06.57%,14.77%,3.86%,0
Total Deposits FOR CALC PURPOSES,2633,2536,2214,1821,1773
Loans Total / Total Deposits,0.00%,0.00%,0.00%,0.00%,0.00%
Loans Total / Total Assets,0.00%,0.00%,0.00%,0.00%,0.00%
Net Property Plant & Equipment,53,49,50,51,49
Other Assets Including Intangibles,144,110,109,117,124
Other Assets,56,48,46,53,58
Intangible Assets,88,62,63,64,66
Deferred Charges,0,0,0,0,0
Interest Receivables,11,7,9,7,8
Total Assets,3234,2943,2598,2205,2159
Assets 0 Total Growth,9.91%,13.28%,17.82%,2.14%,0
Return On Average Assets,1.10%,0,0,0,0
