Fiscal year is January-December. All values USD Millions.,2022,2021,2020,2019,2018
Total Cash & Due from Banks,73,65,58,58,59
Cash & Due from Banks Growth,11.68%,12.34%,0.29%,-1.21%,-
Investments - Total,1418,1192,1466,1183,1068
Trading Account Securities,19,-,-,-,-
Federal Funds Sold & Securities Purchased,-,-,-,-,-
Federal Funds Sold,-,-,-,-,-
Securities Bought Under Resale Agreement,-,-,-,-,-
Treasury Securities,20,23,-,1,11
Federal Agency Securities,27,-,2,-,10
State & Municipal Securities,414,544,569,346,413
Mortgage Backed Securities,877,420,490,577,470
Other Securities,43,20,15,19,20
Other Investments,18,185,390,239,144
Investments Growth,18.99%,-18.68%,23.97%,10.76%,-
Net Loans,7385,5496,5180,5073,5075
Gross Loans - Net of Unearned Income,-,-,-,-,-
Commercial & Industrial Loans,360,402,646,893,760
Consumer & Installment Loans,-,-,-,-,-
Interbank Loans,-,-,-,-,-
Real Estate Mortgage Loans,7067,5141,4598,4675,4763
Lease Financing Loans,-,-,-,-,-
Foreign Loans,-,-,-,-,-
Broker & Financial Institution Loans,-,-,-,-,-
Unspecified/Other Loans,-,-,-,24,23
Unearned Income,-,-,-,-,-
Loan Loss Allowances Reserves,42,47,64,42,41
Investment in Unconsolidated Subs.,-,-,-,-,-
Customer Liability on Acceptances,-,-,-,-,-
Real Estate Other Than Bank Premises,2,1,1,1,0
Loans - 1 Yr Growth Rate,34.37%,6.10%,2.11%,-0.05%,-
Total Deposits FOR CALC PURPOSES,7452,6147,5822,5340,4889
Loans Total / Total Deposits,0.00%,0.00%,0.00%,0.00%,0.00%
Loans Total / Total Assets,0.00%,0.00%,0.00%,0.00%,0.00%
Net Property Plant & Equipment,51,58,65,172,88
Other Assets Including Intangibles,397,374,446,326,752
Other Assets,367,343,413,298,730
Intangible Assets,30,32,33,28,23
Deferred Charges,-,-,-,-,-
Interest Receivables,27,18,21,-,-
Total Assets,9412,7234,7276,6858,7072
Assets - Total Growth,30.10%,-0.57%,6.09%,-3.03%,-
Return On Average Assets,0.80%,-,-,-,-
Total Deposits,7452,6147,5822,5340,4889
Demand Deposits,4250,4937,4418,3506,3226
Savings/Time Deposits,3202,1209,1404,1834,1826
Foreign Office Deposits,-,-,-,-,-
Unspecified Deposits,-,-,-,-,-
Deposits Growth,21.24%,5.58%,9.02%,9.23%,-
Total Debt,1283,167,449,710,1077
ST Debt & Current Portion LT Debt,88,102,384,542,19
Current Portion of Long Term Debt,77,102,384,402,-
Short Term Debt,11,-,-,140,19
Long-Term Debt,1195,65,65,169,1058
LT Debt excl. Capitalized Leases,1163,65,65,71,1058
Capitalized Lease Obligations,-,-,-,-,-
Provision for Risks & Charges,2,2,2,1,1
Long Term Debt Growth,1738.35%,0.00%,-61.43%,-84.07%,-
Total Assets FOR CALCULATION PURPOSES ONLY,9412,7234,7276,6858,7072
Total Debt / Total Assets,13.63%,2.31%,6.17%,10.36%,15.23%
Deferred Tax Liabilities,12,16,15,20,47
Deferred Taxes - Credit,47,46,54,65,77
Deferred Taxes - Debit,59,30,39,46,30
Other Liabilities,65,157,232,62,289
Deferred Tax Liability-Untaxed Reserves,-,-,-,-,-
Other Liabilities excl. Deferred Income,65,157,232,62,289
Deferred Income,-,-,-,-,-
Total Liabilities,8850,6519,6558,6178,6333
Total Liabilities Growth,35.75%,-0.60%,6.15%,-2.44%,-
Preferred Stock Carrying Value,-,-,-,-,-
Redeemable Preferred Stock,-,-,-,-,-
Non-Redeemable Preferred Stock,-,-,-,-,-
Preferred Stock issues for ESOP,-,-,-,-,-
ESOP Guarantees - Preferred Stock,-,-,-,-,-
Common Equity Total,562,715,718,680,740
Common Stock Par/Carry Value,227,250,279,1,1
Additional Paid-In Capital/Capital Surplus,-,-,-,300,342
Retained Earnings,435,444,404,375,412
ESOP Debt Guarantee,-,-,-,-,-
Cumulative Translation Adjustment/Unrealized For. Exch. Gain,-,-,-,-,-
Unrealized Gain/Loss Marketable Securities,100,21,35,4,15
Revaluation Reserves,-,-,-,-,-
Other Appropriated Reserves,-,-,-,-,-
Unappropriated Reserves,-,-,-,-,-
Treasury Stock,-,-,-,-,-
Common Equity / Total Assets,0.06%,0.10%,0.10%,0.10%,0.10%
Total Shareholders Equity,562,715,718,680,740
Total Shareholders Equity / Total Assets,5.97%,9.89%,9.86%,9.91%,10.46%
Return On Average Total Equity,10.42%,-,-,-,-
Accumulated Minority Interest,-,-,-,-,-
Total Equity,562,715,718,680,740
Liabilities & Shareholders Equity,9412,7234,7276,6858,7072
