Fiscal year is January0December. All values USD Millions.,2022,2021,2020,2019,2018
Total Cash & Due from Banks,6704,5522,6595,1170,2672
Cash & Due from Banks Growth,21.41%,016.27%,463.68%,056.21%,0
Investments 0 Total,46295,46405,30120,26321,25080
Trading Account Securities,23,65,62,99,105
Federal Funds Sold & Securities Purchased,0,0,0,0,0
Federal Funds Sold,0,0,0,0,0
Securities Bought Under Resale Agreement,0,0,0,0,0
Treasury Securities,103,5,5,10,5
Federal Agency Securities,8199,7692,308,458,476
State & Municipal Securities,3292,3528,3007,3059,3445
Mortgage Backed Securities,26291,27129,21385,19058,18047
Other Securities,2601,2572,650,635,374
Other Investments,5786,5414,4703,3002,2628
Investments Growth,00.24%,54.07%,14.43%,4.95%,0
Net Loans,117402,109890,79794,74621,74128
Gross Loans 0 Net of Unearned Income,0,0,0,0,0
Commercial & Industrial Loans,45127,41688,35373,30664,30605
Consumer & Installment Loans,19909,20465,18001,17597,17003
Interbank Loans,0,0,0,0,0
Real Estate Mortgage Loans,32601,44767,28234,27143,27292
Lease Financing Loans,5252,5000,0,0,0
Foreign Loans,0,0,0,0,0
Broker & Financial Institution Loans,0,0,0,0,0
Unspecified/Other Loans,0,0,0,0,0
Unearned Income,0,0,0,0,0
Loan Loss Allowances Reserves,2121,2030,1814,783,772
Investment in Unconsolidated Subs.,0,0,0,0,0
Customer Liability on Acceptances,0,0,0,0,0
Real Estate Other Than Bank Premises,0,0,0,0,20
Loans 0 1 Yr Growth Rate,6.84%,37.72%,6.93%,0.67%,0
Total Deposits FOR CALC PURPOSES,147914,143263,98948,82347,84774
Loans Total / Total Deposits,0.00%,0.00%,0.00%,0.00%,0.00%
Loans Total / Total Assets,0.00%,0.00%,0.00%,0.00%,0.00%
Net Property Plant & Equipment,1435,1480,956,973,790
Other Assets Including Intangibles,11070,10381,5541,5917,6799
Other Assets,5304,4790,3360,3695,4529
Intangible Assets,5766,5591,2181,2222,2270
Deferred Charges,0,0,0,0,0
Interest Receivables,0,386,32,0,0
Total Assets,182906,174064,123038,109002,108781
Assets 0 Total Growth,5.08%,41.47%,12.88%,0.20%,0
Return On Average Assets,1.25%,0,0,0,0
