Fiscal year is January0December. All values USD Millions.,2022,2021,2020,2019,2018
Total Cash & Due from Banks,134,244,250,186,102
Cash & Due from Banks Growth,044.99%,02.62%,34.45%,82.60%,0
Investments 0 Total,"2,469","4,437","2,848","1,543",776
Trading Account Securities,0,0,0,0,0
Federal Funds Sold & Securities Purchased,0,0,0,0,0
Federal Funds Sold,0,0,0,0,0
Securities Bought Under Resale Agreement,0,0,0,0,0
Treasury Securities,624,620,294,228,180
Federal Agency Securities,0,0,0,0,0
State & Municipal Securities,458,433,393,344,185
Mortgage Backed Securities,778,919,444,506,320
Other Securities,38,36,23,8,0
Other Investments,570,"2,430","1,695",457,91
Investments Growth,044.36%,55.77%,84.57%,98.81%,0
Net Loans,"13,761","12,291","12,978","11,563","7,840"
Gross Loans 0 Net of Unearned Income,0,0,0,0,0
Commercial & Industrial Loans,"2,365","2,090","3,988","2,581","1,428"
Consumer & Installment Loans,82,82,67,33,32
Interbank Loans,0,0,0,0,0
Real Estate Mortgage Loans,"11,462","10,387","9,022","9,003","6,428"
Lease Financing Loans,0,0,0,0,0
Foreign Loans,0,0,0,0,0
Broker & Financial Institution Loans,0,0,0,0,0
Unspecified/Other Loans,0,0,(10),(2),(3)
Unearned Income,0,0,0,0,0
Loan Loss Allowances (Reserves),(149),(149),(88),(51),(45)
Investment in Unconsolidated Subs.,0,0,0,0,0
Customer Liability on Acceptances,0,0,0,0,0
Real Estate Other Than Bank Premises,24,0,0,5,4
Loans 0 1 Yr Growth Rate,11.96%,05.30%,12.24%,47.49%,0
Total Deposits FOR CALC PURPOSES,"15,121","15,554","14,399","11,941","7,738"
Loans (Total) / Total Deposits,0.00%,0.00%,0.00%,0.00%,0.00%
Loans (Total) / Total Assets,0.00%,0.00%,0.00%,0.00%,0.00%
"Net Property, Plant & Equipment",380,332,274,272,168
Other Assets (Including Intangibles),"1,356","1,353","1,398","1,382",947
Other Assets,299,284,316,288,180
Intangible Assets,"1,057","1,070","1,082","1,095",767
Deferred Charges,0,0,0,0,0
Interest Receivables,57,50,0,0,0
Total Assets,"18,297","18,768","17,803","15,008","9,866"
Assets 0 Total Growth,02.51%,5.42%,18.62%,52.11%,0
Return On Average Assets,1.05%,0,0,0,0
