Fiscal year is January0December. All values USD Millions.,2022,2021,2020,2019,2018
Total Cash & Due from Banks,"2,088","3,209","1,997",257,317
Cash & Due from Banks Growth,034.95%,60.68%,677.68%,018.93%,0
Investments 0 Total,"4,785","4,223","3,345","3,706","3,756"
Trading Account Securities,0,0,0,0,0
Federal Funds Sold & Securities Purchased,0,0,0,0,0
Federal Funds Sold,0,0,0,0,0
Securities Bought Under Resale Agreement,0,0,0,0,0
Treasury Securities,49,0,0,0,0
Federal Agency Securities,0,0,0,0,0
State & Municipal Securities,159,45,51,93,188
Mortgage Backed Securities,"4,209","4,169","3,030","3,286","3,223"
Other Securities,9,306,264,327,345
Other Investments,359,0,254,318,338
Investments Growth,13.31%,26.27%,09.74%,01.34%,0
Net Loans,"7,305","7,099","7,433","6,835","6,500"
Gross Loans 0 Net of Unearned Income,0,0,0,0,0
Commercial & Industrial Loans,"1,499","4,497","4,516","3,380","3,305"
Consumer & Installment Loans,42,41,41,48,46
Interbank Loans,0,0,0,0,0
Real Estate Mortgage Loans,"5,730","2,536","2,846","3,326","3,059"
Lease Financing Loans,0,0,0,0,0
Foreign Loans,160,135,139,141,151
Broker & Financial Institution Loans,0,0,0,0,0
Unspecified/Other Loans,0,0,0,0,0
Unearned Income,0,0,0,0,0
Loan Loss Allowances (Reserves),(126),(110),(109),(60),(61)
Investment in Unconsolidated Subs.,0,0,0,0,0
Customer Liability on Acceptances,0,0,0,0,0
Real Estate Other Than Bank Premises,35,40,60,78,64
Loans 0 1 Yr Growth Rate,2.90%,04.49%,8.75%,5.15%,0
Total Deposits FOR CALC PURPOSES,"12,660","12,618","10,722","8,826","8,697"
Loans (Total) / Total Deposits,0.00%,0.00%,0.00%,0.00%,0.00%
Loans (Total) / Total Assets,0.00%,0.00%,0.00%,0.00%,0.00%
"Net Property, Plant & Equipment",432,447,480,507,507
Other Assets (Including Intangibles),713,700,677,694,692
Other Assets,430,418,394,412,409
Intangible Assets,283,283,283,283,283
Deferred Charges,0,0,0,0,0
Interest Receivables,46,31,38,37,37
Total Assets,"15,566","16,084","14,058","12,135","11,908"
Assets 0 Total Growth,03.22%,14.41%,15.85%,1.90%,0
Return On Average Assets,1.90%,0,0,0,0
