Fiscal year is January0December. All values USD Millions.,2022,2021,2020,2019,2018
Total Cash & Due from Banks,30,39,26,24,16
Cash & Due from Banks Growth,022.14%,50.36%,8.01%,49.28%,0
Investments 0 Total,454,444,308,315,280
Trading Account Securities,0,0,0,0,0
Federal Funds Sold & Securities Purchased,0,1,0,0,0
Federal Funds Sold,0,1,0,0,0
Securities Bought Under Resale Agreement,0,0,0,0,0
Treasury Securities,0,0,37,34,8
Federal Agency Securities,30,21,0,0,0
State & Municipal Securities,24,39,30,43,45
Mortgage Backed Securities,330,277,186,178,197
Other Securities,57,44,44,38,29
Other Investments,13,61,10,21,2
Investments Growth,2.14%,44.30%,02.32%,12.38%,0
Net Loans,"2,080","1,851","1,840","1,681","1,391"
Gross Loans 0 Net of Unearned Income,0,0,0,0,0
Commercial & Industrial Loans,448,331,421,352,232
Consumer & Installment Loans,14,18,21,29,46
Interbank Loans,0,0,0,0,0
Real Estate Mortgage Loans,"1,643","1,523",606,580,496
Lease Financing Loans,0,0,0,0,0
Foreign Loans,0,0,0,0,0
Broker & Financial Institution Loans,0,0,0,0,0
Unspecified/Other Loans,0,0,0,0,0
Unearned Income,0,0,0,0,0
Loan Loss Allowances (Reserves),(24),(21),(20),(11),(9)
Investment in Unconsolidated Subs.,0,0,0,0,0
Customer Liability on Acceptances,0,0,0,0,0
Real Estate Other Than Bank Premises,1,3,1,0,4
Loans 0 1 Yr Growth Rate,12.38%,0.61%,9.44%,20.84%,0
Total Deposits FOR CALC PURPOSES,"2,082","2,120","1,888","1,708","1,362"
Loans (Total) / Total Deposits,0.00%,0.00%,0.00%,0.00%,0.00%
Loans (Total) / Total Assets,0.00%,0.00%,0.00%,0.00%,0.00%
"Net Property, Plant & Equipment",50,58,56,51,40
Other Assets (Including Intangibles),110,105,76,70,48
Other Assets,67,61,44,39,28
Intangible Assets,43,44,32,31,20
Deferred Charges,0,0,0,0,0
Interest Receivables,13,11,13,8,6
Total Assets,"2,759","2,520","2,327","2,149","1,790"
Assets 0 Total Growth,9.50%,8.26%,8.31%,20.06%,0
Return On Average Assets,1.35%,0,0,0,0
