Fiscal year is January0December. All values USD Millions.,2022,2021,2020,2019,2018
Total Cash & Due from Banks,223,199,262,276,205
Cash & Due from Banks Growth,12.12%,024.08%,04.88%,34.40%,0
Investments 0 Total,3392,1696,1063,954,838
Trading Account Securities,0,0,0,0,0
Federal Funds Sold & Securities Purchased,0,0,0,0,0
Federal Funds Sold,0,0,0,0,0
Securities Bought Under Resale Agreement,0,0,0,0,0
Treasury Securities,367,222,91,167,174
Federal Agency Securities,0,0,0,0,0
State & Municipal Securities,552,417,244,72,83
Mortgage Backed Securities,891,850,535,629,525
Other Securities,1430,123,91,28,26
Other Investments,154,84,102,58,30
Investments Growth,99.97%,59.59%,11.39%,13.86%,0
Net Loans,6551,5918,5950,5098,4419
Gross Loans 0 Net of Unearned Income,0,0,0,0,0
Commercial & Industrial Loans,607,462,718,432,337
Consumer & Installment Loans,331,276,303,0,0
Interbank Loans,0,0,0,0,0
Real Estate Mortgage Loans,6559,4938,4884,4598,4036
Lease Financing Loans,152,123,117,111,88
Foreign Loans,0,0,0,0,0
Broker & Financial Institution Loans,0,0,0,0,0
Unspecified/Other Loans,0,0,0,3,4
Unearned Income,0,0,0,0,0
Loan Loss Allowances Reserves,70,58,71,40,38
Investment in Unconsolidated Subs.,0,0,0,0,0
Customer Liability on Acceptances,0,0,0,0,0
Real Estate Other Than Bank Premises,0,0,0,0,0
Loans 0 1 Yr Growth Rate,10.70%,00.54%,16.72%,15.36%,0
Total Deposits FOR CALC PURPOSES,8567,6966,6456,5294,4621
Loans Total / Total Deposits,0.00%,0.00%,0.00%,0.00%,0.00%
Loans Total / Total Assets,0.00%,0.00%,0.00%,0.00%,0.00%
Net Property Plant & Equipment,75,61,65,66,49
Other Assets Including Intangibles,458,287,285,286,261
Other Assets,177,128,125,125,123
Intangible Assets,281,159,160,161,138
Deferred Charges,0,0,0,0,0
Interest Receivables,33,19,19,17,16
Total Assets,10784,8198,7674,6717,5809
Assets 0 Total Growth,31.54%,6.83%,14.25%,15.63%,0
Return On Average Assets,1.12%,0,0,0,0
Total Deposits,8567,6966,6456,5294,4621
Demand Deposits,6385,5529,2736,2127,950
Savings/Time Deposits,2183,1436,3720,3167,3670
Foreign Office Deposits,0,0,0,0,0
Unspecified Deposits,0,0,0,0,0
Deposits Growth,22.99%,7.90%,21.95%,14.57%,0
Total Debt,970,327,331,633,520
ST Debt & Current Portion LT Debt,734,110,173,388,274
Current Portion of Long Term Debt,0,0,0,56,40
Short Term Debt,734,110,173,332,234
Long0Term Debt,236,217,158,245,246
LT Debt excl. Capitalized Leases,219,204,143,228,246
Capitalized Lease Obligations,0,0,0,0,0
Provision for Risks & Charges,3,2,3,2,2
Long Term Debt Growth,8.44%,37.55%,035.37%,00.49%,0
Total Assets FOR CALCULATION PURPOSES ONLY,10784,8198,7674,6717,5809
Total Debt / Total Assets,8.99%,3.99%,4.31%,9.42%,8.95%
Deferred Tax Liabilities,50,17,19,15,17
Deferred Taxes 0 Credit,0,0,10,6,3
Deferred Taxes 0 Debit,50,17,29,21,21
Other Liabilities,135,76,111,58,39
Deferred Tax Liability0Untaxed Reserves,0,0,0,0,0
Other Liabilities excl. Deferred Income,135,76,111,58,39
Deferred Income,0,0,0,0,0
Total Liabilities,9675,7371,6910,5992,5186
Total Liabilities Growth,31.26%,6.67%,15.33%,15.55%,0
Preferred Stock Carrying Value,0,0,0,0,0
Redeemable Preferred Stock,0,0,0,0,0
Non0Redeemable Preferred Stock,0,0,0,0,0
Preferred Stock issues for ESOP,0,0,0,0,0
ESOP Guarantees 0 Preferred Stock,0,0,0,0,0
Common Equity Total,1109,827,764,725,624
Common Stock Par/Carry Value,855,566,562,560,515
Additional Paid0In Capital/Capital Surplus,0,0,0,0,0
Retained Earnings,329,259,191,163,117
ESOP Debt Guarantee,0,0,0,0,0
Cumulative Translation Adjustment/Unrealized For. Exch. Gain,0,0,0,0,0
Unrealized Gain/Loss Marketable Securities,77,1,11,2,9
Revaluation Reserves,0,0,0,0,0
Other Appropriated Reserves,2,3,0,0,1
Unappropriated Reserves,0,0,0,0,0
Treasury Stock,1,1,1,0,0
Common Equity / Total Assets,0.10%,0.10%,0.10%,0.11%,0.11%
Total Shareholders Equity,1109,827,764,725,624
Total Shareholders Equity / Total Assets,10.28%,10.09%,9.95%,10.80%,10.74%
Return On Average Total Equity,10.97%,0,0,0,0
Accumulated Minority Interest,0,0,0,0,0
Total Equity,1109,827,764,725,624
Liabilities & Shareholders Equity,10784,8198,7674,6717,5809
