Fiscal year is January0December. All values USD Millions.,2022,2021,2020,2019,2018
Total Cash & Due from Banks,15,18,16,15,15
Cash & Due from Banks Growth,020.13%,12.88%,4.58%,1.73%,0
Investments 0 Total,1046,1328,1405,1334,913
Trading Account Securities,11,13,12,11,9
Federal Funds Sold & Securities Purchased,0,0,0,0,0
Federal Funds Sold,0,0,0,0,0
Securities Bought Under Resale Agreement,0,0,0,0,0
Treasury Securities,72,2,3,0,0
Federal Agency Securities,0,0,0,0,0
State & Municipal Securities,0,0,0,0,0
Mortgage Backed Securities,708,978,1180,982,575
Other Securities,193,238,90,169,244
Other Investments,62,95,120,172,85
Investments Growth,021.22%,05.48%,5.32%,46.09%,0
Net Loans,4201,3768,3786,3408,3218
Gross Loans 0 Net of Unearned Income,0,0,0,0,0
Commercial & Industrial Loans,157,143,197,56,58
Consumer & Installment Loans,12,16,19,17,20
Interbank Loans,0,0,0,0,0
Real Estate Mortgage Loans,4075,3648,3603,3356,2935
Lease Financing Loans,0,0,0,0,0
Foreign Loans,0,0,0,0,0
Broker & Financial Institution Loans,0,0,0,0,0
Unspecified/Other Loans,0,0,5,8,7
Unearned Income,0,0,0,0,0
Loan Loss Allowances Reserves,43,39,38,29,27
Investment in Unconsolidated Subs.,0,0,0,0,0
Customer Liability on Acceptances,0,0,0,0,0
Real Estate Other Than Bank Premises,0,0,0,0,0
Loans 0 1 Yr Growth Rate,11.50%,00.48%,11.07%,5.93%,0
Total Deposits FOR CALC PURPOSES,4150,4169,4077,3408,3287
Loans Total / Total Deposits,0.00%,0.00%,0.00%,0.00%,0.00%
Loans Total / Total Assets,0.00%,0.00%,0.00%,0.00%,0.00%
Net Property Plant & Equipment,59,60,65,65,26
Other Assets Including Intangibles,220,219,208,198,199
Other Assets,179,178,166,160,160
Intangible Assets,41,41,41,38,38
Deferred Charges,0,0,0,0,0
Interest Receivables,17,15,15,15,13
Total Assets,5604,5434,5522,5060,4411
Assets 0 Total Growth,3.13%,01.59%,9.14%,14.71%,0
Return On Average Assets,1.11%,0,0,0,0
