Fiscal year is January-December. All values USD Millions.,2022,2021,2020,2019,2018
Total Cash & Due from Banks,139,1279,736,61,69
Cash & Due from Banks Growth,-89.11%,73.75%,1110.07%,-11.55%,-
Investments - Total,2177,2389,1720,882,846
Trading Account Securities,-,-,-,-,-
Federal Funds Sold & Securities Purchased,-,-,-,-,-
Federal Funds Sold,-,-,-,-,-
Securities Bought Under Resale Agreement,-,-,-,-,-
Treasury Securities,61,76,41,15,15
Federal Agency Securities,164,46,95,105,187
State & Municipal Securities,112,129,117,26,21
Mortgage Backed Securities,1750,2066,1326,691,600
Other Securities,13,-,-,1,1
Other Investments,77,73,142,44,22
Investments Growth,-8.90%,38.93%,94.99%,4.22%,-
Net Loans,10793,9889,10446,8751,7996
Gross Loans - Net of Unearned Income,-,-,-,-,-
Commercial & Industrial Loans,1132,848,1191,775,662
Consumer & Installment Loans,2169,1839,1508,1093,838
Interbank Loans,-,-,-,-,-
Real Estate Mortgage Loans,7620,7305,7882,4206,4119
Lease Financing Loans,-,-,-,-,-
Foreign Loans,-,-,-,-,-
Broker & Financial Institution Loans,-,-,-,-,-
Unspecified/Other Loans,-,-,-,230,206
Unearned Income,-,-,-,-,-
Loan Loss Allowances Reserves,118,102,134,58,55
Investment in Unconsolidated Subs.,-,-,-,-,-
Customer Liability on Acceptances,-,-,-,-,-
Real Estate Other Than Bank Premises,0,1,2,1,2
Loans - 1 Yr Growth Rate,9.14%,-5.34%,19.38%,9.44%,-
Total Deposits FOR CALC PURPOSES,11465,12301,11599,8592,7894
Loans Total / Total Deposits,0.00%,0.00%,0.00%,0.00%,0.00%
Loans Total / Total Assets,0.00%,0.00%,0.00%,0.00%,0.00%
Net Property Plant & Equipment,201,211,210,197,143
Other Assets Including Intangibles,768,706,715,585,526
Other Assets,378,312,313,215,199
Intangible Assets,390,394,402,369,327
Deferred Charges,-,-,-,-,-
Interest Receivables,36,26,36,26,24
Total Assets,14113,14502,13806,10494,9608
Assets - Total Growth,-2.68%,5.04%,31.56%,9.22%,-
Return On Average Assets,0.93%,-,-,-,-
Total Deposits,11465,12301,11599,8592,7894
Demand Deposits,8137,8670,7910,5418,4853
Savings/Time Deposits,3327,3631,3690,3174,3041
Foreign Office Deposits,-,-,-,-,-
Unspecified Deposits,-,-,-,-,-
Deposits Growth,-6.80%,6.05%,35.00%,8.84%,-
Total Debt,982,449,464,420,346
ST Debt & Current Portion LT Debt,136,145,144,252,234
Current Portion of Long Term Debt,130,139,138,93,106
Short Term Debt,6,6,6,159,129
Long-Term Debt,846,304,320,168,111
LT Debt excl. Capitalized Leases,794,253,274,122,111
Capitalized Lease Obligations,-,-,-,-,-
Provision for Risks & Charges,-,-,-,-,-
Long Term Debt Growth,178.10%,-5.00%,90.43%,51.24%,-
Total Assets FOR CALCULATION PURPOSES ONLY,14113,14502,13806,10494,9608
Total Debt / Total Assets,6.96%,3.10%,3.36%,4.00%,3.60%
Deferred Tax Liabilities,-,-,-,-,-
Deferred Taxes - Credit,-,-,-,-,-
Deferred Taxes - Debit,-,-,-,-,-
Other Liabilities,175,167,204,128,110
Deferred Tax Liability-Untaxed Reserves,-,-,-,-,-
Other Liabilities excl. Deferred Income,175,167,204,128,110
Deferred Income,-,-,-,-,-
Total Liabilities,12622,12918,12268,9141,8350
Total Liabilities Growth,-2.29%,5.30%,34.21%,9.47%,-
Preferred Stock Carrying Value,-,-,-,-,-
Redeemable Preferred Stock,-,-,-,-,-
Non-Redeemable Preferred Stock,-,-,-,-,-
Preferred Stock issues for ESOP,-,-,-,-,-
ESOP Guarantees - Preferred Stock,-,-,-,-,-
Common Equity Total,1491,1584,1539,1353,1258
Common Stock Par/Carry Value,1,1,1,1,1
Additional Paid-In Capital/Capital Surplus,1020,1010,1016,806,746
Retained Earnings,642,610,555,583,550
ESOP Debt Guarantee,-,-,-,-,-
Cumulative Translation Adjustment/Unrealized For. Exch. Gain,-,-,-,-,-
Unrealized Gain/Loss Marketable Securities,164,12,17,3,7
Revaluation Reserves,-,-,-,-,-
Other Appropriated Reserves,7,25,50,40,33
Unappropriated Reserves,-,-,-,-,-
Treasury Stock,-,-,-,-,-
Common Equity / Total Assets,0.11%,0.11%,0.11%,0.13%,0.13%
Total Shareholders Equity,1491,1584,1539,1353,1258
Total Shareholders Equity / Total Assets,10.57%,10.92%,11.14%,12.90%,13.09%
Return On Average Total Equity,8.66%,-,-,-,-
Accumulated Minority Interest,-,-,-,-,-
Total Equity,1491,1584,1539,1353,1258
Liabilities & Shareholders Equity,14113,14502,13806,10494,9608
