Fiscal year is January0December. All values USD Millions.,2022,2021,2020,2019,2018
Total Cash & Due from Banks,57,39,24,34,39
Cash & Due from Banks Growth,46.85%,58.66%,028.71%,011.67%,0
Investments 0 Total,1626,2429,835,517,575
Trading Account Securities,0,0,0,0,0
Federal Funds Sold & Securities Purchased,0,0,0,0,0
Federal Funds Sold,0,0,0,0,0
Securities Bought Under Resale Agreement,0,0,0,0,0
Treasury Securities,212,202,4,4,4
Federal Agency Securities,56,62,7,8,11
State & Municipal Securities,226,258,249,249,274
Mortgage Backed Securities,659,845,74,75,14
Other Securities,386,327,162,149,238
Other Investments,86,736,338,33,34
Investments Growth,033.08%,191.08%,61.31%,010.05%,0
Net Loans,3820,3377,2001,1911,1878
Gross Loans 0 Net of Unearned Income,0,0,0,0,0
Commercial & Industrial Loans,841,771,407,333,314
Consumer & Installment Loans,18,23,11,21,25
Interbank Loans,0,0,0,0,0
Real Estate Mortgage Loans,2409,2141,1227,1456,1477
Lease Financing Loans,277,176,142,120,79
Foreign Loans,0,0,0,0,0
Broker & Financial Institution Loans,0,0,0,0,0
Unspecified/Other Loans,0,0,0,2,2
Unearned Income,0,0,0,0,0
Loan Loss Allowances Reserves,49,44,34,20,19
Investment in Unconsolidated Subs.,0,0,0,0,0
Customer Liability on Acceptances,0,0,0,0,0
Real Estate Other Than Bank Premises,2,2,2,5,7
Loans 0 1 Yr Growth Rate,13.14%,68.74%,4.71%,1.76%,0
Total Deposits FOR CALC PURPOSES,5111,5466,2537,2127,2117
Loans Total / Total Deposits,0.00%,0.00%,0.00%,0.00%,0.00%
Loans Total / Total Assets,0.00%,0.00%,0.00%,0.00%,0.00%
Net Property Plant & Equipment,72,88,45,48,42
Other Assets Including Intangibles,245,258,115,99,102
Other Assets,145,155,94,78,81
Intangible Assets,100,103,21,21,22
Deferred Charges,0,0,0,0,0
Interest Receivables,23,14,10,10,11
Total Assets,5903,6224,3052,2643,2680
Assets 0 Total Growth,05.16%,103.96%,15.48%,01.39%,0
Return On Average Assets,1.11%,0,0,0,0
