Fiscal year is January0December. All values USD Millions.,2022,2021,2020,2019,2018
Total Cash & Due from Banks,"33,943","81,804","91,917","28,261","16,108"
Cash & Due from Banks Growth,058.51%,011.00%,225.24%,75.45%,0
Investments 0 Total,"148,569","146,600","101,256","100,312","95,734"
Trading Account Securities,"1,966","1,851","2,238","3,220","3,916"
Federal Funds Sold & Securities Purchased,0,0,0,0,0
Federal Funds Sold,0,0,0,0,0
Securities Bought Under Resale Agreement,0,0,0,0,0
Treasury Securities,"44,941","46,978","21,506","17,292","18,858"
Federal Agency Securities,0,0,0,0,0
State & Municipal Securities,0,0,0,0,0
Mortgage Backed Securities,"80,635","73,999","56,789","64,832","58,115"
Other Securities,"13,758","11,985","10,504","4,700","5,728"
Other Investments,"7,269","11,787","10,219","10,268","9,117"
Investments Growth,1.34%,44.78%,0.94%,4.78%,0
Net Loans,"321,284","283,504","236,567","237,101","223,616"
Gross Loans 0 Net of Unearned Income,0,0,0,0,0
Commercial & Industrial Loans,"182,219","152,933","132,073","125,337","116,834"
Consumer & Installment Loans,"29,104","31,521","28,077","32,335","29,183"
Interbank Loans,0,0,0,0,0
Real Estate Mortgage Loans,"71,872","63,773","46,648","46,906","44,780"
Lease Financing Loans,"6,514","6,130","6,414","7,155","7,308"
Foreign Loans,0,0,0,0,0
Broker & Financial Institution Loans,0,0,0,0,0
Unspecified/Other Loans,0,0,0,0,0
Unearned Income,0,0,0,0,0
Loan Loss Allowances (Reserves),"(4,741)","(4,868)","(5,361)","(2,742)","(2,629)"
Investment in Unconsolidated Subs.,"4,129","4,226","3,182","8,558","8,016"
Customer Liability on Acceptances,0,0,0,0,0
Real Estate Other Than Bank Premises,34,26,51,117,114
Loans 0 1 Yr Growth Rate,13.33%,19.84%,00.23%,6.03%,0
Total Deposits FOR CALC PURPOSES,"436,282","457,278","365,345","288,540","267,839"
Loans (Total) / Total Deposits,0.00%,0.00%,0.00%,0.00%,0.00%
Loans (Total) / Total Assets,0.00%,0.00%,0.00%,0.00%,0.00%
"Net Property, Plant & Equipment","10,611","10,512","9,563","9,728","5,727"
Other Assets (Including Intangibles),"34,415","29,497","25,000","26,218","33,000"
Other Assets,"23,428","18,581","15,767","16,985","23,782"
Intangible Assets,"10,987","10,916","9,233","9,233","9,218"
Deferred Charges,0,0,0,0,0
Interest Receivables,"1,626","1,022",243,0,0
Total Assets,"560,358","559,944","469,390","412,419","384,144"
Assets 0 Total Growth,0.07%,19.29%,13.81%,7.36%,0
Return On Average Assets,1.07%,0,0,0,0
