Fiscal year is January0December. All values USD Millions.,2022,2021,2020,2019,2018
Total Cash & Due from Banks,212,113,150,173,176
Cash & Due from Banks Growth,88.61%,025.20%,012.82%,01.85%,0
Investments 0 Total,9648,15055,8530,4419,4339
Trading Account Securities,0,0,0,0,0
Federal Funds Sold & Securities Purchased,0,0,0,0,0
Federal Funds Sold,0,0,0,0,0
Securities Bought Under Resale Agreement,0,0,0,0,0
Treasury Securities,854,967,5,5,403
Federal Agency Securities,0,0,0,0,0
State & Municipal Securities,2356,2316,1532,735,1312
Mortgage Backed Securities,3380,6340,3096,2773,2128
Other Securities,522,1100,609,287,171
Other Investments,2535,4332,3288,618,324
Investments Growth,035.92%,76.50%,93.04%,1.84%,0
Net Loans,28408,22741,18735,18708,17825
Gross Loans 0 Net of Unearned Income,0,0,0,0,0
Commercial & Industrial Loans,8399,7953,7573,7759,7473
Consumer & Installment Loans,445,458,320,441,401
Interbank Loans,0,0,0,0,0
Real Estate Mortgage Loans,19882,14616,11260,10711,10152
Lease Financing Loans,0,0,0,0,0
Foreign Loans,0,0,0,0,0
Broker & Financial Institution Loans,0,0,0,0,0
Unspecified/Other Loans,0,0,0,0,0
Unearned Income,117,85,70,64,69
Loan Loss Allowances Reserves,201,201,348,139,132
Investment in Unconsolidated Subs.,62,47,32,47,59
Customer Liability on Acceptances,0,0,0,0,0
Real Estate Other Than Bank Premises,5,13,14,0,5
Loans 0 1 Yr Growth Rate,24.92%,21.38%,0.14%,4.95%,0
Total Deposits FOR CALC PURPOSES,33936,34998,24941,19233,18871
Loans Total / Total Deposits,0.00%,0.00%,0.00%,0.00%,0.00%
Loans Total / Total Assets,0.00%,0.00%,0.00%,0.00%,0.00%
Net Property Plant & Equipment,585,509,493,492,327
Other Assets Including Intangibles,1870,1845,1442,2850,2894
Other Assets,461,395,340,263,288
Intangible Assets,1408,1451,1102,2587,2606
Deferred Charges,27,28,23,17,18
Interest Receivables,157,120,102,81,89
Total Assets,41229,40443,29498,26771,25855
Assets 0 Total Growth,1.94%,37.10%,10.19%,3.54%,0
Return On Average Assets,1.02%,0,0,0,0
