Fiscal year is January-December. All values USD Millions.,2022,2021,2020,2019,2018
Total Cash & Due from Banks,135,83,135,136,44
Cash & Due from Banks Growth,62.61%,-38.60%,-0.31%,211.28%,-
Investments - Total,5164,5020,4835,1697,1431
Trading Account Securities,-,-,-,-,-
Federal Funds Sold & Securities Purchased,-,-,-,-,-
Federal Funds Sold,-,-,-,-,-
Securities Bought Under Resale Agreement,-,-,-,-,-
Treasury Securities,47,58,33,64,61
Federal Agency Securities,431,432,690,246,130
State & Municipal Securities,1148,1090,1446,397,239
Mortgage Backed Securities,1812,2620,1369,546,613
Other Securities,551,455,417,153,105
Other Investments,1175,364,880,291,282
Investments Growth,2.88%,3.83%,184.93%,18.61%,-
Net Loans,14481,14098,12968,8687,8801
Gross Loans - Net of Unearned Income,-,-,-,-,-
Commercial & Industrial Loans,2577,2507,2230,2693,2659
Consumer & Installment Loans,3,6,7,51,89
Interbank Loans,-,-,-,-,-
Real Estate Mortgage Loans,12158,11783,11000,5988,6097
Lease Financing Loans,-,-,-,-,-
Foreign Loans,-,-,-,-,-
Broker & Financial Institution Loans,-,-,-,-,-
Unspecified/Other Loans,-,-,-,-,-
Unearned Income,-,-,-,10,9
Loan Loss Allowances Reserves,196,198,268,36,36
Investment in Unconsolidated Subs.,-,-,-,-,-
Customer Liability on Acceptances,-,-,-,-,-
Real Estate Other Than Bank Premises,-,-,-,0,0
Loans - 1 Yr Growth Rate,2.71%,8.71%,49.29%,-1.30%,-
Total Deposits FOR CALC PURPOSES,17352,17116,16214,8899,8658
Loans Total / Total Deposits,0.00%,0.00%,0.00%,0.00%,0.00%
Loans Total / Total Assets,0.00%,0.00%,0.00%,0.00%,0.00%
Net Property Plant & Equipment,115,136,155,102,65
Other Assets Including Intangibles,1535,1604,1479,1115,1094
Other Assets,578,634,495,223,185
Intangible Assets,957,971,984,892,909
Deferred Charges,-,-,-,-,-
Interest Receivables,74,66,75,39,38
Total Assets,21729,21143,19816,11830,11521
Assets - Total Growth,2.77%,6.70%,67.51%,2.67%,-
Return On Average Assets,1.31%,-,-,-,-
Total Deposits,17352,17116,16214,8899,8658
Demand Deposits,14373,-,11313,7029,6471
Savings/Time Deposits,2980,1058,4901,1870,2187
Foreign Office Deposits,-,-,-,-,-
Unspecified Deposits,-,-,-,-,-
Deposits Growth,1.38%,5.56%,82.21%,2.77%,-
Total Debt,1389,961,618,779,778
ST Debt & Current Portion LT Debt,220,577,31,506,616
Current Portion of Long Term Debt,200,-,10,496,616
Short Term Debt,20,577,21,10,0
Long-Term Debt,1170,384,587,272,162
LT Debt excl. Capitalized Leases,1131,331,523,236,162
Capitalized Lease Obligations,-,-,-,-,-
Provision for Risks & Charges,24,-,-,-,-
Long Term Debt Growth,204.85%,-34.64%,115.51%,68.22%,-
Total Assets FOR CALCULATION PURPOSES ONLY,21729,21143,19816,11830,11521
Total Debt / Total Assets,6.39%,4.55%,3.12%,6.58%,6.75%
Deferred Tax Liabilities,184,87,89,1,16
Deferred Taxes - Credit,41,49,80,55,34
Deferred Taxes - Debit,225,136,169,54,50
Other Liabilities,124,131,158,85,81
Deferred Tax Liability-Untaxed Reserves,-,-,-,-,-
Other Liabilities excl. Deferred Income,124,131,158,85,81
Deferred Income,-,-,-,-,-
Total Liabilities,18931,18257,17069,9817,9552
Total Liabilities Growth,3.69%,6.96%,73.88%,2.78%,-
Preferred Stock Carrying Value,-,-,-,-,-
Redeemable Preferred Stock,-,-,-,-,-
Non-Redeemable Preferred Stock,-,-,-,-,-
Preferred Stock issues for ESOP,-,-,-,-,-
ESOP Guarantees - Preferred Stock,-,-,-,-,-
Common Equity Total,2798,2886,2747,2013,1970
Common Stock Par/Carry Value,1,1,1,1,1
Additional Paid-In Capital/Capital Surplus,2363,2351,2355,1594,1674
Retained Earnings,700,542,331,396,300
ESOP Debt Guarantee,-,-,-,-,-
Cumulative Translation Adjustment/Unrealized For. Exch. Gain,-,-,-,-,-
Unrealized Gain/Loss Marketable Securities,265,8,60,22,6
Revaluation Reserves,-,-,-,-,-
Other Appropriated Reserves,-,-,-,-,-
Unappropriated Reserves,-,-,-,-,-
Treasury Stock,-,-,-,-,-
Common Equity / Total Assets,0.13%,0.14%,0.14%,0.17%,0.17%
Total Shareholders Equity,2798,2886,2747,2013,1970
Total Shareholders Equity / Total Assets,12.88%,13.65%,13.86%,17.01%,17.10%
Return On Average Total Equity,9.86%,-,-,-,-
Accumulated Minority Interest,-,-,-,-,-
Total Equity,2798,2886,2747,2013,1970
Liabilities & Shareholders Equity,21729,21143,19816,11830,11521
