Fiscal year is January0December. All values USD Millions.,2022,2021,2020,2019,2018
Total Cash & Due from Banks,157,145,156,136,142
Cash & Due from Banks Growth,8.47%,07.13%,14.77%,04.46%,0
Investments 0 Total,1902,1887,1395,1356,1484
Trading Account Securities,0,0,0,0,0
Federal Funds Sold & Securities Purchased,0,0,0,0,0
Federal Funds Sold,0,0,0,0,0
Securities Bought Under Resale Agreement,0,0,0,0,0
Treasury Securities,37,0,0,0,0
Federal Agency Securities,0,0,0,0,0
State & Municipal Securities,407,390,305,320,305
Mortgage Backed Securities,517,499,752,889,1050
Other Securities,773,866,2,0,0
Other Investments,168,133,336,146,129
Investments Growth,0.75%,35.30%,2.86%,08.63%,0
Net Loans,7057,6788,7092,6445,5641
Gross Loans 0 Net of Unearned Income,0,0,0,0,0
Commercial & Industrial Loans,1301,1299,1589,1185,1073
Consumer & Installment Loans,1905,1690,1660,1452,1292
Interbank Loans,0,0,0,0,0
Real Estate Mortgage Loans,3916,3862,3905,3834,3325
Lease Financing Loans,20,21,24,30,2
Foreign Loans,0,0,0,0,0
Broker & Financial Institution Loans,0,0,0,0,0
Unspecified/Other Loans,0,0,0,0,0
Unearned Income,0,0,0,0,0
Loan Loss Allowances Reserves,85,83,86,57,52
Investment in Unconsolidated Subs.,15,5,5,3,3
Customer Liability on Acceptances,0,0,0,0,0
Real Estate Other Than Bank Premises,2,4,5,8,8
Loans 0 1 Yr Growth Rate,3.96%,04.29%,10.05%,14.26%,0
Total Deposits FOR CALC PURPOSES,8235,7905,7572,7053,6261
Loans Total / Total Deposits,0.00%,0.00%,0.00%,0.00%,0.00%
Loans Total / Total Assets,0.00%,0.00%,0.00%,0.00%,0.00%
Net Property Plant & Equipment,100,102,104,87,60
Other Assets Including Intangibles,589,547,498,500,444
Other Assets,424,380,329,329,324
Intangible Assets,166,167,169,171,120
Deferred Charges,154,144,104,102,94
Interest Receivables,35,23,25,24,23
Total Assets,9855,9560,9279,8558,7804
Assets 0 Total Growth,3.08%,3.03%,8.42%,9.66%,0
Return On Average Assets,1.53%,0,0,0,0
