Fiscal year is January0December. All values USD Millions.,2022,2021,2020,2019,2018
Total Cash & Due from Banks,300,271,427,295,203
Cash & Due from Banks Growth,10.82%,036.60%,44.80%,45.35%,0
Investments 0 Total,"8,282","11,019","8,499","4,191","3,869"
Trading Account Securities,0,0,0,0,0
Federal Funds Sold & Securities Purchased,513,"1,000",12,21,2
Federal Funds Sold,0,0,12,21,2
Securities Bought Under Resale Agreement,513,"1,000",0,0,0
Treasury Securities,287,194,82,73,30
Federal Agency Securities,770,644,76,80,70
State & Municipal Securities,"3,340","2,861","2,472","1,903","1,424"
Mortgage Backed Securities,"1,385","2,027","1,689","1,464","1,311"
Other Securities,856,344,296,209,443
Other Investments,"1,131","3,949","3,872",441,589
Investments Growth,024.84%,29.65%,102.79%,8.32%,0
Net Loans,"28,741","23,151","22,139","19,693","17,624"
Gross Loans 0 Net of Unearned Income,0,0,0,0,0
Commercial & Industrial Loans,"10,241","8,075","8,038","6,290","5,271"
Consumer & Installment Loans,556,485,380,289,354
Interbank Loans,0,0,0,0,0
Real Estate Mortgage Loans,"18,244","14,854","14,007","13,208","12,082"
Lease Financing Loans,0,0,0,0,0
Foreign Loans,0,0,0,0,0
Broker & Financial Institution Loans,0,0,0,0,0
Unspecified/Other Loans,0,0,0,0,0
Unearned Income,0,0,0,0,0
Loan Loss Allowances (Reserves),(301),(263),(285),(95),(84)
Investment in Unconsolidated Subs.,443,361,309,278,239
Customer Liability on Acceptances,0,0,0,0,0
Real Estate Other Than Bank Premises,8,9,12,29,15
Loans 0 1 Yr Growth Rate,24.15%,4.57%,12.42%,11.74%,0
Total Deposits FOR CALC PURPOSES,"34,961","31,305","27,706","20,181","18,849"
Loans (Total) / Total Deposits,0.00%,0.00%,0.00%,0.00%,0.00%
Loans (Total) / Total Assets,0.00%,0.00%,0.00%,0.00%,0.00%
"Net Property, Plant & Equipment",456,383,375,356,266
Other Assets (Including Intangibles),"3,407","3,076","3,000","2,835","2,651"
Other Assets,"1,519","1,218","1,133",964,797
Intangible Assets,"1,888","1,859","1,867","1,871","1,853"
Deferred Charges,0,0,0,0,0
Interest Receivables,161,99,104,84,80
Total Assets,"42,079","38,555","35,041","27,869","25,059"
Assets 0 Total Growth,9.14%,10.03%,25.73%,11.21%,0
Return On Average Assets,1.39%,0,0,0,0
