Fiscal year is January0December. All values USD Millions.,2022,2021,2020,2019,2018
Total Cash & Due from Banks,470,428,491,388,394
Cash & Due from Banks Growth,9.59%,012.75%,26.46%,01.45%,0
Investments 0 Total,32186,42881,33615,21286,17831
Trading Account Securities,28,30,37,40,38
Federal Funds Sold & Securities Purchased,0,0,0,0,0
Federal Funds Sold,0,0,0,0,0
Securities Bought Under Resale Agreement,0,0,0,0,0
Treasury Securities,19634,15859,10788,12056,8272
Federal Agency Securities,165,221,452,709,1062
State & Municipal Securities,59,65,71,93,96
Mortgage Backed Securities,6457,8888,10321,4876,3959
Other Securities,41,40,43,35,27
Other Investments,5801,17778,11904,3477,4377
Investments Growth,024.94%,27.57%,57.92%,19.37%,0
Net Loans,31357,28545,28489,26929,25939
Gross Loans 0 Net of Unearned Income,0,0,0,0,0
Commercial & Industrial Loans,5272,5339,5781,4636,4296
Consumer & Installment Loans,5736,5904,5658,5876,5341
Interbank Loans,0,0,0,0,0
Real Estate Mortgage Loans,15375,16616,16749,15836,15936
Lease Financing Loans,1367,1381,1198,1060,935
Foreign Loans,0,0,0,0,0
Broker & Financial Institution Loans,0,0,0,0,0
Unspecified/Other Loans,0,0,0,0,0
Unearned Income,295,266,203,181,156
Loan Loss Allowances Reserves,720,695,896,478,569
Investment in Unconsolidated Subs.,210,299,250,237,228
Customer Liability on Acceptances,0,0,0,0,0
Real Estate Other Than Bank Premises,89,85,83,122,137
Loans 0 1 Yr Growth Rate,9.85%,0.20%,5.79%,3.82%,0
Total Deposits FOR CALC PURPOSES,61227,67005,56866,43759,39710
Loans Total / Total Deposits,0.00%,0.00%,0.00%,0.00%,0.00%
Loans Total / Total Assets,0.00%,0.00%,0.00%,0.00%,0.00%
Net Property Plant & Equipment,643,649,658,719,570
Other Assets Including Intangibles,1729,1552,1488,1547,1456
Other Assets,808,815,795,847,758
Intangible Assets,921,737,694,700,698
Deferred Charges,73,118,107,130,117
Interest Receivables,0,0,0,0,0
Total Assets,67638,75098,65926,52115,47700
Assets 0 Total Growth,09.93%,13.91%,26.50%,9.26%,0
Return On Average Assets,1.55%,0,0,0,0
