Fiscal year is January0December. All values USD Millions.,2022,2021,2020,2019,2018
Total Cash & Due from Banks,186,506,404,132,86
Cash & Due from Banks Growth,063.16%,25.20%,207.37%,52.62%,0
Investments 0 Total,2412,2802,1853,1583,1684
Trading Account Securities,0,0,0,0,0
Federal Funds Sold & Securities Purchased,0,0,0,0,0
Federal Funds Sold,0,0,0,0,0
Securities Bought Under Resale Agreement,0,0,0,0,0
Treasury Securities,246,196,0,0,0
Federal Agency Securities,10,10,9,7,5
State & Municipal Securities,423,485,505,441,467
Mortgage Backed Securities,1427,1709,938,948,1035
Other Securities,87,95,105,36,36
Other Investments,220,307,295,152,141
Investments Growth,013.91%,51.26%,17.02%,05.99%,0
Net Loans,10161,9501,9721,7277,7195
Gross Loans 0 Net of Unearned Income,0,0,0,0,0
Commercial & Industrial Loans,2234,2189,2567,1636,1696
Consumer & Installment Loans,305,327,493,391,431
Interbank Loans,0,0,0,0,0
Real Estate Mortgage Loans,7723,7078,6780,5311,5127
Lease Financing Loans,0,0,0,0,0
Foreign Loans,0,0,0,0,0
Broker & Financial Institution Loans,0,0,0,0,0
Unspecified/Other Loans,1,1,2,2,3
Unearned Income,14,14,19,8,7
Loan Loss Allowances Reserves,88,81,101,56,56
Investment in Unconsolidated Subs.,0,0,0,0,0
Customer Liability on Acceptances,0,0,0,0,0
Real Estate Other Than Bank Premises,2,9,4,3,2
Loans 0 1 Yr Growth Rate,6.95%,02.27%,33.58%,1.14%,0
Total Deposits FOR CALC PURPOSES,10599,11268,9872,7129,6856
Loans Total / Total Deposits,0.00%,0.00%,0.00%,0.00%,0.00%
Loans Total / Total Assets,0.00%,0.00%,0.00%,0.00%,0.00%
Net Property Plant & Equipment,140,129,117,97,58
Other Assets Including Intangibles,747,769,722,1090,1055
Other Assets,287,305,256,233,225
Intangible Assets,460,463,466,857,829
Deferred Charges,23,26,19,17,15
Interest Receivables,52,42,46,29,31
Total Assets,13828,13814,12920,9825,9739
Assets 0 Total Growth,0.10%,6.92%,31.49%,0.88%,0
Return On Average Assets,1.27%,0,0,0,0
Total Deposits,10599,11268,9872,7129,6856
Demand Deposits,8373,9081,7396,5385,5028
Savings/Time Deposits,2190,2153,2442,1718,1802
Foreign Office Deposits,0,0,0,0,0
Unspecified Deposits,36,34,34,27,26
Deposits Growth,05.94%,14.14%,38.47%,3.99%,0
Total Debt,1411,687,1243,1168,1442
ST Debt & Current Portion LT Debt,882,443,887,856,1006
Current Portion of Long Term Debt,774,319,754,489,602
Short Term Debt,107,124,132,367,404
Long0Term Debt,529,244,357,312,436
LT Debt excl. Capitalized Leases,475,202,322,277,436
Capitalized Lease Obligations,0,0,0,0,0
Provision for Risks & Charges,17,23,24,23,20
Long Term Debt Growth,116.71%,031.49%,14.38%,028.57%,0
Total Assets FOR CALCULATION PURPOSES ONLY,13828,13814,12920,9825,9739
Total Debt / Total Assets,10.21%,4.98%,9.62%,11.89%,14.81%
Deferred Tax Liabilities,82,23,30,19,26
Deferred Taxes 0 Credit,44,33,22,17,14
Deferred Taxes 0 Debit,127,56,52,36,40
Other Liabilities,159,105,161,74,49
Deferred Tax Liability0Untaxed Reserves,0,0,0,0,0
Other Liabilities excl. Deferred Income,159,105,161,74,49
Deferred Income,0,0,0,0,0
Total Liabilities,12230,12117,11322,8412,8380
Total Liabilities Growth,0.94%,7.02%,34.60%,0.37%,0
Preferred Stock Carrying Value,0,0,0,0,0
Redeemable Preferred Stock,0,0,0,0,0
Non0Redeemable Preferred Stock,0,0,0,0,0
Preferred Stock issues for ESOP,0,0,0,0,0
ESOP Guarantees 0 Preferred Stock,0,0,0,0,0
Common Equity Total,1598,1697,1620,1414,1359
Common Stock Par/Carry Value,1,1,1,1,1
Additional Paid0In Capital/Capital Surplus,981,970,962,1007,1022
Retained Earnings,918,815,718,695,651
ESOP Debt Guarantee,10,15,20,25,30
Cumulative Translation Adjustment/Unrealized For. Exch. Gain,0,0,0,0,0
Unrealized Gain/Loss Marketable Securities,187,0,24,9,10
Revaluation Reserves,0,0,0,0,0
Other Appropriated Reserves,22,7,6,5,3
Unappropriated Reserves,0,0,0,0,0
Treasury Stock,127,80,59,269,272
Common Equity / Total Assets,0.12%,0.12%,0.13%,0.14%,0.14%
Total Shareholders Equity,1598,1697,1620,1414,1359
Total Shareholders Equity / Total Assets,11.55%,12.29%,12.54%,14.39%,13.95%
Return On Average Total Equity,10.66%,0,0,0,0
Accumulated Minority Interest,0,0,0,0,0
Total Equity,1598,1697,1620,1414,1359
Liabilities & Shareholders Equity,13828,13814,12941,9825,9739
