Fiscal year is January0December. All values USD Millions.,2022,2021,2020,2019,2018
Total Cash & Due from Banks,"11,227","29,411","17,956","4,114","3,538"
Cash & Due from Banks Growth,061.83%,63.79%,336.46%,16.28%,0
Investments 0 Total,"33,917","34,622","32,051","26,658","27,200"
Trading Account Securities,0,0,0,0,0
Federal Funds Sold & Securities Purchased,0,0,0,0,0
Federal Funds Sold,0,0,0,0,0
Securities Bought Under Resale Agreement,0,0,0,0,0
Treasury Securities,"1,187","1,132",183,182,280
Federal Agency Securities,836,92,105,43,43
State & Municipal Securities,2,4,0,0,0
Mortgage Backed Securities,"25,555","26,771","26,784","22,262","22,703"
Other Securities,"1,683","1,845","1,592","1,901","1,614"
Other Investments,"4,654","4,778","3,387","2,270","2,560"
Investments Growth,02.04%,8.02%,20.23%,01.99%,0
Net Loans,"95,545","86,305","83,099","82,094","82,312"
Gross Loans 0 Net of Unearned Income,0,0,0,0,0
Commercial & Industrial Loans,"50,905","43,758","42,870","39,971","39,282"
Consumer & Installment Loans,"7,515","7,682","5,601","7,698","7,968"
Interbank Loans,0,0,0,0,0
Real Estate Mortgage Loans,"38,589","36,344","28,688","36,915","37,688"
Lease Financing Loans,0,0,0,0,0
Foreign Loans,0,0,0,0,0
Broker & Financial Institution Loans,0,0,0,0,0
Unspecified/Other Loans,0,0,0,0,0
Unearned Income,0,0,0,0,0
Loan Loss Allowances (Reserves),"(1,464)","(1,479)","(2,167)",(869),(840)
Investment in Unconsolidated Subs.,0,0,129,104,73
Customer Liability on Acceptances,0,0,0,0,0
Real Estate Other Than Bank Premises,13,10,25,58,60
Loans 0 1 Yr Growth Rate,10.71%,3.86%,1.22%,00.26%,0
Total Deposits FOR CALC PURPOSES,"131,743","139,072","122,479","97,475","94,491"
Loans (Total) / Total Deposits,0.00%,0.00%,0.00%,0.00%,0.00%
Loans (Total) / Total Assets,0.00%,0.00%,0.00%,0.00%,0.00%
"Net Property, Plant & Equipment","2,192","2,273","2,372","2,403","2,414"
Other Assets (Including Intangibles),"10,872","10,506","11,428","9,317","9,039"
Other Assets,"4,890","4,457","6,096","4,367","4,095"
Intangible Assets,"5,982","6,049","5,332","4,950","4,944"
Deferred Charges,347,0,0,0,0
Interest Receivables,511,319,346,362,375
Total Assets,"155,220","162,938","147,389","126,240","125,688"
Assets 0 Total Growth,04.74%,10.55%,16.75%,0.44%,0
Return On Average Assets,1.41%,0,0,0,0
