Fiscal year is January0December. All values USD Millions.,2022,2021,2020,2019,2018
Total Cash & Due from Banks,194,183,176,191,199
Cash & Due from Banks Growth,5.91%,3.59%,07.69%,03.75%,0
Investments 0 Total,3389,4969,2252,1841,2045
Trading Account Securities,0,0,0,0,0
Federal Funds Sold & Securities Purchased,0,0,0,0,0
Federal Funds Sold,0,0,0,0,0
Securities Bought Under Resale Agreement,0,0,0,0,0
Treasury Securities,0,3,7,0,0
Federal Agency Securities,1320,1267,1,3,3
State & Municipal Securities,437,427,305,223,203
Mortgage Backed Securities,967,1046,956,998,990
Other Securities,134,59,75,66,55
Other Investments,531,2166,908,551,795
Investments Growth,031.80%,120.68%,22.29%,09.98%,0
Net Loans,11386,9857,10758,9637,9034
Gross Loans 0 Net of Unearned Income,0,0,0,0,0
Commercial & Industrial Loans,1674,1423,2537,1368,1296
Consumer & Installment Loans,125,1423,210,302,138
Interbank Loans,0,0,0,0,0
Real Estate Mortgage Loans,9665,8378,8111,7937,7588
Lease Financing Loans,122,80,80,86,65
Foreign Loans,0,0,0,0,0
Broker & Financial Institution Loans,0,0,0,0,0
Unspecified/Other Loans,0,0,0,0,0
Unearned Income,7,4,4,4,3
Loan Loss Allowances Reserves,192,164,176,52,49
Investment in Unconsolidated Subs.,0,0,0,0,0
Customer Liability on Acceptances,0,0,0,0,0
Real Estate Other Than Bank Premises,2,3,6,8,11
Loans 0 1 Yr Growth Rate,15.52%,08.37%,11.62%,6.68%,0
Total Deposits FOR CALC PURPOSES,13487,13906,12059,10213,10129
Loans Total / Total Deposits,0.00%,0.00%,0.00%,0.00%,0.00%
Loans Total / Total Assets,0.00%,0.00%,0.00%,0.00%,0.00%
Net Property Plant & Equipment,284,293,300,310,209
Other Assets Including Intangibles,1574,1419,1337,1386,1385
Other Assets,558,456,367,409,407
Intangible Assets,1016,964,970,977,978
Deferred Charges,0,0,0,0,0
Interest Receivables,50,42,56,0,0
Total Assets,17038,16860,14981,13444,12956
Assets 0 Total Growth,1.06%,12.54%,11.43%,3.77%,0
Return On Average Assets,0.98%,0,0,0,0
Total Deposits,13487,13906,12059,10213,10129
Demand Deposits,10710,11414,9515,7385,7141
Savings/Time Deposits,2777,2492,2544,2828,2987
Foreign Office Deposits,0,0,0,0,0
Unspecified Deposits,0,0,0,0,0
Deposits Growth,03.01%,15.31%,18.07%,0.84%,0
Total Debt,1198,552,587,954,651
ST Debt & Current Portion LT Debt,720,23,51,499,390
Current Portion of Long Term Debt,0,0,0,0,2
Short Term Debt,720,23,51,499,388
Long0Term Debt,478,529,536,455,262
LT Debt excl. Capitalized Leases,428,471,475,377,262
Capitalized Lease Obligations,0,0,0,0,0
Provision for Risks & Charges,20,20,21,0,0
Long Term Debt Growth,09.69%,01.19%,17.69%,73.90%,0
Total Assets FOR CALCULATION PURPOSES ONLY,17038,16860,14981,13444,12956
Total Debt / Total Assets,7.03%,3.28%,3.92%,7.10%,5.03%
Deferred Tax Liabilities,110,45,45,27,52
Deferred Taxes 0 Credit,50,49,52,43,21
Deferred Taxes 0 Debit,161,94,96,71,73
Other Liabilities,147,122,151,108,111
Deferred Tax Liability0Untaxed Reserves,0,0,0,0,0
Other Liabilities excl. Deferred Income,147,122,151,108,111
Deferred Income,0,0,0,0,0
Total Liabilities,14902,14650,12870,11318,10912
Total Liabilities Growth,1.73%,13.83%,13.71%,3.72%,0
Preferred Stock Carrying Value,0,0,0,0,0
Redeemable Preferred Stock,0,0,0,0,0
Non0Redeemable Preferred Stock,0,0,0,0,0
Preferred Stock issues for ESOP,0,0,0,0,0
ESOP Guarantees 0 Preferred Stock,0,0,0,0,0
Common Equity Total,2136,2210,2133,2126,2044
Common Stock Par/Carry Value,296,296,296,296,296
Additional Paid0In Capital/Capital Surplus,1302,1300,1297,1294,1289
Retained Earnings,858,742,616,617,501
ESOP Debt Guarantee,0,0,0,0,0
Cumulative Translation Adjustment/Unrealized For. Exch. Gain,0,0,0,0,0
Unrealized Gain/Loss Marketable Securities,220,9,31,10,10
Revaluation Reserves,0,0,0,0,0
Other Appropriated Reserves,11,1,6,9,8
Unappropriated Reserves,0,0,0,0,0
Treasury Stock,112,118,102,83,24
Common Equity / Total Assets,0.13%,0.13%,0.14%,0.16%,0.16%
Total Shareholders Equity,2136,2210,2133,2126,2044
Total Shareholders Equity / Total Assets,12.54%,13.11%,14.24%,15.81%,15.78%
Return On Average Total Equity,7.64%,0,0,0,0
Accumulated Minority Interest,0,0,0,0,0
Total Equity,2136,2210,2133,2126,2044
Liabilities & Shareholders Equity,17038,16860,15003,13444,12956
