Fiscal year is January0December. All values USD Millions.,2022,2021,2020,2019,2018
Total Cash & Due from Banks,38,17,17,18,16
Cash & Due from Banks Growth,122.60%,1.52%,09.74%,13.32%,0
Investments 0 Total,678,1132,381,214,219
Trading Account Securities,0,0,0,0,0
Federal Funds Sold & Securities Purchased,0,0,0,0,0
Federal Funds Sold,0,0,0,0,0
Securities Bought Under Resale Agreement,0,0,0,0,0
Treasury Securities,0,0,0,0,0
Federal Agency Securities,166,109,42,25,35
State & Municipal Securities,1,0,0,0,1
Mortgage Backed Securities,462,395,143,99,121
Other Securities,14,18,20,8,4
Other Investments,33,609,174,81,57
Investments Growth,040.15%,197.46%,78.15%,02.53%,0
Net Loans,2539,2105,1440,1238,1185
Gross Loans 0 Net of Unearned Income,0,0,0,0,0
Commercial & Industrial Loans,148,203,211,102,108
Consumer & Installment Loans,286,125,31,18,7
Interbank Loans,0,0,0,0,0
Real Estate Mortgage Loans,2122,1790,1212,1129,1081
Lease Financing Loans,0,0,0,0,0
Foreign Loans,0,0,0,0,0
Broker & Financial Institution Loans,0,0,0,0,0
Unspecified/Other Loans,0,0,0,0,0
Unearned Income,0,0,0,0,0
Loan Loss Allowances Reserves,17,14,14,11,10
Investment in Unconsolidated Subs.,0,0,0,0,0
Customer Liability on Acceptances,0,0,0,0,0
Real Estate Other Than Bank Premises,0,1,0,0,1
Loans 0 1 Yr Growth Rate,20.63%,46.16%,16.33%,4.48%,0
Total Deposits FOR CALC PURPOSES,3010,3026,1701,1341,1212
Loans Total / Total Deposits,0.00%,0.00%,0.00%,0.00%,0.00%
Loans Total / Total Assets,0.00%,0.00%,0.00%,0.00%,0.00%
Net Property Plant & Equipment,61,63,30,29,23
Other Assets Including Intangibles,145,133,55,54,31
Other Assets,76,62,36,34,11
Intangible Assets,69,71,19,20,20
Deferred Charges,3,3,1,1,1
Interest Receivables,9,7,7,3,3
Total Assets,3484,3467,1935,1560,1484
Assets 0 Total Growth,0.51%,79.16%,24.01%,5.15%,0
Return On Average Assets,0.90%,0,0,0,0
Total Deposits,3010,3026,1701,1341,1212
Demand Deposits,2265,2341,1248,921,803
Savings/Time Deposits,744,685,452,420,387
Foreign Office Deposits,0,0,0,0,0
Unspecified Deposits,0,0,0,0,22
Deposits Growth,00.54%,77.94%,26.79%,10.64%,0
Total Debt,93,69,30,21,76
ST Debt & Current Portion LT Debt,41,5,1,2,61
Current Portion of Long Term Debt,0,0,0,0,0
Short Term Debt,40,5,1,2,61
Long0Term Debt,52,63,29,19,15
LT Debt excl. Capitalized Leases,43,53,24,15,15
Capitalized Lease Obligations,0,0,0,0,0
Provision for Risks & Charges,0,0,0,0,0
Long Term Debt Growth,018.17%,118.98%,50.94%,27.55%,0
Total Assets FOR CALCULATION PURPOSES ONLY,3484,3467,1935,1560,1484
Total Debt / Total Assets,2.67%,1.98%,1.57%,1.35%,5.11%
Deferred Tax Liabilities,7,3,4,3,4
Deferred Taxes 0 Credit,7,6,2,1,1
Deferred Taxes 0 Debit,14,9,6,4,5
Other Liabilities,10,15,7,4,12
Deferred Tax Liability0Untaxed Reserves,0,0,0,0,0
Other Liabilities excl. Deferred Income,10,15,7,4,12
Deferred Income,0,0,0,0,0
Total Liabilities,3120,3116,1740,1368,1301
Total Liabilities Growth,0.13%,79.08%,27.23%,5.14%,0
Preferred Stock Carrying Value,0,0,0,0,0
Redeemable Preferred Stock,0,0,0,0,0
Non0Redeemable Preferred Stock,0,0,0,0,0
Preferred Stock issues for ESOP,0,0,0,0,0
ESOP Guarantees 0 Preferred Stock,0,0,0,0,0
Common Equity Total,364,351,195,193,183
Common Stock Par/Carry Value,0,0,0,0,0
Additional Paid0In Capital/Capital Surplus,201,200,52,61,65
Retained Earnings,172,150,141,131,121
ESOP Debt Guarantee,0,0,0,0,0
Cumulative Translation Adjustment/Unrealized For. Exch. Gain,0,0,0,0,0
Unrealized Gain/Loss Marketable Securities,9,0,2,0,3
Revaluation Reserves,0,0,0,0,0
Other Appropriated Reserves,0,0,0,0,0
Unappropriated Reserves,0,0,0,0,0
Treasury Stock,0,0,0,0,0
Common Equity / Total Assets,0.10%,0.10%,0.10%,0.12%,0.12%
Total Shareholders Equity,364,351,195,193,183
Total Shareholders Equity / Total Assets,10.46%,10.12%,10.08%,12.36%,12.34%
Return On Average Total Equity,8.72%,0,0,0,0
Accumulated Minority Interest,0,0,0,0,0
Total Equity,364,351,195,193,183
Liabilities & Shareholders Equity,3484,3467,1935,1560,1484
