Fiscal year is January0December. All values USD Millions.,2022,2021,2020,2019,2018
Total Cash & Due from Banks,44,110,50,33,40
Cash & Due from Banks Growth,059.88%,118.65%,51.97%,017.02%,0
Investments 0 Total,1021,1516,673,348,289
Trading Account Securities,0,0,0,0,0
Federal Funds Sold & Securities Purchased,15,38,66,23,0
Federal Funds Sold,15,38,66,23,0
Securities Bought Under Resale Agreement,0,0,0,0,0
Treasury Securities,374,138,0,0,0
Federal Agency Securities,52,53,31,19,44
State & Municipal Securities,72,114,92,64,55
Mortgage Backed Securities,241,228,68,91,102
Other Securities,31,27,25,3,1
Other Investments,236,919,391,146,87
Investments Growth,032.63%,125.09%,93.57%,20.38%,0
Net Loans,3230,2674,2364,1893,1769
Gross Loans 0 Net of Unearned Income,0,0,0,0,0
Commercial & Industrial Loans,552,488,634,337,308
Consumer & Installment Loans,16,12,13,10,14
Interbank Loans,0,0,0,0,0
Real Estate Mortgage Loans,2618,2140,1735,1556,1455
Lease Financing Loans,67,54,0,0,0
Foreign Loans,0,0,0,0,0
Broker & Financial Institution Loans,0,0,0,0,0
Unspecified/Other Loans,0,0,0,0,0
Unearned Income,0,0,0,0,0
Loan Loss Allowances Reserves,23,19,18,10,8
Investment in Unconsolidated Subs.,0,0,0,0,0
Customer Liability on Acceptances,0,0,0,0,0
Real Estate Other Than Bank Premises,1,2,5,2,2
Loans 0 1 Yr Growth Rate,20.80%,13.12%,24.88%,7.01%,0
Total Deposits FOR CALC PURPOSES,4077,4022,2805,2047,1922
Loans Total / Total Deposits,0.00%,0.00%,0.00%,0.00%,0.00%
Loans Total / Total Assets,0.00%,0.00%,0.00%,0.00%,0.00%
Net Property Plant & Equipment,102,96,77,65,56
Other Assets Including Intangibles,239,214,135,114,118
Other Assets,129,108,49,37,39
Intangible Assets,110,106,86,77,79
Deferred Charges,0,0,0,0,0
Interest Receivables,0,0,0,0,0
Total Assets,4637,4612,3305,2449,2274
Assets 0 Total Growth,0.56%,39.54%,34.94%,7.68%,0
Return On Average Assets,0.93%,0,0,0,0
