Fiscal year is January0December. All values USD Millions.,2022,2021,2020,2019,2018
Total Cash & Due from Banks,12,109,57,25,24
Cash & Due from Banks Growth,089.44%,91.59%,126.96%,4.16%,0
Investments 0 Total,486,535,274,224,234
Trading Account Securities,0,0,0,0,0
Federal Funds Sold & Securities Purchased,2,0,0,0,6
Federal Funds Sold,2,0,0,0,6
Securities Bought Under Resale Agreement,0,0,0,0,0
Treasury Securities,34,31,2,1,1
Federal Agency Securities,12,0,0,12,27
State & Municipal Securities,80,93,44,11,0
Mortgage Backed Securities,273,254,163,183,187
Other Securities,68,125,42,5,5
Other Investments,17,32,23,11,7
Investments Growth,09.19%,95.15%,22.42%,04.18%,0
Net Loans,1799,1587,1594,1445,1337
Gross Loans 0 Net of Unearned Income,0,0,0,0,0
Commercial & Industrial Loans,121,140,225,127,122
Consumer & Installment Loans,6,3,1,1,1
Interbank Loans,0,0,0,0,0
Real Estate Mortgage Loans,461,347,339,362,346
Lease Financing Loans,0,0,0,0,0
Foreign Loans,0,0,0,0,0
Broker & Financial Institution Loans,0,0,0,0,0
Unspecified/Other Loans,0,0,1,2,1
Unearned Income,0,1,2,0,0
Loan Loss Allowances Reserves,23,18,19,11,11
Investment in Unconsolidated Subs.,0,0,0,0,0
Customer Liability on Acceptances,0,0,0,0,0
Real Estate Other Than Bank Premises,0,0,3,8,8
Loans 0 1 Yr Growth Rate,13.34%,00.46%,10.31%,8.08%,0
Total Deposits FOR CALC PURPOSES,2088,2056,1746,1512,1430
Loans Total / Total Deposits,0.00%,0.00%,0.00%,0.00%,0.00%
Loans Total / Total Assets,0.00%,0.00%,0.00%,0.00%,0.00%
Net Property Plant & Equipment,27,28,28,30,23
Other Assets Including Intangibles,54,54,54,54,52
Other Assets,43,43,41,41,38
Intangible Assets,11,12,12,13,14
Deferred Charges,0,0,0,0,0
Interest Receivables,8,6,9,5,5
Total Assets,2412,2329,2030,1801,1689
Assets 0 Total Growth,3.54%,14.72%,12.75%,6.58%,0
Return On Average Assets,1.19%,0,0,0,0
Total Deposits,2088,2056,1746,1512,1430
Demand Deposits,1617,1609,1293,1048,913
Savings/Time Deposits,472,447,453,463,517
Foreign Office Deposits,0,0,0,0,0
Unspecified Deposits,0,0,0,0,0
Deposits Growth,1.57%,17.79%,15.46%,5.75%,0
Total Debt,117,50,67,89,90
ST Debt & Current Portion LT Debt,80,1,1,49,35
Current Portion of Long Term Debt,0,0,0,20,0
Short Term Debt,80,1,1,29,35
Long0Term Debt,37,49,66,40,55
LT Debt excl. Capitalized Leases,32,44,59,32,55
Capitalized Lease Obligations,0,0,0,0,0
Provision for Risks & Charges,0,0,0,0,0
Long Term Debt Growth,024.84%,025.30%,64.92%,027.54%,0
Total Assets FOR CALCULATION PURPOSES ONLY,2412,2329,2030,1801,1689
Total Debt / Total Assets,4.84%,2.15%,3.30%,4.94%,5.35%
Deferred Tax Liabilities,25,9,8,6,7
Deferred Taxes 0 Credit,2,2,4,3,0
Deferred Taxes 0 Debit,26,11,12,9,7
Other Liabilities,18,13,16,15,15
Deferred Tax Liability0Untaxed Reserves,0,0,0,0,0
Other Liabilities excl. Deferred Income,18,13,16,15,15
Deferred Income,0,0,0,0,0
Total Liabilities,2225,2121,1832,1619,1535
Total Liabilities Growth,4.89%,15.76%,13.16%,5.48%,0
Preferred Stock Carrying Value,0,0,0,0,0
Redeemable Preferred Stock,0,0,0,0,0
Non0Redeemable Preferred Stock,0,0,0,0,0
Preferred Stock issues for ESOP,0,0,0,0,0
ESOP Guarantees 0 Preferred Stock,0,0,0,0,0
Common Equity Total,187,208,198,181,154
Common Stock Par/Carry Value,0,0,0,0,0
Additional Paid0In Capital/Capital Surplus,98,97,96,95,84
Retained Earnings,132,113,98,85,73
ESOP Debt Guarantee,0,0,0,1,1
Cumulative Translation Adjustment/Unrealized For. Exch. Gain,0,0,0,0,0
Unrealized Gain/Loss Marketable Securities,43,2,5,2,2
Revaluation Reserves,0,0,0,0,0
Other Appropriated Reserves,0,0,0,0,0
Unappropriated Reserves,0,0,0,0,0
Treasury Stock,0,0,0,0,0
Common Equity / Total Assets,0.08%,0.09%,0.10%,0.10%,0.09%
Total Shareholders Equity,187,208,198,181,154
Total Shareholders Equity / Total Assets,7.75%,8.94%,9.75%,10.08%,9.14%
Return On Average Total Equity,14.33%,0,0,0,0
Accumulated Minority Interest,0,0,0,0,0
Total Equity,187,208,198,181,154
Liabilities & Shareholders Equity,2412,2329,2030,1801,1689
