Fiscal year is January0December. All values USD Millions.,2022,2021,2020,2019,2018
Total Cash & Due from Banks,134,123,86,68,96
Cash & Due from Banks Growth,8.92%,43.73%,26.24%,029.59%,0
Investments 0 Total,550,477,496,415,507
Trading Account Securities,0,0,0,0,0
Federal Funds Sold & Securities Purchased,0,0,0,0,0
Federal Funds Sold,0,0,0,0,0
Securities Bought Under Resale Agreement,0,0,0,0,0
Treasury Securities,0,0,0,0,2
Federal Agency Securities,0,0,15,40,93
State & Municipal Securities,13,27,37,32,118
Mortgage Backed Securities,51,37,28,38,40
Other Securities,200,129,156,153,97
Other Investments,286,284,260,153,157
Investments Growth,15.35%,03.92%,19.46%,018.02%,0
Net Loans,4077,4825,4901,4165,3581
Gross Loans 0 Net of Unearned Income,0,0,0,0,0
Commercial & Industrial Loans,2557,3207,2787,2118,1903
Consumer & Installment Loans,9,11,16,22,30
Interbank Loans,0,0,0,0,0
Real Estate Mortgage Loans,1589,1649,2194,2055,1676
Lease Financing Loans,0,0,0,0,0
Foreign Loans,0,0,0,0,0
Broker & Financial Institution Loans,0,0,0,0,0
Unspecified/Other Loans,0,0,0,0,0
Unearned Income,0,0,0,0,0
Loan Loss Allowances Reserves,43,42,96,29,28
Investment in Unconsolidated Subs.,0,0,0,0,0
Customer Liability on Acceptances,0,0,0,0,0
Real Estate Other Than Bank Premises,0,1,1,3,2
Loans 0 1 Yr Growth Rate,015.50%,01.54%,17.66%,16.32%,0
Total Deposits FOR CALC PURPOSES,4171,4647,4717,3790,3450
Loans Total / Total Deposits,0.00%,0.00%,0.00%,0.00%,0.00%
Loans Total / Total Assets,0.00%,0.00%,0.00%,0.00%,0.00%
Net Property Plant & Equipment,134,139,122,119,83
Other Assets Including Intangibles,400,367,304,266,263
Other Assets,134,90,114,76,63
Intangible Assets,266,277,190,190,199
Deferred Charges,0,0,0,0,0
Interest Receivables,22,15,19,20,19
Total Assets,5363,5986,5968,5079,4572
Assets 0 Total Growth,010.41%,0.30%,17.50%,11.09%,0
Return On Average Assets,1.80%,0,0,0,0
